,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP/GAME,PTS/GAME,TRB/GAME,AST/GAME,WS,WS/48,BPM,VORP
0,1,MIN,Karl-Anthony Towns,University of Kentucky,2,164,5657,3564,1865,381,.542,.361,.824,34.5,21.7,11.4,2.3,20.9,.177,3.9,8.4
12,13,PHO,Devin Booker,University of Kentucky,2,154,4838,2774,436,468,.423,.354,.835,31.4,18.0,2.8,3.0,3.9,.038,-2.6,-0.8
3,4,NYK,Kristaps Porzingis,,2,138,4211,2224,1001,191,.436,.346,.811,30.5,16.1,7.3,1.4,8.9,.101,0.2,2.3
2,3,PHI,Jahlil Okafor,Duke University,2,103,2725,1518,613,123,.510,.167,.679,26.5,14.7,6.0,1.2,2.4,.043,-3.8,-1.2
1,2,LAL,D'Angelo Russell,Ohio State University,2,143,4070,2038,495,569,.408,.351,.759,28.5,14.3,3.5,4.0,1.3,.015,-1.2,0.8
10,11,IND,Myles Turner,University of Texas at Austin,2,141,3908,1792,921,147,.506,.333,.785,27.7,12.7,6.5,1.0,11.1,.136,0.7,2.7
6,7,DEN,Emmanuel Mudiay,,2,123,3474,1475,410,589,.369,.317,.721,28.2,12.0,3.3,4.8,-1.9,-.027,-4.1,-1.8
8,9,CHO,Frank Kaminsky,University of Wisconsin,2,156,3662,1480,671,260,.403,.331,.743,23.5,9.5,4.3,1.7,5.6,.073,-1.4,0.6
41,40,MIA,Josh Richardson,University of Tennessee,2,105,2721,880,275,213,.414,.374,.729,25.9,8.4,2.6,2.0,4.7,.083,0.3,1.6
36,35,PHI,Willy Hernangomez,,1,72,1324,587,502,96,.529,.267,.728,18.4,8.2,7.0,1.3,3.4,.123,0.0,0.7
22,23,POR,Rondae Hollis-Jefferson,University of Arizona,2,107,2376,842,606,197,.438,.235,.744,22.2,7.9,5.7,1.8,3.8,.076,-0.5,0.9
38,37,PHI,Richaun Holmes,Bowling Green State University,2,108,1895,846,446,91,.543,.289,.695,17.5,7.8,4.1,0.8,5.3,.133,0.7,1.3
5,6,SAC,Willie Cauley-Stein,University of Kentucky,2,141,2833,1074,691,117,.544,.000,.659,20.1,7.6,4.9,0.8,6.8,.115,-0.3,1.2
47,46,MIL,Norman Powell,"University of California, Los Angeles",2,125,2093,909,280,129,.441,.351,.797,16.7,7.3,2.2,1.0,4.4,.100,-1.1,0.5
9,10,MIA,Justise Winslow,Duke University,2,96,2857,698,497,183,.400,.258,.665,29.8,7.3,5.2,1.9,2.4,.040,-1.1,0.6
33,32,HOU,Montrezl Harrell,University of Louisville,2,97,1443,667,284,81,.651,.125,.599,14.9,6.9,2.9,0.8,5.0,.166,0.2,0.8
