,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,GSW,NBA,SG,61.0,0.0,4.4,0.7,1.9,0.371,0.2,0.6,0.294,0.5,1.3,0.402,0.414,0.4,0.7,0.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0,2.6,0.7,3.3
1,24.0,TOT,NBA,SG,67.0,15.0,13.6,2.2,5.1,0.429,0.6,1.9,0.336,1.6,3.2,0.484,0.491,1.0,1.6,0.606,0.1,1.6,1.7,1.4,0.6,0.2,1.2,1.5,6.0,7.7,2.4000000000000004,10.100000000000001
2,24.0,GSW,NBA,SG,44.0,0.0,6.1,0.8,2.2,0.371,0.2,0.9,0.256,0.6,1.3,0.44799999999999995,0.423,0.4,0.8,0.528,0.1,0.8,0.9,0.5,0.3,0.1,0.6,1.0,2.3,2.8,1.2000000000000002,4.0
3,24.0,LAL,NBA,SG,23.0,15.0,28.0,4.8,10.7,0.451,1.4,3.9,0.371,3.4,6.8,0.49700000000000005,0.518,2.0,3.2,0.644,0.2,3.1,3.3,3.1,1.3,0.3,2.2,2.6,13.1,17.3,4.7,22.0
4,25.0,ATL,NBA,SG,75.0,10.0,17.7,1.9,4.4,0.426,0.6,1.8,0.364,1.2,2.7,0.467,0.498,0.8,1.3,0.6,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,5.2,6.5,3.8000000000000003,10.3
5,26.0,ATL,NBA,SF,75.0,68.0,27.8,4.3,9.7,0.441,1.5,4.1,0.35700000000000004,2.8,5.6,0.502,0.517,1.6,2.0,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6,14.8,6.5,21.3
6,27.0,ATL,NBA,SF,73.0,64.0,26.9,4.0,9.9,0.409,1.3,3.6,0.34600000000000003,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0,14.7,4.4,19.1
7,,,NBA,,351.0,157.0,18.7,2.7,6.4,0.423,0.9,2.5,0.349,1.8,3.9,0.47,0.491,1.1,1.6,0.691,0.3,2.5,2.8,1.5,0.9,0.4,1.2,1.7,7.4,9.5,3.8,13.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,ATL,NBA,,223.0,142.0,24.1,3.4,8.0,0.425,1.1,3.2,0.354,2.3,4.8,0.47200000000000003,0.495,1.4,1.9,0.721,0.4,3.3,3.7,1.9,1.1,0.6,1.5,2.1,9.3,12.0,5.0,17.0
10,,GSW,NBA,,105.0,0.0,5.1,0.8,2.0,0.371,0.2,0.7,0.27399999999999997,0.6,1.3,0.42100000000000004,0.418,0.4,0.8,0.575,0.1,0.5,0.6,0.4,0.3,0.1,0.4,0.7,2.1,2.6,0.9,3.5
11,,LAL,NBA,,23.0,15.0,28.0,4.8,10.7,0.451,1.4,3.9,0.371,3.4,6.8,0.49700000000000005,0.518,2.0,3.2,0.644,0.2,3.1,3.3,3.1,1.3,0.3,2.2,2.6,13.1,17.3,4.7,22.0
