,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,PG,32.0,,11.2,1.9,4.5,0.414,,,,1.9,4.5,0.414,0.414,1.1,1.4,0.7559999999999999,0.3,0.8,1.1,1.8,0.4,0.1,,2.0,4.8,,1.3000000000000003,
1,23.0,,NBA,PG,15.0,,7.9,1.3,3.3,0.4,,,,1.3,3.3,0.4,0.4,0.9,1.2,0.722,0.1,0.6,0.7,1.9,0.6,0.1,0.8,0.8,3.5,6.6000000000000005,1.3,7.9
2,23.0,,NBA,PG,4.0,,4.3,0.8,1.8,0.429,,,,0.8,1.8,0.429,0.429,0.5,0.5,1.0,0.0,0.3,0.3,1.5,0.3,0.0,0.8,0.0,2.0,4.2,0.6,4.8
3,23.0,,NBA,PG,11.0,,9.3,1.5,3.9,0.395,,,,1.5,3.9,0.395,0.395,1.0,1.5,0.688,0.1,0.7,0.8,2.0,0.7,0.1,0.8,1.1,4.1,7.3999999999999995,1.5,8.899999999999999
4,24.0,,NBA,SG,74.0,,20.1,2.9,5.7,0.506,,,,2.9,5.7,0.506,0.506,2.1,2.5,0.8640000000000001,0.4,1.4,1.7,4.4,0.8,0.1,1.8,2.3,8.0,15.400000000000002,2.3000000000000003,17.700000000000003
5,25.0,,NBA,PG,51.0,,20.3,2.9,6.3,0.46399999999999997,0.1,0.4,0.15,2.8,5.9,0.485,0.469,2.2,2.6,0.828,0.5,1.5,2.0,4.1,0.8,0.1,2.2,2.4,8.0,14.5,2.4,16.9
6,26.0,,NBA,SG,74.0,,21.7,4.2,8.5,0.491,0.0,0.2,0.063,4.2,8.3,0.502,0.491,2.1,2.5,0.8390000000000001,0.4,1.2,1.6,3.6,0.9,0.0,1.9,2.2,10.5,16.200000000000003,2.1,18.300000000000004
7,27.0,,NBA,SG,70.0,15.0,18.8,2.9,6.4,0.45799999999999996,0.5,1.2,0.384,2.5,5.2,0.475,0.494,1.1,1.5,0.708,0.3,1.1,1.5,3.2,0.6,0.0,1.1,2.3,7.4,13.000000000000002,1.7000000000000002,14.700000000000003
8,28.0,,NBA,PG,79.0,9.0,20.5,2.7,6.5,0.418,0.8,2.5,0.345,1.8,4.0,0.462,0.483,1.5,1.9,0.779,0.2,1.5,1.7,5.5,0.9,0.1,2.0,2.7,7.8,17.0,2.5,19.5
9,29.0,,NBA,PG,17.0,12.0,23.8,4.1,7.5,0.551,1.1,2.6,0.42200000000000004,3.0,4.8,0.622,0.626,1.9,2.4,0.8,0.4,1.3,1.6,4.6,0.7,0.1,2.1,3.0,11.2,18.699999999999996,2.1,20.799999999999997
10,30.0,,NBA,PG,19.0,19.0,22.8,3.4,7.1,0.474,0.8,2.5,0.34,2.5,4.6,0.545,0.5329999999999999,1.3,1.5,0.862,0.3,1.3,1.6,4.5,0.8,0.2,2.1,2.9,8.9,16.1,2.3000000000000003,18.400000000000002
11,,31.0,Did Not Play (retired),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,32.0,Did Not Play (retired),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,33.0,Did Not Play (retired),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,34.0,,NBA,PG,2.0,0.0,2.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.5
15,35.0,,NBA,PG,5.0,0.0,8.6,0.8,2.8,0.28600000000000003,0.4,1.8,0.222,0.4,1.0,0.4,0.35700000000000004,1.4,1.6,0.875,0.0,0.4,0.4,2.0,0.2,0.0,1.6,1.4,3.4,5.800000000000001,0.6000000000000001,6.4
16,,,NBA,,438.0,55.0,19.2,3.0,6.4,0.467,0.4,1.3,0.33899999999999997,2.7,5.5,0.489,0.49200000000000005,1.7,2.1,0.81,0.3,1.2,1.6,3.9,0.8,0.1,1.8,2.3,8.0,14.3,2.1,16.400000000000002
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,NBA,,280.0,15.0,19.8,3.2,6.7,0.479,0.2,0.6,0.303,3.1,6.2,0.49200000000000005,0.489,1.8,2.2,0.818,0.4,1.3,1.6,3.8,0.8,0.1,1.7,2.2,8.4,14.7,2.2,16.9
19,,,NBA,,79.0,9.0,20.5,2.7,6.5,0.418,0.8,2.5,0.345,1.8,4.0,0.462,0.483,1.5,1.9,0.779,0.2,1.5,1.7,5.5,0.9,0.1,2.0,2.7,7.8,17.0,2.5,19.5
20,,,NBA,,43.0,31.0,20.6,3.2,6.5,0.5,0.9,2.4,0.369,2.3,4.1,0.5770000000000001,0.568,1.5,1.8,0.831,0.3,1.1,1.4,4.0,0.7,0.1,2.0,2.6,8.8,15.100000000000001,1.9000000000000001,17.0
21,,,NBA,,36.0,,10.4,1.8,4.2,0.414,,,,1.8,4.2,0.414,0.414,1.0,1.3,0.7659999999999999,0.3,0.7,1.0,1.7,0.4,0.1,0.8,1.8,4.5,7.3999999999999995,1.2000000000000002,8.6
