,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,CHI,NBA,SG,71.0,4.0,12.2,1.5,3.6,0.426,0.2,0.6,0.35700000000000004,1.3,3.0,0.439,0.455,0.3,0.6,0.511,0.5,1.7,2.2,0.8,0.5,0.2,0.8,1.4,3.6,4.9,2.4000000000000004,7.300000000000001
1,23.0,CHI,NBA,SG,69.0,22.0,20.8,2.6,6.1,0.428,0.4,1.3,0.33,2.2,4.8,0.45299999999999996,0.462,1.1,1.5,0.721,0.7,3.0,3.7,1.9,0.9,0.4,1.3,1.9,6.7,9.899999999999999,4.3,14.2
2,24.0,TOT,NBA,SF-SG,66.0,36.0,22.0,2.3,5.4,0.426,0.4,1.3,0.276,1.9,4.1,0.474,0.45899999999999996,0.9,1.1,0.836,0.8,2.8,3.7,1.7,1.1,0.7,1.0,1.6,5.9,9.100000000000001,4.6,13.700000000000001
3,24.0,CHI,NBA,SF,43.0,14.0,17.1,1.8,4.2,0.434,0.3,1.2,0.3,1.5,3.1,0.485,0.475,0.5,0.6,0.84,0.6,2.3,2.9,1.5,0.8,0.4,0.9,1.2,4.5,7.199999999999999,3.4999999999999996,10.7
4,24.0,OKC,NBA,SG,23.0,22.0,31.2,3.2,7.6,0.41700000000000004,0.4,1.6,0.243,2.8,6.0,0.46399999999999997,0.44299999999999995,1.7,2.1,0.833,1.2,4.0,5.2,2.0,1.7,1.1,1.2,2.3,8.5,12.5,6.800000000000001,19.3
5,25.0,OKC,NBA,SG,82.0,82.0,28.6,2.4,5.4,0.44,0.5,1.6,0.313,1.9,3.8,0.494,0.486,0.7,1.1,0.674,0.9,3.8,4.7,1.8,1.2,0.6,1.1,1.9,6.0,9.4,5.6,15.0
6,26.0,OKC,NBA,SG,79.0,79.0,25.9,2.0,4.2,0.47100000000000003,0.4,1.3,0.275,1.6,2.9,0.5579999999999999,0.514,0.7,1.0,0.747,0.8,3.6,4.4,1.4,1.2,0.5,0.7,2.2,5.1,7.999999999999999,5.3,13.299999999999999
7,27.0,OKC,NBA,SG,42.0,42.0,21.8,1.6,3.7,0.43200000000000005,0.7,1.7,0.43700000000000006,0.9,2.0,0.429,0.532,0.9,1.0,0.884,0.5,2.5,3.0,1.1,0.9,0.4,1.0,1.9,4.8,6.5,3.8,10.3
8,28.0,OKC,NBA,SG,81.0,81.0,27.5,2.8,5.8,0.48100000000000004,1.3,3.2,0.419,1.4,2.6,0.5579999999999999,0.597,0.7,0.9,0.826,0.7,3.2,3.9,1.5,1.3,0.5,0.8,2.2,7.6,10.5,5.0,15.5
9,29.0,OKC,NBA,SG,61.0,61.0,26.0,2.3,5.6,0.415,0.8,2.5,0.316,1.5,3.1,0.495,0.485,0.9,1.1,0.768,0.8,2.8,3.6,1.5,1.3,0.3,0.9,1.5,6.3,9.2,4.3999999999999995,13.599999999999998
10,30.0,ATL,NBA,SF,52.0,7.0,18.8,2.0,4.8,0.418,0.5,1.5,0.321,1.5,3.3,0.462,0.46799999999999997,0.9,1.1,0.7759999999999999,1.0,3.3,4.3,1.4,1.0,0.4,0.7,1.3,5.3,8.4,4.7,13.100000000000001
11,31.0,ATL,NBA,SF,75.0,11.0,23.4,2.5,5.0,0.505,0.6,1.7,0.33899999999999997,1.9,3.3,0.589,0.562,0.8,1.3,0.626,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4,9.0,5.4,14.4
12,32.0,ATL,NBA,SF,62.0,42.0,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.49200000000000005,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,10.6,5.5,16.1
13,,,NBA,,740.0,467.0,23.3,2.3,5.1,0.446,0.6,1.7,0.345,1.7,3.4,0.49700000000000005,0.504,0.8,1.1,0.732,0.8,3.1,3.9,1.5,1.1,0.5,0.9,1.7,5.9,8.799999999999999,4.7,13.5
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,OKC,NBA,,368.0,367.0,26.7,2.3,5.2,0.44799999999999995,0.7,2.0,0.353,1.6,3.1,0.51,0.518,0.8,1.1,0.773,0.8,3.3,4.1,1.5,1.2,0.5,0.9,2.0,6.2,9.1,5.0,14.1
16,,ATL,NBA,,189.0,60.0,22.9,2.5,5.4,0.45899999999999996,0.6,1.7,0.335,1.9,3.7,0.516,0.512,0.9,1.2,0.698,0.8,3.5,4.4,1.5,1.2,0.5,0.9,1.4,6.4,9.299999999999999,5.2,14.5
17,,CHI,NBA,,183.0,40.0,16.6,2.0,4.7,0.428,0.3,1.0,0.32799999999999996,1.7,3.7,0.455,0.46299999999999997,0.7,1.0,0.684,0.6,2.3,2.9,1.4,0.7,0.3,1.0,1.5,5.0,7.4,3.3,10.7
