,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,SG,32.0,3.0,11.7,2.1,4.3,0.478,0.2,0.6,0.3,1.9,3.7,0.508,0.5,0.9,1.2,0.784,0.3,1.0,1.3,0.6,0.4,0.1,0.7,1.3,5.2,6.0,1.5,7.5
1,21.0,,NBA,SF,81.0,26.0,22.0,3.8,9.1,0.419,1.2,3.2,0.368,2.7,5.9,0.447,0.484,1.6,2.0,0.805,0.8,1.7,2.6,1.0,0.5,0.3,1.5,2.4,10.4,11.7,2.5,14.2
2,22.0,,NBA,SF,30.0,0.0,12.1,1.7,5.0,0.344,0.5,1.3,0.385,1.2,3.7,0.33,0.39399999999999996,1.1,1.4,0.8290000000000001,0.4,1.7,2.1,1.0,0.3,0.1,1.1,1.5,5.1,6.4,2.1,8.5
3,22.0,,NBA,SF,29.0,0.0,12.3,1.7,5.1,0.331,0.5,1.3,0.385,1.2,3.8,0.312,0.382,1.2,1.4,0.8290000000000001,0.4,1.8,2.1,1.0,0.3,0.1,1.1,1.5,5.1,6.4,2.2,8.600000000000001
4,22.0,,NBA,SF,1.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,8.0
5,23.0,,NBA,SG,38.0,12.0,9.9,2.1,4.7,0.439,0.4,1.2,0.304,1.7,3.5,0.485,0.478,0.7,0.8,0.8440000000000001,0.4,1.1,1.4,0.4,0.3,0.1,0.9,1.3,5.2,5.5,1.5000000000000002,7.0
6,,24.0,Did Not Play (other pro league—Russia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,25.0,Did Not Play (other pro league—Russia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26.0,,NBA,SF,31.0,2.0,25.2,5.0,10.3,0.48100000000000004,1.4,3.5,0.391,3.6,6.8,0.529,0.5479999999999999,1.6,2.1,0.754,0.5,3.0,3.5,1.1,0.9,0.5,1.8,2.6,12.9,13.8,4.4,18.200000000000003
9,27.0,,NBA,SF,60.0,7.0,18.0,2.6,7.1,0.366,1.0,3.1,0.314,1.6,3.9,0.40700000000000003,0.435,0.9,1.1,0.8,0.5,1.8,2.4,0.8,0.3,0.4,0.9,1.1,7.0,8.2,2.5,10.7
10,28.0,,NBA,SG,82.0,48.0,28.4,5.5,12.3,0.445,2.5,6.2,0.4,3.0,6.0,0.49200000000000005,0.547,2.4,2.8,0.848,0.6,2.8,3.4,1.5,0.9,0.5,1.8,2.7,15.8,17.6,4.199999999999999,21.8
11,29.0,,NBA,SG,74.0,4.0,19.5,4.4,10.5,0.41600000000000004,1.9,5.2,0.354,2.5,5.3,0.478,0.504,1.3,1.6,0.825,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2.0,11.9,13.299999999999999,2.9000000000000004,16.2
12,30.0,,NBA,SG,69.0,14.0,22.6,3.3,8.5,0.392,1.2,3.8,0.32299999999999995,2.1,4.7,0.446,0.46299999999999997,1.0,1.3,0.7829999999999999,0.4,2.0,2.4,0.8,0.6,0.3,0.7,1.8,8.9,10.200000000000001,2.9,13.100000000000001
13,31.0,,NBA,SF,47.0,0.0,11.4,2.0,4.9,0.409,0.8,2.4,0.35100000000000003,1.2,2.6,0.46299999999999997,0.494,0.7,0.9,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,5.6,6.8,1.7,8.5
14,,,NBA,,544.0,116.0,19.5,3.5,8.4,0.42,1.3,3.5,0.361,2.2,4.8,0.46299999999999997,0.496,1.3,1.6,0.8140000000000001,0.5,1.9,2.4,1.0,0.5,0.3,1.2,1.9,9.6,10.9,2.6999999999999997,13.6
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,NBA,,160.0,29.0,16.8,2.9,6.9,0.425,0.9,2.4,0.36,2.1,4.5,0.46,0.488,1.2,1.5,0.802,0.6,1.5,2.1,0.8,0.4,0.2,1.0,1.8,8.0,9.2,2.1,11.299999999999999
17,,,NBA,,156.0,52.0,24.2,4.9,11.4,0.433,2.2,5.8,0.38,2.8,5.7,0.486,0.528,1.9,2.2,0.84,0.5,2.4,3.0,1.4,0.7,0.3,1.6,2.3,14.0,15.700000000000001,3.3999999999999995,19.1
18,,,NBA,,69.0,14.0,22.6,3.3,8.5,0.392,1.2,3.8,0.32299999999999995,2.1,4.7,0.446,0.46299999999999997,1.0,1.3,0.7829999999999999,0.4,2.0,2.4,0.8,0.6,0.3,0.7,1.8,8.9,10.200000000000001,2.9,13.100000000000001
19,,,NBA,,60.0,7.0,18.0,2.6,7.1,0.366,1.0,3.1,0.314,1.6,3.9,0.40700000000000003,0.435,0.9,1.1,0.8,0.5,1.8,2.4,0.8,0.3,0.4,0.9,1.1,7.0,8.2,2.5,10.7
20,,,NBA,,38.0,12.0,9.9,2.1,4.7,0.439,0.4,1.2,0.304,1.7,3.5,0.485,0.478,0.7,0.8,0.8440000000000001,0.4,1.1,1.4,0.4,0.3,0.1,0.9,1.3,5.2,5.5,1.5000000000000002,7.0
21,,,NBA,,31.0,2.0,25.2,5.0,10.3,0.48100000000000004,1.4,3.5,0.391,3.6,6.8,0.529,0.5479999999999999,1.6,2.1,0.754,0.5,3.0,3.5,1.1,0.9,0.5,1.8,2.6,12.9,13.8,4.4,18.200000000000003
22,,,NBA,,29.0,0.0,12.3,1.7,5.1,0.331,0.5,1.3,0.385,1.2,3.8,0.312,0.382,1.2,1.4,0.8290000000000001,0.4,1.8,2.1,1.0,0.3,0.1,1.1,1.5,5.1,6.4,2.2,8.600000000000001
23,,,NBA,,1.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,8.0
