,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,SAC,NBA,PG,65.0,37.0,25.5,3.9,8.8,0.44799999999999995,1.3,3.4,0.379,2.7,5.4,0.491,0.521,2.4,2.8,0.8320000000000001,0.7,1.8,2.6,4.1,0.8,0.1,1.6,1.9,11.5,18.799999999999997,2.7,21.499999999999996
1,23.0,SAC,NBA,PG,79.0,62.0,26.9,4.6,10.5,0.44,1.5,4.1,0.358,3.2,6.5,0.491,0.509,3.2,3.6,0.882,0.4,1.7,2.0,4.0,0.8,0.0,1.8,2.1,13.9,20.5,2.5,23.0
2,24.0,SAC,NBA,PG,72.0,54.0,34.7,6.9,15.2,0.45299999999999996,1.8,5.1,0.349,5.1,10.2,0.504,0.51,4.8,5.7,0.85,0.7,2.3,2.9,6.3,1.3,0.1,3.0,2.6,20.3,30.6,3.6999999999999997,34.300000000000004
3,25.0,TOT,NBA,PG,67.0,1.0,25.8,5.0,11.9,0.42,1.9,5.2,0.373,3.1,6.7,0.457,0.501,4.5,5.2,0.868,0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2,16.4,23.199999999999996,2.8000000000000003,25.999999999999996
4,25.0,PHO,NBA,PG,46.0,1.0,25.7,4.7,11.1,0.426,1.8,4.5,0.391,3.0,6.6,0.449,0.505,4.0,4.6,0.872,0.6,1.8,2.4,3.7,1.0,0.1,1.9,2.3,15.2,21.3,2.9,24.2
5,25.0,BOS,NBA,PG,21.0,0.0,26.0,5.6,13.6,0.41100000000000003,2.3,6.6,0.345,3.3,7.0,0.473,0.495,5.6,6.5,0.861,0.3,1.8,2.1,5.4,0.6,0.0,2.6,2.1,19.0,27.5,2.4,29.9
6,26.0,BOS,NBA,PG,82.0,79.0,32.2,7.2,16.9,0.428,2.0,5.7,0.359,5.2,11.2,0.462,0.488,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2,32.5,3.6,36.1
7,27.0,BOS,NBA,PG,76.0,76.0,33.8,9.0,19.4,0.46299999999999997,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,38.5,3.2,41.7
8,,,NBA,,441.0,309.0,30.0,6.2,13.9,0.44299999999999995,2.0,5.4,0.36700000000000005,4.2,8.6,0.491,0.514,4.8,5.5,0.8759999999999999,0.6,2.0,2.6,5.2,1.0,0.1,2.3,2.2,19.1,27.8,3.1,30.900000000000002
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,SAC,NBA,,216.0,153.0,29.1,5.2,11.6,0.447,1.5,4.2,0.36,3.7,7.4,0.49700000000000005,0.512,3.5,4.1,0.857,0.6,1.9,2.5,4.8,1.0,0.1,2.1,2.2,15.3,23.4,3.0,26.4
11,,BOS,NBA,,179.0,155.0,32.2,7.8,17.5,0.44299999999999995,2.6,7.0,0.368,5.2,10.6,0.49200000000000005,0.516,6.6,7.4,0.889,0.5,2.2,2.7,6.0,1.0,0.1,2.7,2.1,24.7,34.5,3.3000000000000003,37.8
12,,PHO,NBA,,46.0,1.0,25.7,4.7,11.1,0.426,1.8,4.5,0.391,3.0,6.6,0.449,0.505,4.0,4.6,0.872,0.6,1.8,2.4,3.7,1.0,0.1,1.9,2.3,15.2,21.3,2.9,24.2
