,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,DAL,NBA,SF,78.0,16.0,17.3,1.8,4.7,0.384,0.8,2.5,0.32799999999999996,1.0,2.2,0.446,0.47,0.6,0.9,0.644,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1.6,5.0,7.2,2.9000000000000004,10.100000000000001
1,23.0,DAL,NBA,SF,78.0,8.0,16.1,1.7,3.8,0.439,0.6,1.9,0.331,1.0,1.9,0.552,0.524,0.6,0.8,0.754,0.6,1.9,2.5,0.8,0.8,0.3,0.5,1.3,4.6,6.3,3.0,9.3
2,24.0,TOT,NBA,SF,82.0,17.0,20.1,2.8,6.6,0.42,0.7,2.5,0.293,2.0,4.1,0.499,0.47600000000000003,1.3,1.7,0.773,0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7,10.200000000000001,3.9,14.100000000000001
3,24.0,DAL,NBA,SF,25.0,0.0,10.6,1.3,3.0,0.434,0.5,1.5,0.342,0.8,1.5,0.526,0.52,0.4,0.4,0.909,0.5,0.7,1.2,0.5,0.6,0.2,0.4,1.0,3.6,4.699999999999999,1.4999999999999998,6.199999999999999
4,24.0,BOS,NBA,SF,57.0,17.0,24.2,3.4,8.2,0.418,0.8,3.0,0.282,2.6,5.2,0.495,0.469,1.7,2.3,0.762,1.1,3.6,4.6,1.4,1.0,0.4,0.7,1.9,9.5,12.700000000000001,5.0,17.700000000000003
5,25.0,BOS,NBA,SF,73.0,73.0,31.6,4.9,11.1,0.44299999999999995,1.7,5.0,0.336,3.3,6.2,0.529,0.518,2.7,3.3,0.82,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,17.699999999999996,6.4,24.099999999999994
6,26.0,BOS,NBA,SF,72.0,72.0,32.4,4.6,10.0,0.46299999999999997,2.2,5.5,0.39799999999999996,2.4,4.5,0.54,0.5720000000000001,2.4,3.0,0.8109999999999999,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9,17.9,6.3999999999999995,24.299999999999997
7,,,NBA,,383.0,186.0,23.2,3.1,7.2,0.435,1.2,3.4,0.34600000000000003,1.9,3.7,0.516,0.518,1.5,1.9,0.785,0.7,3.1,3.8,1.4,1.0,0.3,0.8,1.9,8.9,11.6,4.3999999999999995,16.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,BOS,NBA,,202.0,162.0,29.8,4.4,9.9,0.444,1.6,4.6,0.353,2.8,5.3,0.523,0.526,2.3,2.9,0.804,0.9,4.3,5.2,1.8,1.3,0.4,1.0,2.3,12.8,16.3,6.0,22.3
10,,DAL,NBA,,181.0,24.0,15.9,1.7,4.1,0.41100000000000003,0.7,2.1,0.331,1.0,2.0,0.49700000000000005,0.49700000000000005,0.6,0.8,0.71,0.5,1.8,2.3,0.9,0.8,0.2,0.6,1.4,4.6,6.3,2.8000000000000003,9.1
