,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,PF,80.0,73.0,27.9,3.6,7.5,0.48100000000000004,0.5,1.4,0.313,3.2,6.1,0.52,0.511,1.6,2.2,0.71,2.4,3.6,6.0,0.7,1.0,0.4,1.0,2.9,9.3,12.100000000000001,5.0,17.1
1,,23.0,Did Not Play (injury—achilles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24.0,,NBA,PF,64.0,13.0,22.9,3.3,7.1,0.46799999999999997,0.5,1.7,0.302,2.8,5.4,0.519,0.503,1.6,1.9,0.8059999999999999,1.5,3.3,4.8,0.7,0.6,0.3,1.0,2.5,8.7,10.6,4.2,14.8
3,25.0,,NBA,PF,49.0,2.0,18.2,2.9,6.4,0.449,0.5,1.7,0.301,2.4,4.8,0.502,0.489,1.4,1.8,0.773,1.4,2.4,3.8,0.9,0.8,0.2,0.9,1.8,7.7,10.0,3.4000000000000004,13.4
4,26.0,,NBA,PF,64.0,0.0,11.6,1.5,3.3,0.47100000000000003,0.5,1.2,0.419,1.0,2.1,0.5,0.546,0.7,0.9,0.7290000000000001,0.8,1.9,2.7,0.6,0.3,0.1,0.7,1.3,4.2,5.5,2.3,7.8
5,27.0,,NBA,PF,75.0,0.0,16.4,2.3,5.1,0.446,0.7,1.9,0.386,1.5,3.2,0.48100000000000004,0.517,0.7,0.9,0.848,1.2,2.5,3.8,0.9,0.6,0.2,0.6,1.8,6.0,8.4,3.3000000000000003,11.700000000000001
6,27.0,,NBA,PF,46.0,0.0,15.3,2.0,4.3,0.46,0.6,1.7,0.368,1.4,2.7,0.516,0.53,0.7,0.8,0.861,1.0,2.1,3.1,0.9,0.6,0.2,0.6,1.7,5.2,7.4,2.9000000000000004,10.3
7,27.0,,NBA,PF,29.0,0.0,18.2,2.7,6.2,0.431,0.9,2.2,0.406,1.8,4.0,0.444,0.503,0.9,1.0,0.833,1.6,3.2,4.8,1.0,0.7,0.2,0.6,2.0,7.1,10.1,4.1000000000000005,14.2
8,28.0,,NBA,PF,78.0,0.0,15.1,1.5,3.7,0.413,0.6,1.4,0.39799999999999996,1.0,2.3,0.42100000000000004,0.488,0.8,1.0,0.782,1.0,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4,6.3,3.3,9.6
9,29.0,,NBA,PF,78.0,6.0,15.8,1.5,3.4,0.435,0.6,1.7,0.34600000000000003,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,5.9,3.2,9.100000000000001
10,,,NBA,,488.0,94.0,18.4,2.3,5.1,0.456,0.5,1.5,0.35200000000000004,1.8,3.6,0.501,0.509,1.0,1.3,0.763,1.3,2.8,4.1,0.8,0.6,0.3,0.8,2.0,6.2,8.3,3.6999999999999997,12.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,NBA,,303.0,88.0,19.9,2.7,5.9,0.469,0.5,1.5,0.335,2.2,4.4,0.514,0.511,1.2,1.6,0.76,1.5,2.7,4.3,0.7,0.7,0.2,0.9,2.1,7.2,9.2,3.6000000000000005,12.8
13,,,NBA,,185.0,6.0,15.9,1.7,3.9,0.425,0.6,1.6,0.377,1.1,2.3,0.45899999999999996,0.503,0.6,0.8,0.772,1.0,2.8,3.8,0.9,0.3,0.3,0.6,1.7,4.6,6.8,3.3999999999999995,10.2
