,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,NJN,NBA,C,82,75,30.5,5.5,10.3,0.531,0.0,0.0,0.0,5.5,10.3,0.532,0.531,2.1,2.6,0.7929999999999999,2.7,5.4,8.1,1.0,0.5,1.8,1.8,3.1,13.0,15.899999999999999,7.7,23.599999999999998
1,21.0,NJN,NBA,C,82,82,36.9,6.9,13.8,0.499,0.0,0.0,0.0,6.9,13.7,0.5,0.499,5.1,6.2,0.8170000000000001,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8,24.2,7.800000000000001,32.0
2,22.0,NJN,NBA,C,82,82,35.2,7.9,16.0,0.49200000000000005,0.0,0.0,0.0,7.9,16.0,0.49200000000000005,0.49200000000000005,4.7,6.0,0.787,2.4,3.5,6.0,1.6,0.6,1.5,2.1,2.9,20.4,23.9,5.6,29.5
3,23.0,NJN,NBA,C,5,5,27.2,7.6,15.4,0.494,0.0,0.0,,7.6,15.4,0.494,0.494,4.0,6.4,0.625,1.6,2.0,3.6,1.2,0.2,0.8,1.2,1.6,19.2,22.0,3.0,25.0
4,24.0,BRK,NBA,C,74,74,30.4,7.7,14.8,0.521,0.0,0.0,0.0,7.7,14.8,0.522,0.521,4.0,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4,22.2,6.6,28.799999999999997
5,25.0,BRK,NBA,C,17,17,31.4,7.6,13.5,0.563,0.0,0.1,0.0,7.6,13.4,0.5660000000000001,0.563,5.5,6.8,0.8170000000000001,2.3,3.7,6.0,0.9,0.5,1.8,1.6,3.1,20.7,23.199999999999996,6.0,29.199999999999996
6,26.0,BRK,NBA,C,72,44,29.2,7.0,13.7,0.513,0.0,0.1,0.1,7.0,13.6,0.517,0.513,3.1,3.8,0.8140000000000001,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2,20.200000000000003,6.8999999999999995,27.1
7,27.0,BRK,NBA,C,73,73,33.7,8.1,15.8,0.511,0.0,0.2,0.14300000000000002,8.1,15.7,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,20.6,25.000000000000004,7.6,32.6
8,28.0,BRK,NBA,C,75,75,29.6,7.4,15.6,0.474,1.8,5.2,0.34600000000000003,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,24.2,6.0,30.2
9,,,NBA,,562,527,32.2,7.2,14.2,0.506,0.2,0.7,0.32799999999999996,7.0,13.5,0.515,0.514,3.9,5.0,0.794,2.6,4.5,7.1,1.5,0.6,1.7,2.1,2.8,18.6,22.1,6.8,28.900000000000002
