,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,27.0,HOU,NBA,PF,82.0,39.0,24.7,4.2,8.2,0.515,0.0,0.0,0.0,4.2,8.1,0.517,0.515,1.9,2.9,0.6679999999999999,2.1,4.3,6.4,1.3,0.7,0.2,1.3,2.9,10.3,13.7,5.2,18.9
1,28.0,HOU,NBA,PF,82.0,82.0,30.3,5.2,9.7,0.531,0.0,0.0,0.0,5.2,9.7,0.5329999999999999,0.531,2.4,3.1,0.76,2.4,6.3,8.8,1.5,0.8,0.1,1.5,3.2,12.7,16.6,7.199999999999999,23.8
2,29.0,HOU,NBA,PF,82.0,82.0,32.6,6.8,13.3,0.514,0.0,0.1,0.2,6.8,13.2,0.515,0.514,2.5,3.3,0.779,2.1,6.5,8.6,2.1,0.8,0.3,2.0,3.0,16.2,20.5,7.6,28.1
3,30.0,HOU,NBA,PF,74.0,74.0,32.6,7.7,15.3,0.504,0.0,0.0,0.0,7.7,15.2,0.505,0.504,2.9,3.9,0.738,2.0,6.2,8.2,2.5,0.6,0.6,2.0,3.1,18.3,23.3,7.3999999999999995,30.7
4,31.0,HOU,NBA,PF,66.0,66.0,31.3,6.6,13.5,0.491,0.0,0.0,0.0,6.6,13.4,0.493,0.491,2.3,3.0,0.773,1.8,4.6,6.5,2.1,0.5,0.4,2.3,3.2,15.5,19.2,5.5,24.7
5,32.0,PHO,NBA,PF,82.0,67.0,26.6,5.3,11.2,0.47200000000000003,0.0,0.2,0.188,5.2,11.0,0.47700000000000004,0.474,2.2,2.8,0.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,3.1,12.8,17.6,5.9,23.5
6,33.0,IND,NBA,PF,82.0,2.0,17.1,3.2,6.8,0.47,0.0,0.1,0.14300000000000002,3.2,6.7,0.474,0.47100000000000003,1.2,1.7,0.728,1.0,3.7,4.8,1.0,0.3,0.2,1.3,2.0,7.6,9.299999999999999,4.2,13.5
7,34.0,IND,NBA,PF,81.0,16.0,20.5,3.7,7.9,0.467,0.1,0.2,0.25,3.6,7.7,0.474,0.47100000000000003,2.0,2.8,0.6990000000000001,1.7,4.8,6.5,1.3,0.6,0.2,1.2,2.4,9.4,12.5,5.6,18.1
8,35.0,TOR,NBA,PF,76.0,76.0,21.5,3.5,7.9,0.45,0.9,2.1,0.40399999999999997,2.7,5.8,0.467,0.504,0.8,1.1,0.726,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,8.7,10.7,4.6000000000000005,15.3
9,36.0,BRK,NBA,PF,36.0,1.0,12.8,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1.0,0.6759999999999999,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,5.1,7.6,2.9,10.5
10,,,NBA,,743.0,505.0,25.6,4.9,10.0,0.493,0.1,0.4,0.33899999999999997,4.8,9.7,0.499,0.499,2.0,2.6,0.74,1.8,4.9,6.7,1.6,0.6,0.3,1.5,2.7,12.0,15.5,5.8,21.3
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,HOU,NBA,,386.0,343.0,30.2,6.0,11.9,0.51,0.0,0.0,0.059000000000000004,6.0,11.8,0.512,0.51,2.4,3.2,0.7440000000000001,2.1,5.6,7.7,1.9,0.7,0.3,1.8,3.1,14.5,18.599999999999998,6.6,25.199999999999996
13,,IND,NBA,,163.0,18.0,18.8,3.5,7.4,0.46799999999999997,0.0,0.2,0.222,3.4,7.2,0.474,0.47100000000000003,1.6,2.2,0.71,1.4,4.3,5.6,1.1,0.4,0.2,1.2,2.2,8.5,10.9,4.9,15.8
14,,PHO,NBA,,82.0,67.0,26.6,5.3,11.2,0.47200000000000003,0.0,0.2,0.188,5.2,11.0,0.47700000000000004,0.474,2.2,2.8,0.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,3.1,12.8,17.6,5.9,23.5
15,,TOR,NBA,,76.0,76.0,21.5,3.5,7.9,0.45,0.9,2.1,0.40399999999999997,2.7,5.8,0.467,0.504,0.8,1.1,0.726,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,8.7,10.7,4.6000000000000005,15.3
16,,BRK,NBA,,36.0,1.0,12.8,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1.0,0.6759999999999999,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,5.1,7.6,2.9,10.5
