,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,25.0,MIN,NBA,SG,4.0,0.0,18.0,1.8,5.0,0.35,1.0,3.3,0.308,0.8,1.8,0.429,0.45,1.0,1.0,1.0,0.3,1.3,1.5,1.0,0.8,0.0,0.5,0.8,5.5,7.3,2.1,9.4
1,26.0,TOT,NBA,SG,31.0,0.0,19.9,4.0,8.7,0.456,1.3,3.7,0.342,2.7,5.0,0.5379999999999999,0.528,1.9,2.2,0.8959999999999999,0.4,1.4,1.8,0.9,0.4,0.1,1.0,1.2,11.1,12.3,1.9,14.200000000000001
2,26.0,DEN,NBA,SG,8.0,0.0,10.3,1.0,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1.0,0.47600000000000003,0.9,1.0,0.875,0.3,0.5,0.8,0.4,0.3,0.0,0.5,0.9,3.4,4.0,0.8,4.8
3,26.0,BRK,NBA,SG,23.0,0.0,23.2,5.0,10.8,0.462,1.5,4.2,0.361,3.5,6.6,0.526,0.532,2.3,2.6,0.898,0.4,1.7,2.2,1.1,0.4,0.1,1.2,1.3,13.8,15.200000000000003,2.2,17.400000000000002
4,27.0,BRK,NBA,SG,70.0,24.0,25.1,4.4,10.5,0.415,1.5,4.4,0.341,2.9,6.1,0.46799999999999997,0.486,2.9,3.5,0.843,0.3,3.7,4.0,2.2,0.6,0.1,1.9,1.7,13.1,15.9,4.3999999999999995,20.3
5,,,NBA,,105.0,24.0,23.3,4.1,9.8,0.424,1.4,4.1,0.34,2.7,5.6,0.486,0.49700000000000005,2.6,3.0,0.856,0.3,2.9,3.3,1.8,0.6,0.1,1.6,1.5,12.2,14.499999999999998,3.6,18.099999999999998
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,BRK,NBA,,93.0,24.0,24.6,4.5,10.6,0.42700000000000005,1.5,4.4,0.34600000000000003,3.0,6.2,0.484,0.498,2.8,3.2,0.8540000000000001,0.3,3.2,3.5,2.0,0.6,0.1,1.7,1.6,13.3,15.900000000000002,3.9000000000000004,19.800000000000004
8,,DEN,NBA,,8.0,0.0,10.3,1.0,2.6,0.381,0.5,2.1,0.235,0.5,0.5,1.0,0.47600000000000003,0.9,1.0,0.875,0.3,0.5,0.8,0.4,0.3,0.0,0.5,0.9,3.4,4.0,0.8,4.8
9,,MIN,NBA,,4.0,0.0,18.0,1.8,5.0,0.35,1.0,3.3,0.308,0.8,1.8,0.429,0.45,1.0,1.0,1.0,0.3,1.3,1.5,1.0,0.8,0.0,0.5,0.8,5.5,7.3,2.1,9.4
