,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,WAS,NBA,PF,65.0,14.0,16.4,2.1,3.9,0.5489999999999999,0.0,0.0,0.0,2.1,3.9,0.552,0.5489999999999999,1.0,1.6,0.6729999999999999,1.5,2.4,3.9,0.5,0.4,0.6,0.6,1.8,5.3,7.2,3.4,10.6
1,24.0,WAS,NBA,PF,50.0,32.0,25.2,3.6,6.8,0.531,0.0,0.0,0.5,3.6,6.8,0.531,0.532,1.1,1.9,0.602,2.4,4.1,6.5,0.8,1.0,0.9,1.2,2.8,8.4,11.200000000000001,6.0,17.200000000000003
2,25.0,WAS,NBA,PF,48.0,14.0,18.5,2.3,4.6,0.491,0.0,0.1,0.0,2.3,4.5,0.502,0.491,0.8,1.5,0.556,2.0,2.9,5.0,0.8,0.7,0.3,0.6,2.0,5.3,8.3,3.8999999999999995,12.2
3,26.0,WAS,NBA,PF,72.0,45.0,21.6,3.1,5.6,0.551,0.0,0.0,0.0,3.1,5.6,0.5539999999999999,0.551,0.7,1.1,0.618,2.1,3.2,5.3,0.9,0.6,0.6,0.8,1.8,6.8,9.899999999999999,4.4,14.299999999999999
4,27.0,UTA,NBA,PF,79.0,5.0,19.8,2.9,5.9,0.48700000000000004,0.4,1.1,0.345,2.5,4.8,0.518,0.518,1.1,1.9,0.581,1.8,3.3,5.0,1.1,0.5,0.5,1.1,1.8,7.2,10.1,4.3,14.399999999999999
5,28.0,UTA,NBA,PF,79.0,2.0,20.7,2.4,4.9,0.49,0.2,0.5,0.293,2.3,4.4,0.513,0.505,0.9,1.3,0.67,2.1,3.6,5.7,1.1,0.7,0.5,1.0,2.1,5.9,9.200000000000001,4.8,14.0
6,29.0,BRK,NBA,PF,71.0,43.0,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,14.0,7.5,21.5
7,,,NBA,,464.0,155.0,20.9,3.0,5.7,0.515,0.1,0.5,0.315,2.8,5.3,0.5329999999999999,0.528,1.0,1.5,0.626,2.0,3.7,5.6,1.0,0.7,0.6,1.0,2.0,7.0,10.0,5.0,15.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,WAS,NBA,,235.0,105.0,20.3,2.8,5.2,0.534,0.0,0.0,0.1,2.8,5.1,0.5379999999999999,0.535,0.9,1.5,0.617,2.0,3.1,5.1,0.8,0.6,0.6,0.8,2.0,6.4,9.2,4.3,13.5
10,,UTA,NBA,,158.0,7.0,20.2,2.6,5.4,0.488,0.3,0.8,0.32799999999999996,2.4,4.6,0.516,0.512,1.0,1.6,0.618,1.9,3.4,5.4,1.1,0.6,0.5,1.1,2.0,6.5,9.5,4.5,14.0
11,,BRK,NBA,,71.0,43.0,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,14.0,7.5,21.5
