,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,SF,68.0,64.0,25.3,4.2,8.5,0.491,0.0,0.1,0.0,4.2,8.5,0.494,0.491,2.1,2.7,0.757,1.7,3.2,5.0,1.1,0.7,0.7,1.1,3.5,10.4,13.200000000000001,4.6000000000000005,17.8
1,23.0,,NBA,SF,82.0,61.0,26.1,4.2,8.9,0.473,0.0,0.0,0.0,4.2,8.9,0.473,0.473,1.7,2.2,0.775,2.3,2.4,4.7,1.0,0.8,0.7,1.0,3.5,10.1,13.399999999999999,3.9000000000000004,17.299999999999997
2,24.0,,NBA,SF,79.0,2.0,14.7,2.2,4.5,0.489,0.1,0.3,0.25,2.1,4.3,0.503,0.496,0.8,1.1,0.7759999999999999,1.3,1.6,2.9,0.5,0.5,0.6,0.6,2.4,5.3,7.0,2.7,9.7
3,25.0,,NBA,PF,68.0,21.0,23.5,3.0,5.6,0.531,0.0,0.1,0.4,3.0,5.6,0.5329999999999999,0.534,1.8,2.5,0.723,1.9,3.1,5.0,0.7,0.5,0.8,0.9,2.6,7.9,10.299999999999999,4.4,14.7
4,26.0,,NBA,SF,54.0,8.0,14.3,1.5,3.5,0.435,0.0,0.0,0.0,1.5,3.5,0.43700000000000006,0.435,1.2,1.5,0.78,1.2,1.7,2.9,0.2,0.3,0.6,0.6,1.7,4.3,5.300000000000001,2.6,7.9
5,,27.0,Did Not Play (other pro league—Spain),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,28.0,"Did Not Play (other pro league—Spain, Italy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,29.0,,NBA,SF,73.0,4.0,19.1,1.8,3.8,0.48200000000000004,0.0,0.0,0.0,1.8,3.7,0.48700000000000004,0.48200000000000004,1.2,1.7,0.696,1.6,2.3,4.0,0.5,0.4,0.8,0.6,2.1,4.8,6.800000000000001,3.5,10.3
8,30.0,,NBA,SF,24.0,0.0,11.1,0.8,1.8,0.429,0.0,0.0,,0.8,1.8,0.429,0.429,0.9,1.2,0.75,0.8,1.2,2.0,0.3,0.2,0.2,0.6,1.8,2.4,3.1999999999999997,1.5999999999999999,4.8
9,,,NBA,,448.0,160.0,20.2,2.8,5.7,0.485,0.0,0.1,0.20600000000000002,2.8,5.6,0.489,0.48700000000000004,1.4,1.9,0.7490000000000001,1.7,2.3,4.0,0.7,0.5,0.7,0.8,2.6,7.0,9.299999999999999,3.5,12.799999999999999
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,NBA,,351.0,156.0,21.0,3.1,6.4,0.48700000000000004,0.0,0.1,0.226,3.1,6.3,0.49,0.488,1.5,2.0,0.758,1.7,2.4,4.2,0.7,0.6,0.7,0.8,2.8,7.7,10.0,3.7,13.7
12,,,NBA,,97.0,4.0,17.1,1.5,3.3,0.475,0.0,0.0,0.0,1.5,3.2,0.479,0.475,1.1,1.6,0.706,1.4,2.1,3.5,0.4,0.3,0.7,0.6,2.0,4.2,5.800000000000001,3.0999999999999996,8.9
