,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,GSW,NBA,PG,33.0,0.0,7.3,1.1,2.8,0.387,0.5,1.2,0.39,0.6,1.6,0.385,0.473,0.2,0.3,0.778,0.1,0.3,0.4,0.5,0.2,0.0,0.4,0.5,2.9,3.6,0.5,4.1
1,22.0,GSW,NBA,SG,42.0,23.0,21.0,3.3,7.5,0.442,1.2,3.1,0.397,2.1,4.4,0.473,0.524,1.0,1.2,0.769,0.2,1.5,1.7,2.1,0.9,0.0,1.4,1.7,8.9,11.9,2.4,14.3
2,23.0,TOR,NBA,SG,66.0,1.0,17.0,2.3,5.7,0.406,0.9,2.4,0.38,1.4,3.3,0.425,0.485,1.5,1.8,0.835,0.2,1.2,1.4,1.3,0.6,0.1,0.9,1.2,7.1,9.0,1.9,10.9
3,24.0,NOH,NBA,SG,80.0,69.0,24.5,3.8,8.6,0.43700000000000006,1.7,4.1,0.414,2.1,4.6,0.45799999999999996,0.534,1.2,1.6,0.784,0.2,1.7,1.9,1.2,0.5,0.1,1.0,1.8,10.5,12.1,2.3000000000000003,14.4
4,25.0,NOH,NBA,SG,66.0,55.0,29.8,4.3,10.4,0.41700000000000004,1.6,4.3,0.377,2.7,6.1,0.445,0.495,1.5,2.0,0.7829999999999999,0.3,2.3,2.6,1.5,0.7,0.1,1.0,1.7,11.8,14.100000000000001,3.1,17.200000000000003
5,26.0,CHI,NBA,SG,73.0,27.0,25.8,3.3,8.4,0.395,1.1,3.0,0.35700000000000004,2.2,5.3,0.41600000000000004,0.46,1.9,2.3,0.8390000000000001,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6,12.700000000000001,2.4,15.100000000000001
6,27.0,SAS,NBA,SF,80.0,25.0,25.2,4.2,8.7,0.485,1.6,3.7,0.43,2.6,5.0,0.525,0.5760000000000001,1.4,1.6,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4,14.8,3.3000000000000003,18.1
7,28.0,SAS,NBA,SG,62.0,9.0,22.4,3.2,7.6,0.423,1.4,3.7,0.374,1.8,3.9,0.47100000000000003,0.515,1.4,1.6,0.848,0.4,2.1,2.5,1.5,0.5,0.0,1.0,1.4,9.2,11.6,2.6,14.2
8,29.0,SAC,NBA,SG,68.0,7.0,24.6,3.6,9.3,0.386,1.3,4.4,0.306,2.3,5.0,0.456,0.457,1.7,2.0,0.833,0.1,1.6,1.7,1.9,0.5,0.0,1.2,1.3,10.2,12.9,2.1,15.0
9,30.0,CHO,NBA,SG,74.0,0.0,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,13.799999999999999,2.9000000000000004,16.7
10,,,NBA,,644.0,216.0,23.1,3.4,8.1,0.425,1.3,3.5,0.377,2.1,4.5,0.461,0.507,1.5,1.8,0.8320000000000001,0.2,1.8,2.1,1.7,0.6,0.1,1.0,1.5,9.6,12.2,2.5,14.7
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,NOH,NBA,,146.0,124.0,26.9,4.0,9.4,0.42700000000000005,1.7,4.2,0.396,2.4,5.3,0.451,0.515,1.4,1.7,0.7829999999999999,0.2,2.0,2.2,1.3,0.6,0.1,1.0,1.8,11.1,12.9,2.7,15.600000000000001
13,,SAS,NBA,,142.0,34.0,24.0,3.8,8.2,0.46,1.5,3.7,0.405,2.3,4.5,0.505,0.551,1.4,1.6,0.848,0.3,2.4,2.7,1.9,0.6,0.1,1.1,1.5,10.4,13.4,3.1,16.5
14,,GSW,NBA,,75.0,23.0,15.0,2.3,5.5,0.429,0.9,2.3,0.395,1.4,3.2,0.45399999999999996,0.512,0.6,0.8,0.77,0.2,1.0,1.1,1.4,0.5,0.0,0.9,1.2,6.2,8.299999999999999,1.5,9.799999999999999
15,,CHO,NBA,,74.0,0.0,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,13.799999999999999,2.9000000000000004,16.7
16,,CHI,NBA,,73.0,27.0,25.8,3.3,8.4,0.395,1.1,3.0,0.35700000000000004,2.2,5.3,0.41600000000000004,0.46,1.9,2.3,0.8390000000000001,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6,12.700000000000001,2.4,15.100000000000001
17,,SAC,NBA,,68.0,7.0,24.6,3.6,9.3,0.386,1.3,4.4,0.306,2.3,5.0,0.456,0.457,1.7,2.0,0.833,0.1,1.6,1.7,1.9,0.5,0.0,1.2,1.3,10.2,12.9,2.1,15.0
18,,TOR,NBA,,66.0,1.0,17.0,2.3,5.7,0.406,0.9,2.4,0.38,1.4,3.3,0.425,0.485,1.5,1.8,0.835,0.2,1.2,1.4,1.3,0.6,0.1,0.9,1.2,7.1,9.0,1.9,10.9
