,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,UTA,NBA,SG,57.0,0.0,13.5,2.0,5.3,0.38,0.2,0.7,0.256,1.8,4.6,0.39799999999999996,0.396,0.8,1.0,0.7859999999999999,0.4,0.9,1.3,1.3,0.5,0.0,0.9,1.5,5.0,7.1,1.4,8.5
1,22.0,MIL,NBA,PG,80.0,80.0,28.2,4.0,9.2,0.43799999999999994,0.4,1.2,0.32299999999999995,3.6,8.0,0.456,0.46,1.7,2.0,0.85,0.6,2.4,3.1,6.1,0.9,0.1,2.5,2.8,10.2,20.5,3.4,23.9
2,23.0,MIL,NBA,PG,58.0,12.0,26.4,4.6,10.8,0.424,1.3,3.3,0.382,3.3,7.6,0.44299999999999995,0.483,1.7,1.9,0.85,0.5,1.9,2.5,4.0,0.9,0.1,1.8,2.5,12.1,18.8,2.9,21.7
3,24.0,MIL,NBA,PG,68.0,68.0,36.4,6.9,15.4,0.446,1.2,3.4,0.34600000000000003,5.7,12.1,0.474,0.484,2.3,2.7,0.855,0.8,4.0,4.8,6.1,1.3,0.1,3.0,3.0,17.3,27.3,5.3999999999999995,32.7
4,25.0,MIL,NBA,PG,66.0,66.0,36.5,6.7,13.9,0.48,1.3,3.5,0.385,5.3,10.4,0.512,0.528,2.5,2.9,0.856,0.6,2.9,3.5,6.3,1.2,0.2,2.8,2.8,17.2,27.599999999999998,4.3,31.9
5,26.0,CLE,NBA,PG,81.0,81.0,35.0,6.5,13.9,0.467,2.3,5.2,0.436,4.2,8.7,0.486,0.5479999999999999,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,2.7,17.8,24.400000000000002,3.9,28.3
6,27.0,CLE,NBA,PG,69.0,68.0,34.2,5.5,12.4,0.442,2.3,5.4,0.429,3.2,7.0,0.452,0.535,2.6,2.9,0.894,0.4,2.6,3.0,5.3,1.0,0.3,2.5,2.5,15.8,24.3,3.9,28.2
7,28.0,TOT,NBA,PG,58.0,56.0,30.8,5.0,12.6,0.39899999999999997,1.4,4.2,0.324,3.7,8.4,0.436,0.45299999999999996,2.6,3.1,0.853,0.4,2.3,2.6,6.6,0.9,0.2,2.9,2.6,14.0,24.700000000000003,3.4,28.1
8,28.0,CLE,NBA,PG,36.0,34.0,29.6,4.9,12.8,0.385,1.0,3.8,0.265,3.9,9.1,0.436,0.424,2.4,2.8,0.833,0.4,2.3,2.7,7.1,0.9,0.3,2.9,2.5,13.3,25.0,3.4999999999999996,28.5
9,28.0,LAC,NBA,PG,22.0,22.0,32.9,5.1,12.2,0.42200000000000004,2.0,4.9,0.39799999999999996,3.2,7.3,0.43799999999999994,0.502,3.0,3.4,0.88,0.3,2.3,2.5,5.6,0.9,0.0,3.0,2.7,15.2,23.7,3.1999999999999997,26.9
10,29.0,LAC,NBA,SG,52.0,1.0,28.3,5.0,11.8,0.426,1.8,4.6,0.389,3.2,7.2,0.449,0.502,1.4,1.5,0.9,0.4,1.5,1.9,3.1,1.0,0.1,1.7,2.0,13.2,18.1,2.6,20.700000000000003
