,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,IND,NBA,C,14.0,0.0,3.9,0.4,1.5,0.23800000000000002,0.0,0.0,,0.4,1.5,0.23800000000000002,0.23800000000000002,0.2,0.3,0.75,0.9,0.7,1.6,0.1,0.0,0.2,0.2,0.4,0.9,1.8,0.8999999999999999,2.7
1,25.0,PHO,NBA,C,80.0,79.0,24.6,3.6,6.9,0.517,0.0,0.0,,3.6,6.9,0.517,0.517,0.9,1.7,0.561,2.5,5.4,7.8,0.5,0.6,1.1,1.4,2.3,8.1,10.2,7.1,17.299999999999997
2,26.0,TOT,NBA,C,73.0,28.0,16.4,1.9,3.5,0.535,0.0,0.0,,1.9,3.5,0.535,0.535,0.3,0.6,0.478,1.5,2.8,4.4,0.5,0.6,0.9,0.7,1.5,4.0,5.8,4.3,10.1
3,26.0,PHO,NBA,C,54.0,28.0,18.6,2.0,3.6,0.5489999999999999,0.0,0.0,,2.0,3.6,0.5489999999999999,0.5489999999999999,0.4,0.7,0.5,1.8,3.3,5.1,0.5,0.6,1.0,0.8,1.8,4.3,6.3,4.9,11.2
4,26.0,MIL,NBA,C,19.0,0.0,9.9,1.5,3.1,0.49200000000000005,0.0,0.0,,1.5,3.1,0.49200000000000005,0.49200000000000005,0.2,0.4,0.375,0.9,1.5,2.4,0.4,0.3,0.6,0.3,0.6,3.2,4.6000000000000005,2.4,7.0
5,27.0,MIL,NBA,C,61.0,14.0,14.3,2.3,3.8,0.601,0.0,0.0,,2.3,3.8,0.601,0.601,0.6,1.0,0.5760000000000001,1.5,2.3,3.8,0.3,0.3,0.8,0.7,1.2,5.1,6.499999999999999,3.3999999999999995,9.899999999999999
6,28.0,TOT,NBA,C,45.0,12.0,10.8,1.0,2.0,0.478,0.0,0.0,,1.0,2.0,0.478,0.478,0.6,0.9,0.6409999999999999,0.8,1.3,2.1,0.5,0.4,0.3,0.7,1.6,2.5,3.5999999999999996,2.0,5.6
7,28.0,MIL,NBA,C,32.0,12.0,9.7,0.9,2.1,0.441,0.0,0.0,,0.9,2.1,0.441,0.441,0.7,1.1,0.629,0.7,0.9,1.7,0.6,0.3,0.3,0.7,1.5,2.6,3.8,1.5,5.3
8,28.0,CHO,NBA,C,13.0,0.0,13.4,1.1,1.8,0.583,0.0,0.0,,1.1,1.8,0.583,0.583,0.2,0.3,0.75,1.2,2.1,3.2,0.2,0.5,0.3,0.6,1.9,2.4,3.4,2.9,6.3
9,,,NBA,,273.0,133.0,16.7,2.2,4.2,0.53,0.0,0.0,,2.2,4.2,0.53,0.53,0.6,1.0,0.564,1.7,3.1,4.7,0.4,0.5,0.8,0.9,1.6,5.1,6.699999999999999,4.4,11.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,PHO,NBA,,134.0,107.0,22.2,2.9,5.6,0.525,0.0,0.0,,2.9,5.6,0.525,0.525,0.7,1.3,0.547,2.2,4.5,6.7,0.5,0.6,1.1,1.2,2.1,6.6,8.600000000000001,6.199999999999999,14.8
12,,MIL,NBA,,112.0,26.0,12.2,1.8,3.2,0.5529999999999999,0.0,0.0,,1.8,3.2,0.5529999999999999,0.5529999999999999,0.5,0.9,0.578,1.2,1.8,3.0,0.4,0.3,0.6,0.6,1.2,4.1,5.5,2.7,8.2
13,,IND,NBA,,14.0,0.0,3.9,0.4,1.5,0.23800000000000002,0.0,0.0,,0.4,1.5,0.23800000000000002,0.23800000000000002,0.2,0.3,0.75,0.9,0.7,1.6,0.1,0.0,0.2,0.2,0.4,0.9,1.8,0.8999999999999999,2.7
14,,CHO,NBA,,13.0,0.0,13.4,1.1,1.8,0.583,0.0,0.0,,1.1,1.8,0.583,0.583,0.2,0.3,0.75,1.2,2.1,3.2,0.2,0.5,0.3,0.6,1.9,2.4,3.4,2.9,6.3
