,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,IND,NBA,C,70.0,42.0,14.4,2.8,6.0,0.47100000000000003,0.0,0.0,,2.8,6.0,0.47100000000000003,0.47100000000000003,1.4,2.1,0.667,1.6,1.8,3.5,0.7,0.3,1.1,0.8,3.1,7.1,9.299999999999999,3.2,12.5
1,23.0,IND,NBA,C,81.0,69.0,25.1,4.8,9.7,0.495,0.0,0.1,0.5,4.7,9.6,0.495,0.49700000000000005,2.1,2.8,0.754,2.2,3.5,5.7,2.0,0.4,1.6,1.8,3.5,11.7,16.099999999999998,5.5,21.599999999999998
2,24.0,IND,NBA,C,81.0,80.0,27.7,5.1,11.0,0.461,0.0,0.0,0.0,5.1,10.9,0.46299999999999997,0.461,2.5,3.4,0.745,2.2,5.3,7.5,2.0,0.4,1.8,2.3,3.2,12.7,16.599999999999998,7.5,24.099999999999998
3,25.0,IND,NBA,C,65.0,65.0,29.8,5.1,10.3,0.49700000000000005,0.0,0.0,0.0,5.1,10.3,0.498,0.49700000000000005,2.6,3.7,0.711,3.3,5.5,8.8,1.7,0.5,2.0,2.0,3.0,12.8,17.5,8.0,25.5
4,26.0,IND,NBA,C,79.0,79.0,28.7,4.9,10.9,0.44799999999999995,0.0,0.1,0.25,4.9,10.8,0.449,0.449,2.1,2.8,0.741,3.7,4.6,8.3,1.4,0.5,2.6,2.1,3.5,11.9,16.299999999999997,7.699999999999999,23.999999999999996
5,27.0,IND,NBA,C,81.0,81.0,29.7,4.1,9.3,0.439,0.0,0.1,0.4,4.1,9.2,0.439,0.44,2.6,3.3,0.77,2.5,4.1,6.6,1.1,0.4,2.2,1.8,3.3,10.8,13.7,6.7,20.4
6,28.0,IND,NBA,C,76.0,76.0,25.3,4.2,9.3,0.446,0.0,0.0,0.0,4.2,9.3,0.44799999999999995,0.446,2.2,2.7,0.8240000000000001,2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6,13.5,6.9,20.4
7,29.0,LAL,NBA,C,81.0,81.0,23.2,2.2,5.1,0.44299999999999995,0.0,0.0,0.0,2.2,5.0,0.445,0.44299999999999995,1.4,1.8,0.807,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9,9.0,5.1,14.1
8,30.0,TOT,NBA,C,48.0,13.0,14.2,1.7,3.1,0.544,0.0,0.0,,1.7,3.1,0.544,0.544,1.3,1.6,0.813,1.1,2.0,3.2,0.4,0.2,1.0,0.7,2.1,4.6,5.8,3.2,9.0
9,30.0,CHO,NBA,C,42.0,13.0,16.0,1.9,3.4,0.542,0.0,0.0,,1.9,3.4,0.542,0.542,1.5,1.8,0.813,1.3,2.3,3.6,0.5,0.2,1.0,0.7,2.3,5.2,6.8,3.5,10.3
10,30.0,DEN,NBA,C,6.0,0.0,1.8,0.3,0.5,0.667,0.0,0.0,,0.3,0.5,0.667,0.667,0.0,0.0,,0.2,0.2,0.3,0.2,0.0,0.3,0.2,0.5,0.7,1.1,0.5,1.6
11,,,NBA,,662.0,586.0,24.8,4.0,8.5,0.465,0.0,0.0,0.25,4.0,8.5,0.466,0.465,2.1,2.7,0.755,2.3,4.0,6.3,1.3,0.4,1.7,1.6,3.1,10.0,13.3,6.1000000000000005,19.400000000000002
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,IND,NBA,,533.0,492.0,25.9,4.4,9.5,0.46399999999999997,0.0,0.0,0.273,4.4,9.5,0.465,0.465,2.2,3.0,0.748,2.5,4.3,6.8,1.4,0.4,1.9,1.7,3.2,11.1,14.7,6.6,21.299999999999997
14,,LAL,NBA,,81.0,81.0,23.2,2.2,5.1,0.44299999999999995,0.0,0.0,0.0,2.2,5.0,0.445,0.44299999999999995,1.4,1.8,0.807,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9,9.0,5.1,14.1
15,,CHO,NBA,,42.0,13.0,16.0,1.9,3.4,0.542,0.0,0.0,,1.9,3.4,0.542,0.542,1.5,1.8,0.813,1.3,2.3,3.6,0.5,0.2,1.0,0.7,2.3,5.2,6.8,3.5,10.3
16,,DEN,NBA,,6.0,0.0,1.8,0.3,0.5,0.667,0.0,0.0,,0.3,0.5,0.667,0.667,0.0,0.0,,0.2,0.2,0.3,0.2,0.0,0.3,0.2,0.5,0.7,1.1,0.5,1.6
