,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,GSW,NBA,SG,67.0,17.0,22.6,3.8,8.0,0.478,1.3,2.7,0.467,2.5,5.2,0.483,0.5579999999999999,1.2,1.4,0.87,1.2,1.8,3.0,1.2,0.5,0.2,0.8,1.9,10.1,12.899999999999999,2.5,15.399999999999999
1,24.0,GSW,NBA,SG,69.0,37.0,29.2,4.8,10.2,0.46799999999999997,2.0,4.4,0.456,2.7,5.7,0.47700000000000004,0.568,1.5,1.7,0.8859999999999999,0.9,2.9,3.8,1.5,0.9,0.2,1.2,2.3,13.0,15.7,4.0,19.7
2,25.0,NJN,NBA,SG,58.0,47.0,32.0,4.8,10.7,0.45,1.9,4.5,0.423,2.9,6.2,0.469,0.539,1.7,1.8,0.897,0.6,2.3,3.0,1.2,0.3,0.1,0.9,2.3,13.2,15.299999999999999,2.6999999999999997,18.0
3,26.0,NJN,NBA,SG,62.0,18.0,26.4,4.4,10.6,0.413,1.7,4.6,0.371,2.7,6.0,0.446,0.494,1.6,1.7,0.9329999999999999,0.5,1.5,2.0,1.0,0.7,0.1,1.1,1.4,12.0,13.4,2.3000000000000003,15.700000000000001
4,27.0,TOT,NBA,SG,41.0,1.0,9.3,1.6,3.5,0.441,0.4,1.0,0.37200000000000005,1.2,2.5,0.47100000000000003,0.49700000000000005,0.5,0.5,0.909,0.3,0.5,0.7,0.3,0.3,0.0,0.2,1.0,4.0,4.7,0.8,5.5
5,27.0,ATL,NBA,SG,24.0,1.0,12.5,2.0,4.6,0.423,0.6,1.6,0.395,1.3,3.0,0.43799999999999994,0.491,0.7,0.8,0.889,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,5.2,6.2,1.2,7.4
6,27.0,DAL,NBA,SG,17.0,0.0,4.8,1.0,2.0,0.5,0.1,0.3,0.2,0.9,1.7,0.552,0.515,0.2,0.2,1.0,0.1,0.2,0.2,0.2,0.1,0.0,0.2,0.6,2.3,2.5999999999999996,0.30000000000000004,2.8999999999999995
7,28.0,NOP,NBA,SG,76.0,9.0,18.8,3.1,6.8,0.45799999999999996,1.2,2.6,0.451,2.0,4.3,0.462,0.542,0.9,1.1,0.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4,9.700000000000001,2.2,11.900000000000002
8,29.0,OKC,NBA,SG,74.0,0.0,24.4,3.9,8.3,0.46299999999999997,1.9,4.4,0.434,1.9,3.9,0.49700000000000005,0.578,1.1,1.2,0.888,0.5,2.1,2.6,0.8,0.7,0.1,0.5,1.8,10.7,12.299999999999999,2.9,15.2
9,30.0,OKC,NBA,SG,68.0,6.0,13.6,2.0,4.9,0.408,1.2,3.0,0.387,0.8,1.9,0.442,0.527,0.4,0.6,0.7440000000000001,0.1,0.8,0.9,0.4,0.3,0.1,0.3,0.9,5.6,6.2,1.2000000000000002,7.4
10,31.0,TOT,NBA,SG,49.0,7.0,14.6,2.0,5.1,0.389,0.8,2.7,0.308,1.2,2.4,0.479,0.47,0.7,0.8,0.919,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5,6.6000000000000005,0.9,7.500000000000001
11,31.0,OKC,NBA,SG,40.0,7.0,15.7,2.2,5.6,0.386,0.9,3.0,0.294,1.3,2.6,0.49,0.46399999999999997,0.6,0.7,0.885,0.3,0.5,0.7,0.5,0.6,0.1,0.2,1.0,5.8,6.8999999999999995,1.2000000000000002,8.1
12,31.0,CHI,NBA,SG,9.0,0.0,9.7,1.3,3.2,0.414,0.7,1.6,0.429,0.7,1.7,0.4,0.517,1.2,1.2,1.0,0.1,0.1,0.2,0.7,0.2,0.0,0.0,0.4,4.6,6.1,0.30000000000000004,6.3999999999999995
13,,,NBA,,564.0,142.0,21.8,3.5,7.8,0.447,1.4,3.4,0.41700000000000004,2.0,4.3,0.47,0.539,1.1,1.2,0.88,0.5,1.6,2.2,0.9,0.6,0.1,0.7,1.6,9.4,11.0,2.3000000000000003,13.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,OKC,NBA,,182.0,13.0,18.5,2.8,6.4,0.433,1.4,3.6,0.39399999999999996,1.4,2.9,0.48200000000000004,0.542,0.7,0.8,0.851,0.3,1.2,1.6,0.6,0.5,0.1,0.3,1.3,7.7,8.899999999999999,1.8,10.7
16,,GSW,NBA,,136.0,54.0,26.0,4.3,9.1,0.47200000000000003,1.7,3.6,0.46,2.6,5.5,0.48,0.563,1.3,1.5,0.879,1.0,2.3,3.4,1.4,0.7,0.2,1.0,2.1,11.6,14.399999999999999,3.2,17.599999999999998
17,,NJN,NBA,,120.0,65.0,29.1,4.6,10.7,0.431,1.8,4.6,0.396,2.8,6.1,0.45799999999999996,0.516,1.6,1.8,0.915,0.6,1.9,2.5,1.1,0.5,0.1,1.0,1.8,12.6,14.4,2.5,16.9
18,,NOP,NBA,,76.0,9.0,18.8,3.1,6.8,0.45799999999999996,1.2,2.6,0.451,2.0,4.3,0.462,0.542,0.9,1.1,0.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4,9.700000000000001,2.2,11.900000000000002
19,,ATL,NBA,,24.0,1.0,12.5,2.0,4.6,0.423,0.6,1.6,0.395,1.3,3.0,0.43799999999999994,0.491,0.7,0.8,0.889,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,5.2,6.2,1.2,7.4
20,,DAL,NBA,,17.0,0.0,4.8,1.0,2.0,0.5,0.1,0.3,0.2,0.9,1.7,0.552,0.515,0.2,0.2,1.0,0.1,0.2,0.2,0.2,0.1,0.0,0.2,0.6,2.3,2.5999999999999996,0.30000000000000004,2.8999999999999995
21,,CHI,NBA,,9.0,0.0,9.7,1.3,3.2,0.414,0.7,1.6,0.429,0.7,1.7,0.4,0.517,1.2,1.2,1.0,0.1,0.1,0.2,0.7,0.2,0.0,0.0,0.4,4.6,6.1,0.30000000000000004,6.3999999999999995
