,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,MIA,NBA,PG,61.0,56.0,34.9,6.1,13.1,0.465,0.3,0.9,0.302,5.8,12.2,0.47700000000000004,0.475,3.8,5.1,0.747,1.4,2.7,4.0,4.5,1.4,0.6,3.2,2.3,16.2,23.400000000000002,4.699999999999999,28.1
1,23.0,MIA,NBA,SG,77.0,77.0,38.6,8.2,17.1,0.478,0.2,0.6,0.289,8.0,16.5,0.485,0.483,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1,34.9,6.4,41.3
2,24.0,MIA,NBA,SG,75.0,75.0,38.6,9.3,18.8,0.495,0.2,1.0,0.171,9.1,17.8,0.513,0.499,8.4,10.7,0.7829999999999999,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,38.4,6.999999999999999,45.4
3,25.0,MIA,NBA,SG,51.0,50.0,37.9,9.3,18.9,0.491,0.4,1.5,0.266,8.8,17.3,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,39.199999999999996,7.000000000000001,46.199999999999996
4,26.0,MIA,NBA,SG,51.0,49.0,38.3,8.6,18.4,0.469,0.4,1.5,0.28600000000000003,8.2,16.9,0.485,0.48,6.9,9.2,0.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6,34.900000000000006,5.7,40.60000000000001
5,27.0,MIA,NBA,SG,79.0,79.0,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,42.9,7.3999999999999995,50.3
6,28.0,MIA,NBA,SG,77.0,77.0,36.3,9.3,19.6,0.47600000000000003,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.7609999999999999,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,37.7,6.4,44.1
7,29.0,MIA,NBA,SG,76.0,76.0,37.1,9.1,18.2,0.5,0.8,2.7,0.306,8.3,15.5,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,33.199999999999996,7.4,40.599999999999994
8,30.0,MIA,NBA,SG,49.0,49.0,33.2,8.5,17.1,0.49700000000000005,0.3,1.1,0.268,8.2,15.9,0.513,0.506,4.8,6.1,0.7909999999999999,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1,30.199999999999996,6.3,36.49999999999999
9,31.0,MIA,NBA,SG,69.0,69.0,34.7,8.2,15.8,0.521,0.2,1.0,0.258,8.0,14.9,0.537,0.528,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,29.799999999999994,6.3999999999999995,36.199999999999996
10,32.0,MIA,NBA,SG,54.0,53.0,32.9,7.7,14.1,0.545,0.2,0.6,0.281,7.5,13.5,0.557,0.551,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0,26.5,5.4,31.9
11,33.0,MIA,NBA,SG,62.0,62.0,31.8,8.2,17.5,0.47,0.5,1.6,0.284,7.7,15.8,0.489,0.483,4.6,6.0,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5,28.6,4.1,32.7
12,34.0,MIA,NBA,SG,74.0,73.0,30.5,7.3,16.0,0.456,0.1,0.6,0.159,7.2,15.4,0.46799999999999997,0.45899999999999996,4.4,5.5,0.7929999999999999,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,26.599999999999998,4.699999999999999,31.299999999999997
13,35.0,CHI,NBA,SG,60.0,59.0,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,24.7,5.6000000000000005,30.3
14,,,NBA,,915.0,904.0,35.4,8.5,17.5,0.484,0.5,1.6,0.287,8.0,15.8,0.505,0.498,5.9,7.7,0.768,1.2,3.6,4.8,5.7,1.6,0.9,3.3,2.3,23.3,32.6,6.1000000000000005,38.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,MIA,NBA,,855.0,845.0,35.7,8.6,17.6,0.488,0.5,1.6,0.284,8.1,16.0,0.508,0.501,6.1,7.9,0.767,1.3,3.6,4.8,5.8,1.7,0.9,3.4,2.3,23.7,33.2,6.2,39.400000000000006
17,,CHI,NBA,,60.0,59.0,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,24.7,5.6000000000000005,30.3
