,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,PHO,NBA,C,60.0,7.0,10.2,1.2,2.3,0.518,0.0,0.0,0.0,1.2,2.3,0.522,0.518,0.8,1.1,0.691,0.9,1.1,2.0,0.1,0.2,0.7,0.5,1.6,3.2,3.8000000000000007,2.0,5.800000000000001
1,21.0,PHO,NBA,C,51.0,31.0,19.3,3.4,5.7,0.588,0.0,0.0,,3.4,5.7,0.588,0.588,1.7,2.5,0.7040000000000001,2.0,2.8,4.9,0.1,0.2,1.0,0.8,2.3,8.4,9.8,4.0,13.8
2,22.0,PHO,NBA,C,67.0,56.0,14.8,2.7,5.3,0.501,0.0,0.0,,2.7,5.3,0.501,0.501,1.1,1.5,0.74,1.2,2.0,3.2,0.1,0.3,0.7,0.7,2.1,6.4,7.1000000000000005,3.0,10.100000000000001
3,23.0,PHO,NBA,C,64.0,0.0,14.0,1.9,4.2,0.461,0.0,0.0,,1.9,4.2,0.461,0.461,1.6,2.2,0.7140000000000001,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2.0,5.4,6.7,3.0999999999999996,9.8
4,24.0,NOH,NBA,C,82.0,82.0,26.0,4.7,8.8,0.534,0.0,0.0,,4.7,8.8,0.534,0.534,2.0,2.5,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,11.3,14.4,4.9,19.3
5,25.0,POR,NBA,C,82.0,82.0,31.7,4.3,7.9,0.551,0.0,0.0,0.0,4.3,7.8,0.552,0.551,2.4,3.0,0.818,4.0,4.6,8.5,0.9,0.3,1.7,1.0,2.4,11.1,15.899999999999999,6.6,22.5
6,26.0,POR,NBA,C,59.0,59.0,27.8,4.0,7.4,0.535,0.0,0.0,0.0,4.0,7.4,0.537,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,13.4,5.199999999999999,18.6
7,27.0,NYK,NBA,C,82.0,82.0,27.1,4.4,8.1,0.539,0.0,0.0,0.0,4.4,8.1,0.54,0.539,1.6,2.0,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3,14.799999999999999,5.9,20.7
8,28.0,CHI,NBA,C,81.0,81.0,28.0,4.7,9.6,0.493,0.0,0.0,0.0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4,14.3,5.0,19.3
9,,,NBA,,628.0,480.0,22.9,3.6,6.8,0.526,0.0,0.0,0.0,3.6,6.8,0.527,0.526,1.5,2.0,0.7609999999999999,2.5,3.0,5.5,0.7,0.3,1.3,1.0,2.1,8.7,11.6,4.6,16.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,PHO,NBA,,242.0,94.0,14.4,2.3,4.4,0.517,0.0,0.0,0.0,2.3,4.4,0.518,0.517,1.3,1.8,0.7140000000000001,1.4,1.9,3.3,0.2,0.2,0.8,0.7,2.0,5.8,6.8999999999999995,2.9000000000000004,9.8
12,,POR,NBA,,141.0,141.0,30.1,4.2,7.7,0.545,0.0,0.0,0.0,4.2,7.7,0.546,0.545,2.1,2.6,0.802,3.7,4.1,7.8,0.9,0.3,1.6,1.1,2.3,10.5,14.9,6.0,20.9
13,,NOH,NBA,,82.0,82.0,26.0,4.7,8.8,0.534,0.0,0.0,,4.7,8.8,0.534,0.534,2.0,2.5,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,11.3,14.4,4.9,19.3
14,,NYK,NBA,,82.0,82.0,27.1,4.4,8.1,0.539,0.0,0.0,0.0,4.4,8.1,0.54,0.539,1.6,2.0,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3,14.799999999999999,5.9,20.7
15,,CHI,NBA,,81.0,81.0,28.0,4.7,9.6,0.493,0.0,0.0,0.0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4,14.3,5.0,19.3
