,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,MIL,NBA,PF,82.0,77.0,28.6,3.9,7.4,0.5329999999999999,0.0,0.0,0.0,3.9,7.4,0.536,0.5329999999999999,1.5,2.4,0.629,2.3,4.7,7.0,2.3,0.6,0.8,1.5,3.2,9.4,14.8,6.1,20.9
1,22.0,MIL,NBA,C,66.0,66.0,34.2,5.3,9.5,0.5529999999999999,0.0,0.1,0.2,5.3,9.5,0.556,0.5539999999999999,1.7,2.9,0.5770000000000001,2.5,6.3,8.8,3.0,0.7,0.5,2.3,3.3,12.3,18.5,7.5,26.0
2,23.0,MIL,NBA,C,78.0,78.0,34.9,6.0,11.7,0.511,0.0,0.1,0.0,6.0,11.6,0.515,0.511,2.4,4.1,0.5870000000000001,3.1,6.6,9.8,2.6,0.8,1.7,2.2,3.3,14.3,20.400000000000002,9.1,29.5
3,24.0,MIL,NBA,C,36.0,33.0,31.2,5.1,8.8,0.5770000000000001,0.0,0.0,,5.1,8.8,0.5770000000000001,0.5770000000000001,1.6,2.7,0.5710000000000001,3.3,7.0,10.3,2.0,0.6,1.0,2.4,3.6,11.7,16.6,8.6,25.200000000000003
4,25.0,MIL,NBA,C,69.0,69.0,32.3,6.9,13.2,0.52,0.0,0.0,0.0,6.9,13.2,0.521,0.52,2.2,3.4,0.629,3.0,7.1,10.2,1.8,0.6,2.5,1.9,3.2,15.9,20.6,10.2,30.8
5,26.0,MIL,NBA,C,65.0,65.0,35.3,5.6,11.4,0.495,0.0,0.1,0.0,5.6,11.4,0.49700000000000005,0.495,1.5,3.3,0.442,3.1,8.0,11.1,2.0,0.7,2.6,1.9,3.3,12.8,18.0,11.299999999999999,29.299999999999997
6,27.0,MIL,NBA,C,12.0,12.0,30.3,5.1,11.3,0.449,0.0,0.1,0.0,5.1,11.3,0.452,0.449,1.2,1.9,0.609,1.8,6.5,8.3,2.6,1.0,2.0,2.0,3.0,11.3,16.3,9.5,25.8
7,28.0,GSW,NBA,C,32.0,32.0,24.6,2.6,5.8,0.451,0.0,0.0,1.0,2.6,5.7,0.44799999999999995,0.45399999999999996,0.6,1.2,0.5,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,5.8,11.000000000000002,7.8,18.8
8,29.0,GSW,NBA,C,67.0,67.0,26.4,3.5,5.6,0.627,0.0,0.0,,3.5,5.6,0.627,0.627,0.3,1.0,0.344,2.7,7.3,10.0,1.7,0.7,1.8,1.4,3.1,7.3,11.999999999999998,9.8,21.799999999999997
9,30.0,GSW,NBA,C,67.0,65.0,23.6,3.0,5.3,0.563,0.0,0.0,,3.0,5.3,0.563,0.563,0.3,0.6,0.524,2.1,6.0,8.1,2.7,0.6,1.7,1.6,2.8,6.3,12.200000000000001,8.299999999999999,20.5
10,31.0,GSW,NBA,C,70.0,66.0,20.7,2.5,4.0,0.627,0.0,0.0,1.0,2.5,4.0,0.626,0.629,0.3,0.7,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4,10.5,7.4,17.9
11,32.0,TOT,NBA,C,27.0,21.0,21.6,1.4,3.0,0.469,0.0,0.0,0.0,1.4,3.0,0.475,0.469,0.1,0.4,0.273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9,7.0,7.4,14.4
12,32.0,DAL,NBA,C,26.0,21.0,22.4,1.5,3.1,0.469,0.0,0.0,0.0,1.5,3.1,0.475,0.469,0.1,0.4,0.273,2.2,6.2,8.4,1.9,0.5,1.0,1.7,3.2,3.0,7.3,7.7,15.0
13,32.0,CLE,NBA,C,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14,,,NBA,,671.0,651.0,29.1,4.4,8.2,0.534,0.0,0.0,0.12,4.4,8.2,0.536,0.534,1.2,2.2,0.556,2.6,6.4,8.9,2.3,0.6,1.6,1.8,3.2,10.0,15.399999999999999,8.6,24.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,MIL,NBA,,408.0,400.0,32.7,5.4,10.4,0.522,0.0,0.1,0.045,5.4,10.4,0.525,0.522,1.8,3.1,0.574,2.8,6.5,9.3,2.3,0.7,1.6,2.0,3.3,12.7,18.099999999999998,8.8,26.9
17,,GSW,NBA,,236.0,230.0,23.7,2.9,5.1,0.581,0.0,0.0,1.0,2.9,5.0,0.58,0.5820000000000001,0.4,0.8,0.44799999999999995,2.2,6.1,8.3,2.2,0.6,1.7,1.4,3.0,6.3,11.5,8.399999999999999,19.9
18,,DAL,NBA,,26.0,21.0,22.4,1.5,3.1,0.469,0.0,0.0,0.0,1.5,3.1,0.475,0.469,0.1,0.4,0.273,2.2,6.2,8.4,1.9,0.5,1.0,1.7,3.2,3.0,7.3,7.7,15.0
19,,CLE,NBA,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
