,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,C,65.0,14.0,24.2,4.7,9.8,0.47700000000000004,0.0,0.1,0.33299999999999996,4.6,9.7,0.479,0.479,2.9,3.5,0.825,2.1,3.6,5.8,0.8,0.5,0.7,1.5,3.1,12.3,14.5,4.8,19.3
1,23.0,,NBA,PF,72.0,59.0,26.3,4.1,9.6,0.433,0.0,0.3,0.16699999999999998,4.1,9.3,0.44,0.435,1.2,1.5,0.787,1.3,4.2,5.5,0.9,0.5,0.6,1.4,3.0,9.5,11.2,5.3,16.5
2,24.0,,NBA,C,78.0,20.0,17.2,2.8,5.8,0.488,0.0,0.1,0.3,2.8,5.7,0.49200000000000005,0.491,1.1,1.4,0.78,1.4,3.2,4.5,0.7,0.4,0.3,0.7,2.7,6.8,8.9,3.9,12.8
3,25.0,,NBA,PF,63.0,1.0,11.8,1.8,4.2,0.423,0.2,0.5,0.33299999999999996,1.6,3.7,0.436,0.444,0.4,0.6,0.722,0.7,1.6,2.2,0.4,0.3,0.3,0.5,1.7,4.2,5.2,2.2,7.4
4,26.0,,NBA,C,81.0,41.0,27.0,3.9,8.7,0.451,2.1,4.8,0.439,1.8,3.8,0.466,0.573,1.2,1.5,0.81,0.8,4.5,5.3,1.4,0.8,0.9,0.9,3.2,11.2,13.899999999999999,6.2,20.099999999999998
5,27.0,,NBA,PF,77.0,64.0,33.0,4.6,10.8,0.43200000000000005,2.2,5.7,0.39,2.4,5.1,0.479,0.535,1.2,1.4,0.8320000000000001,0.8,5.8,6.7,1.2,0.6,1.0,0.9,3.5,12.7,14.999999999999998,7.3999999999999995,22.4
6,28.0,,NBA,PF,64.0,59.0,26.1,4.0,9.6,0.41600000000000004,1.4,4.1,0.34600000000000003,2.6,5.5,0.469,0.49,1.1,1.3,0.89,1.1,4.8,5.9,1.4,0.7,1.1,1.0,2.8,10.5,13.4,6.6,20.0
7,,29.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30.0,,NBA,PF,82.0,82.0,28.2,4.1,9.5,0.43200000000000005,2.0,5.3,0.37,2.1,4.2,0.509,0.535,1.0,1.2,0.821,0.9,4.2,5.1,1.2,0.7,0.8,1.1,3.0,11.1,13.299999999999999,5.7,19.0
9,31.0,,NBA,PF,75.0,51.0,24.9,2.5,6.5,0.392,1.8,4.6,0.39299999999999996,0.7,1.9,0.39,0.532,0.4,0.5,0.8859999999999999,0.4,3.5,3.9,1.3,0.6,0.5,1.0,2.5,7.3,9.3,4.6,13.9
10,32.0,,NBA,PF-C,70.0,32.0,17.1,2.2,5.0,0.43799999999999994,1.3,3.4,0.387,0.9,1.6,0.545,0.569,0.4,0.5,0.857,0.5,2.8,3.3,1.0,0.4,0.4,0.6,1.8,6.1,8.0,3.5999999999999996,11.6
11,32.0,,NBA,PF,44.0,29.0,17.1,1.8,4.2,0.435,1.1,2.8,0.397,0.8,1.5,0.508,0.565,0.4,0.5,0.905,0.5,2.7,3.2,1.0,0.5,0.5,0.7,1.6,5.2,7.0,3.7,10.7
12,32.0,,NBA,C,26.0,3.0,17.2,2.7,6.2,0.441,1.7,4.4,0.377,1.1,1.8,0.596,0.575,0.4,0.5,0.7859999999999999,0.5,3.1,3.6,1.0,0.3,0.3,0.5,2.2,7.5,9.5,3.6999999999999997,13.2
13,33.0,,NBA,C,74.0,15.0,18.9,3.2,7.0,0.45799999999999996,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1.0,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,10.1,4.3,14.399999999999999
14,,,NBA,,801.0,438.0,23.4,3.5,7.9,0.44,1.2,3.1,0.389,2.3,4.8,0.474,0.517,1.1,1.3,0.8220000000000001,0.9,3.8,4.8,1.0,0.5,0.7,0.9,2.7,9.2,11.2,5.0,16.2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,NBA,,304.0,246.0,28.7,4.2,9.6,0.433,2.0,5.0,0.389,2.2,4.6,0.48100000000000004,0.535,1.1,1.3,0.835,0.9,4.8,5.7,1.3,0.7,0.9,1.0,3.1,11.4,13.9,6.4,20.3
17,,,NBA,,141.0,21.0,14.8,2.4,5.1,0.46399999999999997,0.1,0.3,0.326,2.3,4.8,0.473,0.474,0.8,1.0,0.7659999999999999,1.0,2.5,3.5,0.6,0.3,0.3,0.6,2.2,5.6,7.2,3.0999999999999996,10.3
18,,,NBA,,137.0,73.0,25.3,4.4,9.7,0.45399999999999996,0.0,0.2,0.222,4.4,9.5,0.45899999999999996,0.456,2.0,2.5,0.813,1.7,3.9,5.6,0.9,0.5,0.6,1.4,3.0,10.8,12.9,5.0,17.9
19,,,NBA,,119.0,80.0,22.1,2.3,5.7,0.40399999999999997,1.5,3.9,0.39399999999999996,0.7,1.7,0.42700000000000005,0.541,0.4,0.5,0.893,0.4,3.2,3.6,1.2,0.6,0.5,0.9,2.2,6.5,8.4,4.300000000000001,12.700000000000001
20,,,NBA,,100.0,18.0,18.4,3.1,6.8,0.45399999999999996,1.8,4.5,0.401,1.3,2.3,0.556,0.586,0.7,0.9,0.841,0.5,3.3,3.8,0.7,0.4,0.5,0.7,1.9,8.7,9.9,4.199999999999999,14.1
