,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,C,24.0,1.0,10.9,1.0,3.1,0.33799999999999997,0.0,0.2,0.0,1.0,2.9,0.35700000000000004,0.33799999999999997,0.9,1.2,0.7859999999999999,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3.0,4.7,3.1,7.800000000000001
1,24.0,,NBA,C,59.0,3.0,15.4,1.9,4.8,0.4,0.0,0.0,0.0,1.9,4.8,0.401,0.4,1.3,2.4,0.55,1.8,2.8,4.6,0.5,0.5,1.0,1.0,1.5,5.2,7.0,4.3,11.3
2,25.0,,NBA,PF,71.0,0.0,14.5,1.3,2.9,0.44299999999999995,0.0,0.0,0.0,1.3,2.8,0.446,0.44299999999999995,0.9,1.5,0.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,4.999999999999999,5.0,10.0
3,26.0,,NBA,C,67.0,2.0,21.3,2.9,5.3,0.534,0.0,0.0,0.0,2.9,5.3,0.5379999999999999,0.534,2.0,2.8,0.6890000000000001,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7,10.9,5.8,16.7
4,27.0,,NBA,C,32.0,2.0,17.8,1.8,3.1,0.5710000000000001,0.0,0.0,,1.8,3.1,0.5710000000000001,0.5710000000000001,1.5,3.2,0.47600000000000003,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6,5.0,6.5,4.5,11.0
5,,28.0,Did Not Play (suspended—substance abuse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29.0,,NBA,C,5.0,0.0,6.8,0.4,1.4,0.28600000000000003,0.0,0.0,,0.4,1.4,0.28600000000000003,0.28600000000000003,0.4,0.8,0.5,0.4,1.4,1.8,0.0,0.0,0.8,0.2,1.2,1.2,1.4000000000000001,2.2,3.6000000000000005
7,30.0,,NBA,C,71.0,1.0,20.6,2.3,4.1,0.5479999999999999,0.0,0.1,0.2,2.2,4.0,0.56,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,8.5,7.0,15.5
8,31.0,,NBA,PF,76.0,0.0,22.3,1.9,3.3,0.5660000000000001,0.0,0.0,0.0,1.9,3.3,0.573,0.5660000000000001,2.2,3.1,0.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,7.800000000000002,6.9,14.700000000000003
9,32.0,,NBA,C,45.0,0.0,16.3,1.8,3.0,0.599,0.0,0.0,0.0,1.8,3.0,0.603,0.599,1.9,3.0,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,7.5,5.0,12.5
10,33.0,,NBA,C,32.0,1.0,15.2,1.8,3.4,0.546,0.0,0.0,,1.8,3.4,0.546,0.546,1.6,2.6,0.61,1.5,3.1,4.6,0.2,0.6,1.4,0.5,1.6,5.3,6.699999999999999,5.1,11.799999999999999
11,34.0,,NBA,C,42.0,0.0,14.9,1.7,2.9,0.5770000000000001,0.0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,6.500000000000001,4.1,10.600000000000001
12,35.0,,NBA,C,72.0,0.0,19.4,2.5,3.8,0.644,0.0,0.2,0.25,2.4,3.7,0.662,0.649,1.7,2.3,0.71,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,8.3,5.2,13.5
13,36.0,,NBA,C,60.0,20.0,18.9,2.0,3.5,0.58,0.1,0.2,0.308,1.9,3.2,0.598,0.589,1.3,1.9,0.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3,7.3,5.1000000000000005,12.4
14,37.0,,NBA,C,27.0,15.0,14.9,1.4,2.7,0.528,0.1,0.5,0.28600000000000003,1.3,2.1,0.586,0.556,0.9,1.3,0.6940000000000001,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9,5.7,3.4,9.1
15,37.0,,NBA,C,7.0,1.0,5.1,0.6,1.4,0.4,0.3,0.7,0.4,0.3,0.7,0.4,0.5,0.4,0.6,0.75,0.4,0.9,1.3,0.4,0.1,0.4,0.3,0.6,1.9,2.8000000000000003,1.4,4.2
16,37.0,,NBA,C,20.0,14.0,18.3,1.7,3.1,0.5479999999999999,0.1,0.5,0.222,1.6,2.7,0.604,0.565,1.1,1.6,0.688,1.7,2.8,4.5,0.5,0.7,0.5,0.4,1.3,4.6,6.8999999999999995,4.0,10.899999999999999
17,38.0,,NBA,C,12.0,0.0,9.5,0.8,1.8,0.409,0.0,0.3,0.0,0.8,1.6,0.474,0.409,0.8,1.2,0.7140000000000001,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,3.5,2.8000000000000003,6.300000000000001
18,,,NBA,,695.0,45.0,17.7,1.9,3.6,0.532,0.0,0.1,0.221,1.9,3.5,0.541,0.535,1.5,2.3,0.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4,7.400000000000001,5.1,12.5
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,NBA,,378.0,6.0,17.4,1.8,3.6,0.498,0.0,0.1,0.1,1.8,3.5,0.504,0.499,1.6,2.4,0.6509999999999999,1.8,3.4,5.1,0.4,0.5,1.7,0.8,1.9,5.1,6.8999999999999995,5.6,12.5
21,,,NBA,,181.0,21.0,17.6,2.1,3.4,0.605,0.1,0.2,0.33299999999999996,2.0,3.2,0.62,0.614,1.4,2.1,0.6890000000000001,1.5,3.3,4.7,0.5,0.4,1.1,0.7,1.9,5.6,7.3999999999999995,4.8,12.2
22,,,NBA,,104.0,4.0,19.6,2.4,4.5,0.5379999999999999,0.0,0.0,0.0,2.4,4.4,0.541,0.5379999999999999,1.8,2.9,0.613,1.9,3.6,5.5,0.7,0.2,1.4,0.9,2.3,6.5,8.9,5.2,14.100000000000001
23,,,NBA,,20.0,14.0,18.3,1.7,3.1,0.5479999999999999,0.1,0.5,0.222,1.6,2.7,0.604,0.565,1.1,1.6,0.688,1.7,2.8,4.5,0.5,0.7,0.5,0.4,1.3,4.6,6.8999999999999995,4.0,10.899999999999999
24,,,NBA,,12.0,0.0,9.5,0.8,1.8,0.409,0.0,0.3,0.0,0.8,1.6,0.474,0.409,0.8,1.2,0.7140000000000001,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,3.5,2.8000000000000003,6.300000000000001
