,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,TOT,NBA,PG,24.0,0.0,14.3,1.8,5.0,0.361,1.0,2.6,0.40299999999999997,0.8,2.4,0.316,0.466,0.6,0.7,0.8240000000000001,0.3,1.6,1.8,1.8,0.5,0.0,0.7,1.0,5.2,8.4,2.1,10.5
1,22.0,NJN,NBA,PG,11.0,0.0,11.9,1.3,4.0,0.318,0.9,2.6,0.345,0.4,1.4,0.267,0.43200000000000005,1.0,1.2,0.846,0.2,1.0,1.2,1.2,0.6,0.0,0.5,0.6,4.5,6.6,1.6,8.2
2,22.0,BOS,NBA,PG,13.0,0.0,16.4,2.2,5.8,0.387,1.2,2.5,0.455,1.1,3.2,0.33299999999999996,0.48700000000000004,0.2,0.3,0.75,0.3,2.1,2.4,2.2,0.5,0.0,0.9,1.2,5.8,9.6,2.6,12.2
3,23.0,TOT,NBA,PG,55.0,1.0,11.1,1.5,3.8,0.385,0.7,2.1,0.36,0.7,1.7,0.415,0.483,0.6,0.9,0.667,0.2,0.8,1.0,1.7,0.3,0.0,0.7,0.6,4.2,7.1000000000000005,1.1,8.200000000000001
4,23.0,GSW,NBA,PG,13.0,1.0,15.1,1.9,4.2,0.46299999999999997,0.8,1.8,0.478,1.1,2.4,0.452,0.565,0.5,0.7,0.778,0.0,1.2,1.2,3.0,0.5,0.0,1.2,1.0,5.2,10.0,1.7,11.7
5,23.0,DAL,NBA,PG,42.0,0.0,9.9,1.3,3.7,0.35700000000000004,0.7,2.2,0.33,0.6,1.5,0.397,0.455,0.6,0.9,0.6409999999999999,0.3,0.6,0.9,1.4,0.3,0.0,0.6,0.5,3.9,6.4,0.8999999999999999,7.300000000000001
6,24.0,VAN,NBA,PG,71.0,10.0,19.9,2.4,5.9,0.409,1.2,3.3,0.364,1.2,2.6,0.465,0.51,0.5,0.7,0.7120000000000001,0.2,1.5,1.7,3.2,0.5,0.0,1.1,0.8,6.5,12.000000000000002,2.0,14.000000000000002
7,25.0,DET,NBA,PG,67.0,0.0,16.2,1.7,4.2,0.401,1.0,2.8,0.371,0.7,1.5,0.45899999999999996,0.523,0.6,0.9,0.7290000000000001,0.2,1.3,1.5,2.1,0.3,0.0,0.9,1.2,5.1,8.6,1.6,10.2
8,26.0,SAC,NBA,PG,49.0,1.0,14.5,1.6,4.3,0.381,0.9,2.5,0.364,0.7,1.8,0.40399999999999997,0.486,0.4,0.6,0.741,0.2,1.2,1.4,1.6,0.4,0.1,0.5,0.9,4.6,7.5,1.7000000000000002,9.2
9,27.0,MIL,NBA,PG,82.0,26.0,24.6,2.6,6.4,0.401,1.2,3.3,0.359,1.4,3.1,0.446,0.494,0.7,0.9,0.764,0.2,1.9,2.1,5.8,0.4,0.0,1.3,1.1,7.0,17.499999999999996,2.3,19.799999999999997
10,28.0,MIA,NBA,PG,82.0,66.0,31.4,4.0,8.9,0.456,2.7,6.4,0.43200000000000005,1.3,2.5,0.517,0.611,0.8,1.0,0.7909999999999999,0.2,2.6,2.8,4.3,0.5,0.1,1.2,1.5,11.6,19.2,3.2,22.4
11,29.0,CLE,NBA,PG,82.0,7.0,25.5,2.3,6.0,0.387,1.7,4.5,0.377,0.6,1.5,0.41700000000000004,0.53,0.4,0.6,0.64,0.2,1.5,1.6,2.1,0.5,0.0,0.7,1.4,6.7,10.400000000000002,2.0,12.400000000000002
12,30.0,CLE,NBA,PG,60.0,0.0,19.6,2.3,5.9,0.386,1.5,3.9,0.385,0.8,2.1,0.387,0.511,0.5,0.7,0.682,0.2,1.0,1.1,1.6,0.3,0.0,0.6,0.9,6.6,9.4,1.3,10.700000000000001
13,31.0,CLE,NBA,SG,67.0,3.0,19.9,2.3,5.4,0.41600000000000004,1.7,4.1,0.41700000000000004,0.5,1.3,0.414,0.574,0.3,0.4,0.7140000000000001,0.1,1.0,1.1,1.9,0.3,0.0,0.5,1.0,6.5,9.9,1.3,11.200000000000001
