,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,NYK,NBA,PG,59.0,35.0,28.9,3.6,9.1,0.401,0.8,2.7,0.306,2.8,6.4,0.44,0.446,1.5,1.8,0.7979999999999999,0.7,2.4,3.2,2.8,1.7,0.1,1.9,2.9,9.5,13.9,4.199999999999999,18.1
1,22.0,NYK,NBA,SG,45.0,45.0,22.1,2.4,6.1,0.396,1.1,2.8,0.402,1.3,3.3,0.392,0.489,0.8,1.0,0.7659999999999999,0.7,2.3,3.0,1.7,1.0,0.2,0.8,2.2,6.8,10.099999999999998,3.5,13.599999999999998
2,23.0,NYK,NBA,SG,74.0,58.0,26.5,2.5,6.5,0.37799999999999995,1.0,3.1,0.33299999999999996,1.4,3.5,0.418,0.457,0.7,1.0,0.746,1.1,3.1,4.2,1.7,1.2,0.2,1.1,2.8,6.7,10.1,4.5,14.6
3,24.0,TOT,NBA,SG,62.0,25.0,24.9,3.1,7.6,0.41,1.1,3.2,0.342,2.0,4.4,0.45799999999999996,0.48100000000000004,0.7,1.0,0.672,0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8.0,11.8,4.3,16.1
4,24.0,NYK,NBA,SG,24.0,24.0,26.0,3.7,9.0,0.409,1.0,2.8,0.348,2.7,6.2,0.436,0.46299999999999997,1.0,1.5,0.6759999999999999,0.9,2.5,3.4,3.3,1.3,0.1,1.8,2.8,9.3,15.0,3.9,18.9
5,24.0,CLE,NBA,SG,38.0,1.0,24.2,2.8,6.7,0.41,1.2,3.4,0.33799999999999997,1.6,3.3,0.484,0.496,0.5,0.7,0.667,0.9,2.9,3.8,1.5,1.3,0.3,1.3,1.9,7.2,9.799999999999999,4.5,14.299999999999999
6,25.0,CLE,NBA,SG,54.0,5.0,24.4,2.1,5.6,0.374,0.8,2.7,0.295,1.3,2.9,0.447,0.444,0.7,0.9,0.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8,8.700000000000001,4.6000000000000005,13.3
7,26.0,CLE,NBA,SG,76.0,31.0,25.5,2.6,6.4,0.41100000000000003,1.2,3.4,0.36,1.4,3.0,0.469,0.507,0.9,1.2,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5,9.8,3.6,13.4
8,,,NBA,,370.0,199.0,25.6,2.7,6.9,0.396,1.0,3.0,0.34,1.7,3.9,0.44,0.47,0.9,1.2,0.764,0.8,2.7,3.4,1.9,1.2,0.2,1.2,2.4,7.4,10.8,4.1000000000000005,14.900000000000002
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,NYK,NBA,,202.0,162.0,26.2,2.9,7.5,0.39399999999999996,1.0,2.9,0.34299999999999997,2.0,4.6,0.426,0.46,1.0,1.3,0.7609999999999999,0.9,2.6,3.5,2.2,1.3,0.2,1.3,2.7,7.9,11.9,4.1000000000000005,16.0
11,,CLE,NBA,,168.0,37.0,24.8,2.5,6.3,0.4,1.1,3.2,0.337,1.4,3.1,0.466,0.486,0.8,1.0,0.768,0.6,2.7,3.4,1.5,1.0,0.4,1.1,2.0,6.8,9.3,4.1000000000000005,13.400000000000002
