,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,NOH,NBA,SG,76.0,56.0,24.5,3.9,9.8,0.39399999999999996,1.1,3.7,0.28800000000000003,2.8,6.1,0.45799999999999996,0.449,1.5,2.1,0.6890000000000001,0.5,1.5,2.0,1.9,0.7,0.1,1.4,1.8,10.3,13.200000000000001,2.3000000000000003,15.500000000000002
1,20.0,NOK,NBA,SG,55.0,25.0,18.0,2.6,6.7,0.39299999999999996,0.9,2.5,0.371,1.7,4.1,0.40700000000000003,0.46399999999999997,1.5,1.8,0.8220000000000001,0.3,1.7,2.0,1.1,0.7,0.1,1.0,1.6,7.7,9.2,2.5,11.7
2,21.0,DEN,NBA,SG,63.0,24.0,23.3,4.5,10.2,0.441,2.4,6.1,0.39,2.1,4.2,0.515,0.557,1.6,2.0,0.81,0.5,1.8,2.3,1.4,0.8,0.1,1.3,2.3,13.0,15.0,2.7,17.7
3,22.0,DEN,NBA,SG,74.0,0.0,19.2,4.2,9.1,0.461,2.1,5.3,0.40299999999999997,2.1,3.8,0.542,0.578,1.7,2.4,0.7190000000000001,0.6,1.5,2.1,1.7,0.8,0.2,1.5,1.9,12.3,14.8,2.5,17.3
4,23.0,DEN,NBA,SG,81.0,18.0,27.7,5.2,11.7,0.446,2.2,5.6,0.397,3.0,6.1,0.491,0.541,2.5,3.4,0.754,0.5,3.1,3.7,2.8,1.0,0.2,1.9,2.3,15.2,19.4,4.3,23.7
5,24.0,DEN,NBA,SG,75.0,0.0,27.8,5.7,13.8,0.414,2.1,6.2,0.33799999999999997,3.6,7.5,0.47700000000000004,0.491,1.9,2.7,0.706,0.4,2.7,3.1,2.4,1.3,0.3,1.9,2.3,15.4,18.700000000000003,4.3,23.000000000000004
6,25.0,DEN,NBA,SF,79.0,6.0,24.9,4.3,9.9,0.435,1.6,4.0,0.39,2.7,5.9,0.466,0.514,2.1,2.8,0.738,0.6,3.5,4.1,2.2,1.2,0.2,1.3,2.2,12.3,16.0,4.9,20.9
7,26.0,NYK,NBA,SG,35.0,1.0,27.6,4.7,11.6,0.40700000000000003,1.9,5.5,0.34700000000000003,2.8,6.1,0.462,0.49,1.1,1.6,0.7090000000000001,0.8,3.1,3.9,2.4,1.5,0.2,1.3,2.5,12.5,16.8,4.8,21.6
8,27.0,NYK,NBA,SG,80.0,0.0,33.5,6.6,15.6,0.42200000000000004,1.9,5.5,0.35600000000000004,4.7,10.2,0.45799999999999996,0.484,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1,22.6,6.1,28.700000000000003
9,28.0,NYK,NBA,SF,74.0,37.0,32.7,5.4,12.9,0.415,2.6,6.5,0.39399999999999996,2.8,6.4,0.436,0.514,1.2,1.9,0.652,0.5,3.5,4.0,3.0,0.9,0.3,1.5,2.6,14.5,19.5,4.7,24.2
