,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,C,60.0,12.0,14.5,1.9,4.5,0.433,0.0,0.0,,1.9,4.5,0.433,0.433,0.5,0.8,0.56,1.0,2.0,3.0,0.3,0.4,1.2,0.6,2.0,4.3,5.300000000000001,3.5999999999999996,8.9
1,23.0,,NBA,PF,52.0,0.0,12.4,1.6,3.5,0.457,0.0,0.0,0.0,1.6,3.5,0.462,0.457,0.3,0.7,0.474,1.2,1.9,3.1,0.6,0.6,1.5,0.8,2.6,3.6,5.2,4.0,9.2
2,24.0,,NBA,C,71.0,55.0,27.3,4.3,8.5,0.506,0.0,0.0,0.0,4.3,8.5,0.507,0.506,1.2,1.9,0.618,3.2,6.3,9.5,1.2,0.7,2.8,1.2,3.3,9.8,14.200000000000001,9.8,24.0
3,25.0,,NBA,C,23.0,20.0,25.4,3.3,7.0,0.469,0.0,0.0,0.0,3.3,7.0,0.47200000000000003,0.469,1.1,2.4,0.473,2.6,4.6,7.2,0.8,0.8,1.7,1.1,3.2,7.7,10.8,7.1,17.9
4,26.0,,NBA,C,27.0,26.0,21.7,3.2,6.4,0.5,0.0,0.0,,3.2,6.4,0.5,0.5,0.9,1.8,0.5,2.5,3.7,6.1,0.9,1.0,1.4,1.0,3.9,7.3,10.6,6.1,16.7
5,,27.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28.0,,NBA,C,5.0,0.0,2.6,0.2,0.8,0.25,0.0,0.0,,0.2,0.8,0.25,0.25,0.4,0.4,1.0,0.6,0.2,0.8,0.0,0.2,0.2,0.4,1.0,0.8,0.9999999999999999,0.6000000000000001,1.6
7,,,NBA,,238.0,113.0,19.5,2.8,5.9,0.48,0.0,0.0,0.0,2.8,5.8,0.48100000000000004,0.48,0.8,1.4,0.5529999999999999,2.0,3.7,5.7,0.7,0.6,1.8,0.9,2.8,6.4,8.9,6.1,15.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,NBA,,233.0,113.0,19.8,2.9,6.0,0.48,0.0,0.0,0.0,2.9,5.9,0.48200000000000004,0.48,0.8,1.4,0.55,2.0,3.7,5.8,0.7,0.6,1.8,1.0,2.8,6.5,8.9,6.1,15.0
10,,,NBA,,5.0,0.0,2.6,0.2,0.8,0.25,0.0,0.0,,0.2,0.8,0.25,0.25,0.4,0.4,1.0,0.6,0.2,0.8,0.0,0.2,0.2,0.4,1.0,0.8,0.9999999999999999,0.6000000000000001,1.6
