,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,NJN,NBA,SF,79.0,9.0,24.3,3.4,7.5,0.457,0.2,0.7,0.23199999999999998,3.3,6.8,0.48,0.46799999999999997,2.4,3.4,0.713,1.1,2.6,3.7,1.8,0.8,0.6,1.4,2.7,9.4,12.700000000000001,4.0,16.700000000000003
1,22.0,NJN,NBA,SF,80.0,80.0,36.0,5.7,11.4,0.501,0.1,0.3,0.25,5.6,11.1,0.507,0.504,4.1,5.5,0.743,1.9,4.6,6.4,2.5,1.0,0.6,2.0,2.7,15.5,20.4,6.199999999999999,26.599999999999998
2,23.0,NJN,NBA,SF,82.0,82.0,38.2,6.8,13.6,0.498,0.6,1.6,0.364,6.2,12.0,0.516,0.519,4.4,5.7,0.763,1.3,4.3,5.7,3.8,1.1,0.3,2.4,2.7,18.5,25.0,5.7,30.7
3,24.0,NJN,NBA,SF,33.0,33.0,41.1,7.2,17.1,0.42200000000000004,0.9,2.7,0.337,6.3,14.4,0.43799999999999994,0.449,6.9,8.2,0.8440000000000001,1.5,5.8,7.3,4.0,1.0,0.5,4.0,3.3,22.2,27.7,7.3,35.0
4,25.0,NJN,NBA,SF,78.0,78.0,39.2,6.3,12.9,0.493,0.8,2.4,0.319,5.6,10.5,0.532,0.522,6.0,7.4,0.812,1.2,5.6,6.8,3.8,0.8,0.2,2.2,2.5,19.5,26.099999999999998,6.6,32.699999999999996
5,26.0,NJN,NBA,SF,55.0,53.0,35.6,5.5,12.1,0.456,0.9,2.6,0.359,4.6,9.5,0.483,0.495,4.3,5.9,0.733,0.9,3.5,4.4,2.7,0.6,0.1,2.2,2.2,16.3,20.400000000000002,4.199999999999999,24.6
6,27.0,NJN,NBA,SF,82.0,82.0,39.0,7.5,16.2,0.466,0.9,2.6,0.36200000000000004,6.6,13.6,0.486,0.495,6.6,8.3,0.7979999999999999,1.1,3.0,4.2,3.1,0.9,0.3,2.4,2.7,22.6,27.500000000000004,4.2,31.700000000000003
7,28.0,MIL,NBA,SF,82.0,82.0,35.8,6.5,14.9,0.439,1.4,3.6,0.397,5.1,11.3,0.45299999999999996,0.48700000000000004,5.1,6.3,0.805,0.7,3.9,4.6,2.4,0.8,0.2,2.0,3.1,19.6,23.1,4.9,28.0
8,29.0,SAS,NBA,SF,81.0,70.0,31.1,4.5,9.6,0.467,0.7,2.3,0.316,3.7,7.3,0.515,0.505,2.6,3.5,0.735,0.7,3.7,4.4,2.0,0.6,0.5,1.3,2.2,12.3,15.7,4.8,20.5
9,30.0,SAS,NBA,SF,81.0,81.0,30.4,3.8,7.9,0.474,1.7,3.8,0.44,2.1,4.1,0.504,0.579,1.8,2.4,0.759,0.7,3.2,3.8,1.3,0.5,0.4,1.1,2.0,11.0,13.200000000000001,4.1000000000000005,17.3
10,31.0,TOT,NBA,SF,63.0,44.0,27.7,3.2,7.7,0.41600000000000004,1.8,4.3,0.42,1.4,3.5,0.41100000000000003,0.532,0.9,1.3,0.6940000000000001,0.4,3.1,3.5,1.4,0.6,0.3,0.8,1.9,9.2,11.599999999999998,4.0,15.599999999999998
