,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,TOT,NBA,PG,43.0,3.0,10.3,1.0,2.7,0.374,0.1,0.2,0.3,0.9,2.4,0.381,0.387,0.3,0.5,0.5710000000000001,0.2,0.9,1.1,1.8,0.4,0.0,0.8,0.9,2.3,5.3,1.3,6.6
1,22.0,HOU,NBA,PG,28.0,3.0,11.8,1.1,3.0,0.386,0.1,0.3,0.375,1.0,2.7,0.387,0.40399999999999997,0.3,0.4,0.7,0.2,1.3,1.5,2.3,0.5,0.1,0.9,0.9,2.6,6.5,1.9000000000000001,8.4
2,22.0,MEM,NBA,PG,15.0,0.0,7.5,0.7,2.1,0.344,0.0,0.1,0.0,0.7,2.0,0.36700000000000005,0.344,0.3,0.7,0.455,0.1,0.3,0.3,1.0,0.3,0.0,0.5,0.7,1.8,3.4000000000000004,0.6,4.0
3,23.0,TOT,NBA,PG,26.0,1.0,9.0,1.2,3.1,0.38299999999999995,0.1,0.3,0.33299999999999996,1.1,2.8,0.389,0.401,0.3,0.4,0.7,0.3,1.1,1.3,1.6,0.6,0.1,0.5,0.6,2.8,5.8,1.8000000000000003,7.6
4,23.0,GSW,NBA,PG,6.0,1.0,10.5,2.0,5.0,0.4,0.3,0.8,0.4,1.7,4.2,0.4,0.433,0.2,0.3,0.5,0.3,1.2,1.5,1.5,0.7,0.0,0.2,0.7,4.5,7.6,1.9,9.5
5,23.0,ORL,NBA,PG,20.0,0.0,8.6,1.0,2.6,0.373,0.1,0.2,0.25,0.9,2.4,0.38299999999999995,0.382,0.3,0.4,0.75,0.3,1.1,1.3,1.6,0.6,0.1,0.6,0.6,2.3,5.2,1.8000000000000003,7.0
6,24.0,TOT,NBA,PG,52.0,3.0,9.9,1.1,3.1,0.35200000000000004,0.2,0.5,0.29600000000000004,0.9,2.5,0.364,0.377,0.1,0.1,0.429,0.2,0.9,1.2,1.7,0.4,0.2,0.7,0.5,2.4,5.3,1.5,6.8
7,24.0,ORL,NBA,PG,36.0,3.0,10.5,1.1,3.2,0.336,0.1,0.5,0.235,1.0,2.8,0.354,0.353,0.1,0.2,0.429,0.3,1.0,1.3,1.6,0.4,0.2,0.8,0.4,2.4,5.1000000000000005,1.5999999999999999,6.7
8,24.0,MIL,NBA,PG,16.0,0.0,8.6,1.1,2.7,0.395,0.3,0.6,0.4,0.8,2.1,0.39399999999999996,0.442,0.0,0.0,,0.1,0.9,0.9,1.9,0.5,0.2,0.6,0.8,2.4,5.7,1.5999999999999999,7.3
9,25.0,PHO,NBA,PG,70.0,1.0,14.4,1.7,4.0,0.423,0.0,0.3,0.043,1.7,3.7,0.457,0.425,0.3,0.6,0.564,0.4,1.4,1.8,2.6,0.7,0.2,0.9,0.9,3.7,8.4,2.3,10.7
10,26.0,TOT,NBA,PG,55.0,14.0,15.1,2.6,6.7,0.39,0.3,1.1,0.3,2.3,5.6,0.40700000000000003,0.414,0.6,1.0,0.596,0.3,1.5,1.8,3.3,0.7,0.1,1.4,0.9,6.1,11.6,2.3000000000000003,13.9
11,26.0,OKC,NBA,PG,30.0,0.0,5.2,0.5,1.5,0.33299999999999996,0.0,0.2,0.2,0.5,1.3,0.35,0.344,0.2,0.3,0.667,0.2,0.7,0.9,0.9,0.1,0.0,0.3,0.4,1.2,2.9000000000000004,0.7999999999999999,3.7
12,26.0,PHI,NBA,PG,25.0,14.0,27.1,5.1,12.9,0.39799999999999996,0.7,2.2,0.309,4.4,10.7,0.41600000000000004,0.424,1.1,1.9,0.583,0.4,2.5,2.9,6.1,1.3,0.2,2.8,1.5,12.0,21.8,4.0,25.8
13,27.0,TOT,NBA,PG,77.0,53.0,29.1,5.2,12.6,0.41100000000000003,0.7,2.2,0.32899999999999996,4.4,10.4,0.428,0.44,1.6,2.3,0.693,0.6,3.4,4.0,6.5,1.1,0.3,2.3,1.7,12.6,23.9,4.8,28.7
14,27.0,NOP,NBA,PG,27.0,3.0,22.9,3.6,8.4,0.43,0.4,1.2,0.303,3.3,7.2,0.451,0.452,1.2,1.6,0.767,0.5,2.9,3.4,5.7,0.9,0.2,1.7,1.4,8.9,19.1,4.0,23.1
15,27.0,PHI,NBA,PG,50.0,50.0,32.4,6.0,14.8,0.405,0.9,2.7,0.336,5.1,12.0,0.42,0.436,1.8,2.7,0.669,0.6,3.7,4.3,7.0,1.3,0.4,2.6,1.9,14.7,26.699999999999996,5.4,32.099999999999994
16,28.0,DET,NBA,PG,81.0,32.0,24.1,4.1,9.2,0.439,0.3,1.3,0.267,3.7,8.0,0.467,0.45799999999999996,0.9,1.3,0.706,0.3,2.6,2.9,5.2,0.8,0.4,1.4,1.6,9.4,18.700000000000003,3.8000000000000003,22.500000000000004
17,,,NBA,,404.0,107.0,17.9,2.8,6.7,0.41100000000000003,0.3,1.0,0.29,2.5,5.7,0.43200000000000005,0.433,0.7,1.0,0.66,0.3,1.9,2.3,3.7,0.7,0.2,1.3,1.1,6.5,12.899999999999999,2.8,15.7
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,DET,NBA,,81.0,32.0,24.1,4.1,9.2,0.439,0.3,1.3,0.267,3.7,8.0,0.467,0.45799999999999996,0.9,1.3,0.706,0.3,2.6,2.9,5.2,0.8,0.4,1.4,1.6,9.4,18.700000000000003,3.8000000000000003,22.500000000000004
20,,PHI,NBA,,75.0,64.0,30.7,5.7,14.1,0.402,0.8,2.6,0.32799999999999996,4.9,11.6,0.419,0.43200000000000005,1.6,2.4,0.6459999999999999,0.5,3.3,3.8,6.7,1.3,0.3,2.7,1.8,13.8,25.000000000000004,4.8999999999999995,29.900000000000002
21,,PHO,NBA,,70.0,1.0,14.4,1.7,4.0,0.423,0.0,0.3,0.043,1.7,3.7,0.457,0.425,0.3,0.6,0.564,0.4,1.4,1.8,2.6,0.7,0.2,0.9,0.9,3.7,8.4,2.3,10.7
22,,ORL,NBA,,56.0,3.0,9.8,1.0,3.0,0.34700000000000003,0.1,0.4,0.23800000000000002,0.9,2.6,0.363,0.36200000000000004,0.2,0.3,0.6,0.3,1.0,1.3,1.6,0.4,0.1,0.7,0.4,2.3,5.1,1.5,6.6
23,,OKC,NBA,,30.0,0.0,5.2,0.5,1.5,0.33299999999999996,0.0,0.2,0.2,0.5,1.3,0.35,0.344,0.2,0.3,0.667,0.2,0.7,0.9,0.9,0.1,0.0,0.3,0.4,1.2,2.9000000000000004,0.7999999999999999,3.7
24,,HOU,NBA,,28.0,3.0,11.8,1.1,3.0,0.386,0.1,0.3,0.375,1.0,2.7,0.387,0.40399999999999997,0.3,0.4,0.7,0.2,1.3,1.5,2.3,0.5,0.1,0.9,0.9,2.6,6.5,1.9000000000000001,8.4
25,,NOP,NBA,,27.0,3.0,22.9,3.6,8.4,0.43,0.4,1.2,0.303,3.3,7.2,0.451,0.452,1.2,1.6,0.767,0.5,2.9,3.4,5.7,0.9,0.2,1.7,1.4,8.9,19.1,4.0,23.1
26,,MIL,NBA,,16.0,0.0,8.6,1.1,2.7,0.395,0.3,0.6,0.4,0.8,2.1,0.39399999999999996,0.442,0.0,0.0,,0.1,0.9,0.9,1.9,0.5,0.2,0.6,0.8,2.4,5.7,1.5999999999999999,7.3
27,,MEM,NBA,,15.0,0.0,7.5,0.7,2.1,0.344,0.0,0.1,0.0,0.7,2.0,0.36700000000000005,0.344,0.3,0.7,0.455,0.1,0.3,0.3,1.0,0.3,0.0,0.5,0.7,1.8,3.4000000000000004,0.6,4.0
