,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,HOU,NBA,PF,17.0,0.0,7.4,0.9,3.2,0.29600000000000004,0.1,1.0,0.11800000000000001,0.8,2.2,0.37799999999999995,0.315,0.4,0.5,0.75,0.3,0.6,0.9,0.2,0.1,0.1,0.2,0.7,2.4,2.8999999999999995,0.7999999999999999,3.6999999999999993
1,23.0,TOT,NBA,PF-SF,77.0,23.0,19.8,2.9,6.8,0.42200000000000004,1.1,3.0,0.369,1.8,3.8,0.46399999999999997,0.504,0.9,1.5,0.564,1.0,2.6,3.6,0.8,0.6,0.3,1.0,2.1,7.7,9.3,3.5,12.8
2,23.0,HOU,NBA,PF,54.0,17.0,21.4,3.2,7.4,0.428,1.4,3.6,0.381,1.8,3.8,0.47100000000000003,0.52,0.9,1.4,0.653,1.2,2.9,4.1,0.9,0.5,0.3,1.0,2.2,8.6,10.6,3.6999999999999997,14.299999999999999
3,23.0,PHO,NBA,SF,23.0,6.0,16.1,2.2,5.5,0.405,0.5,1.7,0.308,1.7,3.8,0.44799999999999995,0.452,0.7,1.8,0.405,0.7,1.8,2.5,0.7,0.8,0.2,1.0,1.7,5.7,6.8,2.8000000000000003,9.6
4,24.0,PHO,NBA,SF,82.0,1.0,22.0,3.5,7.9,0.442,1.2,3.2,0.381,2.3,4.8,0.483,0.518,1.5,1.9,0.7609999999999999,1.0,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7,11.7,4.0,15.7
5,25.0,PHO,NBA,PF,81.0,35.0,25.2,4.1,9.4,0.434,1.4,3.9,0.358,2.7,5.6,0.48700000000000004,0.507,0.9,1.4,0.628,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4,13.6,4.9,18.5
6,26.0,DET,NBA,SF,80.0,80.0,35.7,5.1,11.8,0.434,1.4,3.7,0.36200000000000004,3.8,8.1,0.467,0.491,2.5,3.4,0.7490000000000001,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1,18.4,5.0,23.4
7,27.0,DET,NBA,SF,79.0,79.0,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.47700000000000004,1.8,2.3,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0,17.9,4.7,22.599999999999998
8,,,NBA,,416.0,218.0,26.2,4.1,9.5,0.428,1.3,3.6,0.355,2.8,5.9,0.47100000000000003,0.494,1.5,2.1,0.7170000000000001,1.0,3.3,4.2,1.6,0.7,0.3,1.1,2.1,10.8,13.9,4.3,18.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,PHO,NBA,,186.0,42.0,22.7,3.6,8.3,0.435,1.2,3.3,0.364,2.4,5.0,0.48200000000000004,0.507,1.1,1.7,0.6659999999999999,0.9,3.2,4.1,1.3,0.8,0.2,1.0,2.1,9.5,12.0,4.2,16.2
11,,DET,NBA,,159.0,159.0,34.1,5.2,12.3,0.426,1.4,4.1,0.345,3.8,8.2,0.466,0.484,2.2,2.9,0.763,1.1,3.8,4.8,2.3,0.7,0.3,1.4,2.1,14.1,18.4,4.8,23.2
12,,HOU,NBA,,71.0,17.0,18.0,2.6,6.4,0.41200000000000003,1.1,3.0,0.36,1.6,3.4,0.457,0.496,0.8,1.2,0.6629999999999999,1.0,2.4,3.3,0.7,0.4,0.3,0.8,1.9,7.1,8.7,3.0999999999999996,11.799999999999999
