,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,OKC,NBA,PG,45.0,0.0,11.1,1.1,3.5,0.321,0.3,1.4,0.21,0.8,2.2,0.392,0.36200000000000004,0.6,0.6,0.862,0.3,0.9,1.2,1.6,0.6,0.0,0.8,0.7,3.1,5.8,1.5,7.3
1,22.0,OKC,NBA,PG,70.0,0.0,14.2,2.1,4.6,0.45799999999999996,0.3,1.5,0.231,1.8,3.2,0.5660000000000001,0.495,0.7,0.9,0.8390000000000001,0.3,2.1,2.4,1.7,0.4,0.2,0.8,1.2,5.3,8.2,2.7,10.899999999999999
2,23.0,OKC,NBA,PG,80.0,36.0,28.5,5.0,11.5,0.44,1.0,3.1,0.33899999999999997,4.0,8.4,0.47700000000000004,0.485,2.0,2.2,0.893,0.5,3.4,3.9,4.1,1.1,0.1,2.1,1.8,13.1,19.699999999999996,4.6,24.299999999999997
3,24.0,TOT,NBA,PG,77.0,40.0,29.5,5.6,12.9,0.434,0.9,3.1,0.299,4.7,9.8,0.47700000000000004,0.47,2.4,2.8,0.83,0.7,3.5,4.2,6.0,0.8,0.1,2.4,2.2,14.5,24.8,4.3999999999999995,29.2
4,24.0,OKC,NBA,PG,50.0,13.0,28.0,5.0,11.5,0.43200000000000005,0.9,3.2,0.278,4.1,8.4,0.49,0.47,2.0,2.3,0.861,0.6,3.5,4.0,4.3,0.8,0.1,1.8,1.9,12.8,20.2,4.3999999999999995,24.599999999999998
5,24.0,DET,NBA,PG,27.0,27.0,32.2,6.8,15.6,0.436,1.0,3.1,0.337,5.7,12.5,0.46,0.469,3.0,3.8,0.7959999999999999,1.0,3.6,4.7,9.2,0.7,0.1,3.5,2.7,17.6,33.5,4.3999999999999995,37.9
6,25.0,DET,NBA,PG,79.0,79.0,30.7,6.8,15.7,0.434,1.5,4.2,0.353,5.3,11.5,0.46399999999999997,0.48200000000000004,3.7,4.3,0.8640000000000001,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8,29.099999999999998,3.3000000000000003,32.4
7,26.0,DET,NBA,PG,52.0,50.0,27.4,5.5,13.0,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.46799999999999997,2.3,2.6,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5,23.1,2.6,25.700000000000003
8,,,NBA,,403.0,205.0,24.5,4.6,10.7,0.431,0.9,2.9,0.321,3.7,7.8,0.47100000000000003,0.474,2.0,2.4,0.86,0.5,2.5,3.0,4.3,0.7,0.1,1.9,1.8,12.2,19.4,3.3000000000000003,22.7
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,OKC,NBA,,245.0,49.0,21.1,3.5,8.1,0.431,0.7,2.3,0.28800000000000003,2.8,5.7,0.489,0.473,1.4,1.6,0.872,0.4,2.6,3.0,3.0,0.7,0.1,1.4,1.4,9.0,14.0,3.4,17.4
11,,DET,NBA,,158.0,156.0,29.9,6.4,14.8,0.43,1.3,3.8,0.353,5.0,11.0,0.457,0.475,3.1,3.6,0.852,0.7,2.4,3.1,6.4,0.7,0.1,2.7,2.5,17.2,28.0,3.1999999999999997,31.2
