,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,PG,51.0,0.0,11.9,1.8,4.4,0.413,0.7,2.1,0.33,1.1,2.3,0.491,0.493,0.8,1.0,0.857,0.3,0.8,1.1,1.7,0.3,0.1,0.9,1.4,5.2,8.0,1.2000000000000002,9.2
1,24.0,,NBA,PG,80.0,35.0,25.0,4.0,9.8,0.40399999999999997,1.4,3.9,0.366,2.5,5.9,0.428,0.47600000000000003,1.9,2.2,0.866,0.4,1.6,2.0,3.0,0.6,0.1,1.6,1.9,11.2,16.0,2.3000000000000003,18.3
2,25.0,,NBA,PG,82.0,82.0,35.6,7.0,16.2,0.43200000000000005,2.5,6.4,0.39799999999999996,4.5,9.8,0.45399999999999996,0.511,3.0,3.6,0.8220000000000001,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,28.099999999999998,3.0,31.099999999999998
3,26.0,,NBA,PG,59.0,12.0,21.8,3.7,9.9,0.375,1.2,4.0,0.297,2.5,5.9,0.42700000000000005,0.434,2.1,2.4,0.8859999999999999,0.3,1.0,1.3,3.9,0.6,0.1,1.7,1.9,10.7,17.099999999999998,1.7000000000000002,18.799999999999997
4,26.0,,NBA,PG,34.0,7.0,23.9,3.9,11.4,0.34600000000000003,1.4,5.0,0.284,2.5,6.4,0.39399999999999996,0.408,2.3,2.4,0.94,0.3,1.2,1.5,3.8,0.6,0.1,1.6,2.0,11.6,17.9,1.9,19.799999999999997
5,26.0,,NBA,PG,25.0,5.0,18.9,3.4,8.0,0.43,0.9,2.7,0.32799999999999996,2.6,5.3,0.48100000000000004,0.485,1.8,2.3,0.807,0.4,0.7,1.1,4.2,0.5,0.0,1.8,1.8,9.6,16.599999999999998,1.2,17.799999999999997
6,,27.0,Did Not Play (other pro league—China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28.0,,NBA,PG,53.0,20.0,18.8,2.7,6.0,0.45299999999999996,0.9,2.5,0.373,1.8,3.4,0.511,0.532,0.8,1.0,0.769,0.2,1.3,1.5,2.2,0.6,0.2,1.3,1.8,7.1,10.399999999999999,2.1,12.499999999999998
8,28.0,,NBA,PG,46.0,20.0,20.8,3.0,6.6,0.45899999999999996,1.0,2.8,0.37799999999999995,2.0,3.8,0.517,0.5379999999999999,0.9,1.1,0.769,0.3,1.4,1.7,2.3,0.6,0.2,1.4,1.9,8.0,11.499999999999998,2.2,13.7
9,28.0,,NBA,PG,7.0,0.0,5.4,0.6,1.9,0.308,0.3,1.0,0.28600000000000003,0.3,0.9,0.33299999999999996,0.385,0.0,0.0,,0.1,0.1,0.3,0.9,0.1,0.4,0.6,0.7,1.4,2.6999999999999997,0.6000000000000001,3.3
