,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,18.0,UTA,NBA,PG,23.0,0.0,8.8,1.2,3.3,0.368,0.2,0.9,0.25,1.0,2.4,0.41100000000000003,0.401,0.8,1.0,0.75,0.8,0.9,1.7,0.7,0.3,0.1,0.4,0.9,3.4,5.199999999999999,1.3,6.499999999999999
1,19.0,UTA,NBA,SG,37.0,13.0,10.1,1.1,3.1,0.345,0.2,0.9,0.21899999999999997,0.9,2.3,0.39299999999999996,0.375,0.4,0.6,0.609,0.3,0.6,0.9,0.7,0.3,0.1,0.8,1.6,2.7,3.6000000000000005,0.9999999999999999,4.6000000000000005
2,20.0,UTA,NBA,SG,60.0,13.0,11.5,1.9,3.9,0.479,0.5,1.3,0.39,1.4,2.7,0.522,0.542,0.7,0.9,0.7879999999999999,0.3,1.0,1.3,0.9,0.5,0.1,0.5,1.6,5.0,6.6,1.6,8.2
3,21.0,UTA,NBA,SG,72.0,72.0,22.5,3.6,7.8,0.45899999999999996,0.9,2.5,0.35200000000000004,2.7,5.3,0.509,0.515,1.1,1.2,0.8759999999999999,0.6,1.7,2.3,1.5,0.6,0.2,0.9,2.6,9.1,11.799999999999999,2.5,14.299999999999999
4,22.0,UTA,NBA,SF,63.0,28.0,23.8,3.8,8.9,0.429,1.2,3.4,0.341,2.7,5.5,0.484,0.495,1.0,1.5,0.695,0.7,2.0,2.7,1.7,0.9,0.3,1.3,3.0,9.9,12.7,3.1999999999999997,15.899999999999999
5,23.0,UTA,NBA,SF,78.0,19.0,25.2,4.7,11.5,0.40700000000000003,1.4,4.3,0.322,3.3,7.2,0.45899999999999996,0.46799999999999997,2.0,2.5,0.8109999999999999,0.7,2.6,3.3,1.7,0.9,0.5,1.2,2.8,12.8,15.7,4.0,19.7
6,24.0,UTA,NBA,SG,56.0,14.0,20.4,3.2,8.3,0.381,0.8,2.7,0.307,2.3,5.6,0.41600000000000004,0.43,1.9,2.4,0.794,0.5,1.6,2.1,1.2,0.8,0.3,0.9,2.2,9.1,11.1,2.7,13.8
7,25.0,CLE,NBA,SF,65.0,13.0,21.0,3.9,9.4,0.415,1.9,5.0,0.384,2.0,4.4,0.451,0.518,1.4,1.6,0.8690000000000001,0.4,2.3,2.7,1.0,0.8,0.3,1.1,2.1,11.2,12.5,3.3999999999999995,15.899999999999999
8,26.0,CLE,NBA,SG,51.0,34.0,19.3,3.5,8.0,0.435,1.6,4.1,0.39299999999999996,1.9,3.9,0.48,0.537,1.3,1.5,0.853,0.4,1.7,2.0,1.0,0.9,0.3,0.9,2.0,9.9,11.4,2.9,14.3
9,27.0,IND,NBA,SG,70.0,40.0,26.3,4.7,11.8,0.39799999999999996,2.2,6.4,0.345,2.5,5.4,0.45899999999999996,0.491,1.9,2.3,0.807,0.3,2.8,3.1,1.1,0.9,0.4,1.0,1.9,13.5,15.0,4.1,19.1
10,28.0,IND,NBA,SF,64.0,24.0,22.9,4.0,9.9,0.409,2.2,6.0,0.36700000000000005,1.8,3.9,0.474,0.521,1.5,1.9,0.75,0.4,2.3,2.7,1.0,0.8,0.5,1.1,2.2,11.8,13.100000000000001,3.5999999999999996,16.700000000000003
11,29.0,IND,NBA,SF,76.0,29.0,23.4,3.7,8.5,0.434,2.2,5.4,0.413,1.5,3.1,0.47100000000000003,0.565,1.1,1.2,0.903,0.4,2.6,3.0,0.6,0.6,0.3,0.5,2.0,10.7,11.799999999999999,3.5,15.299999999999999
12,,,NBA,,715.0,299.0,20.9,3.5,8.5,0.418,1.4,3.9,0.361,2.1,4.5,0.466,0.501,1.3,1.6,0.807,0.5,2.0,2.5,1.1,0.7,0.3,0.9,2.2,9.8,11.6,3.0,14.6
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,UTA,NBA,,389.0,159.0,19.3,3.1,7.5,0.419,0.9,2.6,0.32899999999999996,2.3,4.9,0.467,0.47700000000000004,1.2,1.6,0.787,0.5,1.7,2.2,1.3,0.7,0.3,0.9,2.3,8.4,10.6,2.6999999999999997,13.299999999999999
15,,IND,NBA,,210.0,93.0,24.2,4.1,10.0,0.41200000000000003,2.2,5.9,0.374,1.9,4.1,0.467,0.523,1.5,1.8,0.812,0.3,2.6,2.9,0.9,0.8,0.4,0.9,2.0,12.0,13.2,3.8000000000000003,17.0
16,,CLE,NBA,,116.0,47.0,20.2,3.7,8.8,0.423,1.8,4.6,0.38799999999999996,1.9,4.2,0.46299999999999997,0.525,1.4,1.6,0.863,0.4,2.0,2.4,1.0,0.8,0.3,1.0,2.1,10.6,12.0,3.0999999999999996,15.1
