,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,ATL,NBA,PG,71.0,3.0,10.1,1.3,3.2,0.396,0.1,0.5,0.21899999999999997,1.2,2.7,0.426,0.41200000000000003,0.6,0.7,0.8370000000000001,0.1,0.9,0.9,1.7,0.5,0.2,0.7,1.2,3.2,6.0,1.5999999999999999,7.6
1,22.0,ATL,NBA,PG,70.0,7.0,13.8,1.9,4.3,0.43799999999999994,0.3,0.7,0.375,1.6,3.7,0.449,0.467,1.1,1.4,0.794,0.2,1.3,1.5,2.0,0.6,0.4,0.9,1.2,5.2,8.5,2.3,10.8
2,23.0,ATL,NBA,PG,66.0,66.0,33.1,4.8,10.2,0.47600000000000003,0.8,2.3,0.342,4.1,7.9,0.514,0.514,2.1,2.8,0.757,0.3,2.1,2.4,4.9,1.6,0.6,2.0,2.2,12.6,20.700000000000003,4.3,25.000000000000004
3,24.0,ATL,NBA,PG,80.0,78.0,32.9,5.5,12.2,0.451,1.1,3.1,0.359,4.4,9.1,0.48200000000000004,0.496,2.5,2.8,0.8809999999999999,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6,26.400000000000002,3.8,30.200000000000003
4,25.0,ATL,NBA,PG,79.0,79.0,32.2,5.8,13.2,0.43799999999999994,0.9,2.8,0.32899999999999996,4.8,10.3,0.469,0.474,4.0,4.8,0.846,0.4,2.2,2.6,6.7,1.1,0.2,2.9,2.0,16.5,27.400000000000002,3.5000000000000004,30.900000000000002
5,26.0,ATL,NBA,PG,73.0,72.0,30.5,5.6,12.2,0.46,1.0,2.8,0.34299999999999997,4.6,9.3,0.496,0.5,3.8,4.4,0.862,0.4,2.1,2.5,7.0,1.7,0.4,2.8,1.9,15.9,27.5,4.2,31.7
6,27.0,ATL,NBA,PG,79.0,78.0,28.5,5.5,12.5,0.439,1.4,3.5,0.4,4.1,9.0,0.45399999999999996,0.495,3.3,3.9,0.8370000000000001,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7,25.099999999999998,3.8,28.9
7,28.0,IND,NBA,PG,82.0,82.0,32.4,4.9,11.1,0.442,1.1,3.1,0.35700000000000004,3.8,8.0,0.475,0.49200000000000005,4.4,5.1,0.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3,28.7,5.2,33.9
8,,,NBA,,600.0,465.0,27.0,4.5,10.0,0.447,0.9,2.4,0.355,3.6,7.6,0.47600000000000003,0.489,2.8,3.3,0.8440000000000001,0.3,2.1,2.4,5.5,1.2,0.3,2.2,1.9,12.6,21.7,3.5999999999999996,25.299999999999997
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,ATL,NBA,,518.0,383.0,26.1,4.4,9.8,0.44799999999999995,0.8,2.3,0.355,3.6,7.5,0.47600000000000003,0.489,2.5,3.0,0.838,0.3,1.8,2.2,5.2,1.2,0.3,2.2,1.8,12.1,20.6,3.3,23.900000000000002
11,,IND,NBA,,82.0,82.0,32.4,4.9,11.1,0.442,1.1,3.1,0.35700000000000004,3.8,8.0,0.475,0.49200000000000005,4.4,5.1,0.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3,28.7,5.2,33.9
