,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHI,NBA,PF,41.0,15.0,15.2,1.9,4.1,0.473,0.0,0.0,,1.9,4.1,0.473,0.473,0.3,0.3,0.7859999999999999,1.1,3.0,4.2,0.8,0.3,0.4,0.5,1.8,4.1,6.3,3.6999999999999997,10.0
1,23.0,PHI,NBA,C,79.0,37.0,21.1,2.6,5.7,0.45399999999999996,0.0,0.0,0.0,2.6,5.7,0.455,0.45399999999999996,0.5,0.8,0.7170000000000001,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,8.9,4.0,12.9
2,24.0,TOT,NBA,PF,65.0,2.0,16.5,2.1,4.6,0.447,0.0,0.2,0.154,2.0,4.4,0.46,0.45,0.5,0.8,0.66,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,4.7,7.999999999999999,3.9,11.899999999999999
3,24.0,PHI,NBA,PF,51.0,2.0,18.8,2.3,5.2,0.44,0.0,0.3,0.154,2.3,5.0,0.455,0.444,0.5,0.8,0.675,2.1,3.4,5.4,1.3,0.4,0.5,0.8,2.3,5.2,9.1,4.3,13.399999999999999
4,24.0,IND,NBA,PF,14.0,0.0,8.0,1.2,2.4,0.5,0.0,0.0,,1.2,2.4,0.5,0.5,0.4,0.7,0.6,0.9,1.5,2.4,0.4,0.1,0.4,0.3,0.8,2.9,4.3,2.0,6.3
5,25.0,IND,NBA,C,63.0,0.0,17.0,2.2,4.7,0.47200000000000003,0.0,0.0,,2.2,4.7,0.47200000000000003,0.47200000000000003,0.5,0.7,0.7020000000000001,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0,8.8,4.1000000000000005,12.900000000000002
6,26.0,IND,NBA,PF,79.0,28.0,20.2,2.4,4.7,0.516,0.0,0.0,,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4,8.6,4.1,12.7
7,27.0,IND,NBA,PF,61.0,5.0,14.3,1.3,2.8,0.45799999999999996,0.0,0.0,0.0,1.3,2.7,0.461,0.45799999999999996,0.4,0.5,0.6970000000000001,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,5.9,2.5999999999999996,8.5
8,,,NBA,,388.0,87.0,17.8,2.1,4.5,0.47100000000000003,0.0,0.0,0.133,2.1,4.5,0.474,0.47200000000000003,0.5,0.7,0.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8,7.8999999999999995,3.8,11.7
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,IND,NBA,,217.0,33.0,16.8,2.0,4.0,0.489,0.0,0.0,0.0,2.0,4.0,0.49,0.489,0.5,0.8,0.6629999999999999,1.9,2.8,4.6,1.0,0.3,0.5,0.7,1.6,4.4,7.6000000000000005,3.5999999999999996,11.2
11,,PHI,NBA,,171.0,54.0,19.0,2.4,5.2,0.45299999999999996,0.0,0.1,0.14300000000000002,2.3,5.1,0.45799999999999996,0.45399999999999996,0.5,0.7,0.711,1.8,3.1,4.9,1.0,0.3,0.6,0.7,2.2,5.2,8.3,4.0,12.3
