,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,GSW,NBA,SG,49.0,3.0,18.1,2.7,6.5,0.415,0.6,1.7,0.341,2.1,4.8,0.441,0.45899999999999996,0.9,1.2,0.7120000000000001,0.4,1.7,2.1,1.6,0.7,0.2,1.2,1.4,6.8,9.200000000000001,2.6,11.8
1,21.0,GSW,NBA,SG,77.0,53.0,34.3,6.2,13.1,0.475,0.5,1.9,0.273,5.7,11.3,0.509,0.495,3.5,4.6,0.763,0.8,2.4,3.2,4.1,1.7,0.3,2.9,2.7,16.5,22.6,4.3999999999999995,27.0
2,22.0,GSW,NBA,SG,81.0,72.0,37.9,8.0,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4.0,5.1,0.767,1.6,3.3,5.0,3.9,1.5,0.3,2.1,2.4,20.2,27.5,5.1,32.6
3,23.0,GSW,NBA,SG,25.0,25.0,35.7,7.8,17.2,0.451,0.3,1.0,0.308,7.4,16.2,0.46,0.46,3.1,3.8,0.83,0.6,3.8,4.3,3.7,1.6,0.3,2.7,2.7,19.0,24.3,5.7,30.0
4,24.0,GSW,NBA,SG,64.0,64.0,41.4,9.9,22.0,0.449,1.2,3.6,0.33799999999999997,8.7,18.4,0.47,0.47600000000000003,4.6,6.1,0.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,3.0,25.5,33.0,5.9,38.9
5,25.0,GSW,NBA,SG,80.0,80.0,40.3,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,32.699999999999996,5.3999999999999995,38.099999999999994
6,26.0,TOT,NBA,SG,58.0,58.0,36.6,7.8,17.9,0.433,1.1,3.5,0.308,6.7,14.5,0.462,0.46299999999999997,3.8,4.7,0.7959999999999999,0.3,3.1,3.4,6.0,1.5,0.3,3.1,2.3,20.4,29.6,4.8999999999999995,34.5
7,26.0,GSW,NBA,SG,37.0,37.0,36.9,8.2,19.0,0.433,1.4,4.2,0.321,6.9,14.8,0.465,0.469,4.1,5.0,0.812,0.4,3.0,3.4,6.0,1.5,0.3,3.3,2.3,21.9,30.999999999999996,4.8,35.8
8,26.0,MIL,NBA,SG,21.0,21.0,36.0,6.9,16.0,0.43200000000000005,0.6,2.1,0.267,6.3,13.9,0.457,0.449,3.2,4.2,0.764,0.2,3.3,3.5,5.9,1.4,0.3,2.6,2.5,17.6,27.0,4.999999999999999,32.0
9,27.0,MIL,NBA,SG,82.0,82.0,37.5,7.3,17.5,0.41600000000000004,1.1,4.0,0.287,6.1,13.5,0.45399999999999996,0.44799999999999995,3.5,4.6,0.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,2.0,19.2,28.599999999999998,5.800000000000001,34.4
10,28.0,DAL,NBA,SG,82.0,82.0,36.9,7.0,15.6,0.451,0.8,2.5,0.33,6.2,13.0,0.474,0.478,4.1,5.2,0.7879999999999999,0.5,3.1,3.6,5.7,1.7,0.3,3.2,2.4,19.0,27.7,5.1,32.8
11,29.0,DAL,NBA,SG,80.0,80.0,33.7,7.5,16.9,0.445,1.0,3.6,0.285,6.5,13.4,0.48700000000000004,0.475,2.9,3.8,0.752,0.4,2.0,2.4,4.1,1.9,0.3,2.5,2.5,18.9,25.0,4.2,29.2
12,30.0,IND,NBA,SG,81.0,81.0,33.8,5.4,12.6,0.42700000000000005,1.1,3.5,0.309,4.3,9.1,0.47200000000000003,0.47,2.0,2.5,0.7859999999999999,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8,21.200000000000003,5.199999999999999,26.400000000000002
13,31.0,IND,NBA,SG,74.0,33.0,27.0,3.3,7.5,0.44299999999999995,0.6,1.8,0.319,2.8,5.7,0.483,0.48200000000000004,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2.0,8.5,13.399999999999999,4.0,17.4
14,,,NBA,,833.0,713.0,34.8,6.9,15.2,0.451,0.9,2.8,0.314,6.0,12.4,0.48200000000000004,0.48,3.2,4.2,0.772,0.6,2.8,3.5,4.6,1.7,0.3,2.7,2.3,17.8,24.900000000000002,4.8,29.700000000000003
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,GSW,NBA,,413.0,334.0,35.7,7.6,16.2,0.465,0.8,2.6,0.32899999999999996,6.7,13.7,0.491,0.491,3.6,4.7,0.774,0.8,2.9,3.7,4.4,1.7,0.3,2.8,2.5,19.6,26.400000000000002,4.8999999999999995,31.3
17,,DAL,NBA,,162.0,162.0,35.3,7.3,16.2,0.44799999999999995,0.9,3.0,0.304,6.3,13.2,0.48100000000000004,0.47600000000000003,3.5,4.5,0.774,0.4,2.5,3.0,4.9,1.8,0.3,2.9,2.4,19.0,26.300000000000004,4.6,30.900000000000006
18,,IND,NBA,,155.0,114.0,30.5,4.4,10.2,0.433,0.8,2.7,0.312,3.6,7.5,0.47600000000000003,0.474,1.6,2.2,0.763,0.4,2.7,3.1,4.0,1.5,0.4,2.2,2.1,11.3,17.500000000000004,4.6000000000000005,22.100000000000005
19,,MIL,NBA,,103.0,103.0,37.2,7.2,17.2,0.419,1.0,3.6,0.284,6.2,13.6,0.455,0.449,3.5,4.5,0.7709999999999999,0.5,3.3,3.8,6.0,1.9,0.4,3.0,2.1,18.9,28.4,5.6,34.0
