,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,PHI,NBA,PF,74.0,22.0,21.0,3.6,6.6,0.539,0.1,0.3,0.316,3.5,6.4,0.5479999999999999,0.545,1.0,1.4,0.738,1.6,2.6,4.2,0.8,1.0,0.1,0.9,1.7,8.2,10.499999999999998,3.7,14.2
1,20.0,PHI,NBA,PF,75.0,71.0,34.4,6.3,12.8,0.495,0.7,2.2,0.341,5.6,10.6,0.526,0.524,1.9,2.5,0.735,1.9,3.2,5.0,1.1,1.3,0.3,1.6,2.2,15.3,17.799999999999997,4.8,22.599999999999998
2,21.0,PHI,NBA,PF,67.0,45.0,32.0,5.7,12.1,0.47,0.7,2.1,0.348,5.0,10.1,0.495,0.499,1.7,2.5,0.691,1.9,3.3,5.2,1.4,1.2,0.2,1.9,2.0,13.8,16.6,4.7,21.3
3,22.0,PHI,NBA,PF,82.0,1.0,26.0,5.6,10.3,0.541,0.1,0.3,0.273,5.5,10.1,0.5479999999999999,0.544,1.5,2.1,0.7070000000000001,1.9,3.4,5.3,1.0,1.1,0.3,1.2,2.1,12.7,15.399999999999999,4.8,20.2
4,23.0,PHI,NBA,PF,63.0,1.0,27.9,5.5,10.9,0.507,0.0,0.1,0.25,5.5,10.8,0.508,0.507,1.8,2.3,0.7709999999999999,2.2,3.0,5.2,1.2,1.0,0.7,0.9,2.0,12.8,16.5,4.7,21.2
5,24.0,PHI,NBA,PF,76.0,76.0,34.6,6.7,12.6,0.531,0.0,0.1,0.125,6.7,12.5,0.535,0.532,1.4,2.5,0.574,2.4,5.1,7.5,1.6,1.8,0.7,1.2,2.5,14.8,19.2,7.6,26.799999999999997
6,25.0,PHI,NBA,PF,79.0,78.0,34.4,7.4,16.2,0.45399999999999996,1.1,3.7,0.308,6.2,12.5,0.496,0.489,2.1,2.9,0.7120000000000001,2.1,3.9,6.0,2.3,2.1,0.5,2.1,2.7,17.9,22.499999999999996,6.5,28.999999999999996
7,26.0,TOT,NBA,PF,76.0,68.0,32.0,5.9,12.7,0.466,0.5,1.5,0.33,5.4,11.2,0.484,0.486,1.7,2.6,0.655,1.7,3.7,5.4,2.3,1.6,0.3,1.5,2.3,14.1,18.9,5.6000000000000005,24.5
8,26.0,MIN,NBA,PF,48.0,48.0,33.4,6.0,13.4,0.451,0.4,1.4,0.292,5.6,12.0,0.469,0.466,1.8,2.7,0.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3,19.9,5.7,25.599999999999998
9,26.0,BRK,NBA,PF,28.0,20.0,29.6,5.8,11.7,0.495,0.7,1.8,0.38,5.1,9.9,0.516,0.524,1.5,2.5,0.606,1.9,4.1,5.9,1.4,1.4,0.3,1.5,2.0,13.8,17.0,5.8,22.8
10,27.0,BRK,NBA,PF,73.0,73.0,33.0,6.8,13.2,0.514,0.1,0.4,0.233,6.7,12.8,0.523,0.518,1.4,2.2,0.644,2.4,6.6,9.0,1.8,1.5,0.5,1.9,2.5,15.1,19.200000000000003,8.6,27.800000000000004
11,28.0,IND,NBA,PF,74.0,74.0,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0,14.7,6.2,20.9
12,,,NBA,,739.0,509.0,30.6,5.9,11.7,0.5,0.4,1.2,0.327,5.5,10.5,0.52,0.517,1.5,2.2,0.679,2.0,3.9,5.9,1.5,1.4,0.4,1.4,2.2,13.6,17.200000000000003,5.7,22.900000000000002
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,PHI,NBA,,516.0,294.0,30.1,5.8,11.7,0.5,0.4,1.3,0.321,5.4,10.4,0.521,0.517,1.6,2.3,0.7,2.0,3.5,5.5,1.4,1.4,0.4,1.4,2.2,13.7,17.1,5.300000000000001,22.400000000000002
15,,BRK,NBA,,101.0,93.0,32.0,6.5,12.8,0.509,0.3,0.8,0.325,6.2,12.0,0.521,0.519,1.5,2.3,0.632,2.3,5.9,8.2,1.7,1.5,0.4,1.8,2.4,14.7,18.599999999999998,7.800000000000001,26.4
16,,IND,NBA,,74.0,74.0,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11.0,14.7,6.2,20.9
17,,MIN,NBA,,48.0,48.0,33.4,6.0,13.4,0.451,0.4,1.4,0.292,5.6,12.0,0.469,0.466,1.8,2.7,0.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3,19.9,5.7,25.599999999999998
