,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHO,NBA,PG,55.0,1.0,13.2,1.6,4.1,0.39299999999999996,0.4,1.0,0.37,1.2,3.1,0.4,0.43799999999999994,0.9,1.2,0.769,0.6,1.3,1.9,2.0,0.5,0.1,1.3,1.6,4.5,7.8,1.9000000000000001,9.7
1,23.0,PHO,NBA,PG,80.0,2.0,18.0,2.8,6.1,0.452,0.9,2.4,0.39399999999999996,1.9,3.8,0.488,0.527,1.5,2.0,0.736,0.5,1.7,2.1,3.0,0.6,0.1,1.6,1.6,7.9,12.8,2.4,15.200000000000001
2,24.0,TOT,NBA,PG,70.0,5.0,17.6,2.7,6.3,0.435,0.8,2.2,0.361,1.9,4.1,0.47600000000000003,0.499,1.2,1.9,0.624,0.5,1.5,2.0,2.9,0.7,0.1,1.7,1.8,7.5,12.100000000000001,2.3000000000000003,14.400000000000002
3,24.0,PHO,NBA,PG,48.0,2.0,17.8,2.8,6.6,0.42100000000000004,0.6,2.1,0.27699999999999997,2.2,4.5,0.488,0.465,1.2,2.0,0.608,0.5,1.3,1.8,3.1,0.8,0.1,2.0,1.9,7.4,12.100000000000001,2.2,14.3
4,24.0,HOU,NBA,PG,22.0,3.0,17.2,2.7,5.7,0.47200000000000003,1.3,2.5,0.519,1.4,3.2,0.43700000000000006,0.584,1.1,1.6,0.667,0.5,2.0,2.5,2.5,0.6,0.2,1.0,1.6,7.7,12.2,2.8000000000000003,15.0
5,25.0,HOU,NBA,PG,66.0,28.0,26.5,4.2,9.1,0.462,1.0,3.1,0.337,3.2,6.0,0.525,0.518,2.3,2.9,0.805,0.8,1.7,2.5,5.3,1.3,0.2,2.4,2.5,11.7,20.700000000000003,3.2,23.900000000000002
6,26.0,PHO,NBA,PG,77.0,77.0,33.5,5.2,11.8,0.44299999999999995,1.1,3.6,0.319,4.1,8.2,0.49700000000000005,0.491,3.2,4.2,0.748,0.8,2.3,3.1,7.4,1.6,0.3,2.8,2.8,14.7,27.5,4.2,31.7
7,27.0,PHO,NBA,SG,76.0,75.0,35.1,7.3,14.4,0.505,1.6,3.9,0.408,5.7,10.4,0.542,0.561,4.2,5.5,0.76,0.9,2.3,3.2,5.9,1.4,0.3,2.8,2.7,20.3,30.2,3.9999999999999996,34.199999999999996
8,28.0,TOT,NBA,SG-PG,78.0,78.0,33.8,6.4,12.8,0.501,1.2,3.3,0.34700000000000003,5.3,9.5,0.555,0.546,2.3,3.0,0.774,1.0,2.5,3.5,4.5,1.0,0.2,2.2,2.5,16.3,24.1,3.7,27.8
9,28.0,PHO,NBA,SG,52.0,52.0,33.4,6.5,13.1,0.501,1.3,3.6,0.355,5.3,9.5,0.556,0.5489999999999999,1.9,2.5,0.746,1.0,2.6,3.6,4.1,1.0,0.2,2.2,2.3,16.2,23.2,3.8000000000000003,27.0
10,28.0,MIA,NBA,PG,26.0,26.0,34.8,6.2,12.4,0.502,0.9,2.8,0.32899999999999996,5.3,9.6,0.552,0.539,3.2,4.0,0.8079999999999999,1.2,2.3,3.4,5.3,1.1,0.2,2.3,2.9,16.6,26.099999999999998,3.6,29.7
11,29.0,MIA,NBA,PG,72.0,72.0,32.8,5.8,12.2,0.47700000000000004,0.9,2.8,0.312,4.9,9.3,0.527,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1,23.9,4.3,28.2
12,30.0,MIA,NBA,PG,73.0,73.0,33.7,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,29.800000000000004,4.4,34.2
13,,,NBA,,647.0,411.0,27.6,4.9,10.4,0.47100000000000003,1.1,3.0,0.363,3.8,7.5,0.515,0.523,2.4,3.2,0.7559999999999999,0.8,2.2,2.9,4.8,1.0,0.2,2.3,2.3,13.3,21.400000000000002,3.4000000000000004,24.800000000000004
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,PHO,NBA,,388.0,209.0,25.8,4.5,9.6,0.46799999999999997,1.0,2.8,0.361,3.4,6.7,0.514,0.522,2.3,3.1,0.74,0.7,1.9,2.6,4.5,1.0,0.2,2.1,2.2,12.3,19.9,3.1,23.0
16,,MIA,NBA,,171.0,171.0,33.5,6.5,13.6,0.479,1.2,3.3,0.36200000000000004,5.3,10.3,0.517,0.523,2.9,3.8,0.777,0.9,2.9,3.8,5.7,1.1,0.2,2.7,2.7,17.2,26.8,4.2,31.0
17,,HOU,NBA,,88.0,31.0,24.2,3.8,8.2,0.46299999999999997,1.1,2.9,0.375,2.7,5.3,0.512,0.53,2.0,2.6,0.7829999999999999,0.7,1.8,2.5,4.6,1.1,0.2,2.0,2.3,10.7,18.599999999999998,3.1000000000000005,21.7
