,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,CHI,NBA,PF,65.0,11.0,11.6,1.5,3.2,0.452,0.2,0.7,0.326,1.2,2.5,0.488,0.488,0.8,1.1,0.7290000000000001,0.5,1.4,2.0,0.7,0.3,0.7,1.0,1.9,3.9,4.8,2.4,7.199999999999999
1,23.0,TOT,NBA,SF,38.0,25.0,21.6,2.8,6.2,0.456,0.2,0.9,0.235,2.6,5.3,0.493,0.473,1.2,1.9,0.662,1.0,2.8,3.7,2.3,0.9,1.0,1.7,2.5,7.1,11.0,4.699999999999999,15.7
2,23.0,CHI,NBA,SF,13.0,0.0,9.5,1.3,3.2,0.415,0.2,0.7,0.222,1.2,2.5,0.469,0.439,0.5,1.0,0.462,0.5,1.4,1.8,1.1,0.6,0.7,1.4,1.9,3.2,4.5,2.7,7.2
3,23.0,TOR,NBA,SF,25.0,25.0,28.0,3.6,7.8,0.46399999999999997,0.2,1.0,0.24,3.4,6.8,0.49700000000000005,0.48,1.6,2.3,0.7070000000000001,1.2,3.5,4.7,3.0,1.0,1.1,1.8,2.8,9.2,14.599999999999998,5.6,20.199999999999996
4,24.0,TOR,NBA,SF,62.0,40.0,25.2,3.8,8.4,0.45,0.3,1.0,0.317,3.5,7.4,0.467,0.46799999999999997,1.3,1.9,0.7040000000000001,1.2,3.5,4.7,2.0,1.1,1.4,1.6,2.9,9.1,12.700000000000001,6.0,18.700000000000003
5,25.0,SAC,NBA,SF,54.0,11.0,16.3,2.2,5.2,0.413,0.0,0.4,0.095,2.1,4.9,0.439,0.41700000000000004,0.7,1.2,0.597,0.9,1.8,2.7,1.1,0.8,0.9,1.3,1.8,5.1,6.8999999999999995,3.5,10.399999999999999
6,26.0,MEM,NBA,SF,52.0,4.0,18.4,2.8,5.9,0.46399999999999997,0.4,1.7,0.253,2.3,4.3,0.5479999999999999,0.5,1.5,1.7,0.8440000000000001,1.2,2.0,3.2,2.1,0.8,1.1,1.3,2.0,7.4,11.5,3.9,15.4
7,27.0,TOR,NBA,PF,70.0,17.0,19.6,3.4,5.8,0.589,0.2,0.7,0.21600000000000003,3.2,5.0,0.643,0.603,1.0,1.5,0.657,0.9,2.8,3.7,1.4,0.8,1.0,1.1,2.2,7.9,10.5,4.6,15.1
8,28.0,TOR,NBA,PF,57.0,32.0,16.2,2.0,4.2,0.475,0.4,1.2,0.303,1.6,3.1,0.54,0.517,0.7,1.2,0.574,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,5.0,7.0,2.8000000000000003,9.8
9,29.0,MIA,NBA,PF,76.0,5.0,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.5479999999999999,0.535,2.0,2.8,0.7070000000000001,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,12.8,18.599999999999998,6.199999999999999,24.799999999999997
10,,,NBA,,474.0,145.0,19.7,3.0,6.3,0.47700000000000004,0.4,1.3,0.29600000000000004,2.6,5.0,0.525,0.508,1.2,1.7,0.693,0.9,2.6,3.4,1.8,0.8,1.0,1.4,2.2,7.5,10.6,4.4,15.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,TOR,NBA,,214.0,114.0,21.3,3.2,6.3,0.498,0.3,0.9,0.27699999999999997,2.9,5.4,0.536,0.518,1.1,1.6,0.665,0.9,2.8,3.7,1.7,0.8,1.0,1.3,2.3,7.6,10.599999999999998,4.6,15.199999999999998
13,,CHI,NBA,,78.0,11.0,11.3,1.4,3.2,0.446,0.2,0.7,0.309,1.2,2.5,0.485,0.48,0.7,1.1,0.687,0.5,1.4,1.9,0.8,0.4,0.7,1.0,1.9,3.8,4.9,2.5,7.4
14,,MIA,NBA,,76.0,5.0,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.5479999999999999,0.535,2.0,2.8,0.7070000000000001,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,12.8,18.599999999999998,6.199999999999999,24.799999999999997
15,,SAC,NBA,,54.0,11.0,16.3,2.2,5.2,0.413,0.0,0.4,0.095,2.1,4.9,0.439,0.41700000000000004,0.7,1.2,0.597,0.9,1.8,2.7,1.1,0.8,0.9,1.3,1.8,5.1,6.8999999999999995,3.5,10.399999999999999
16,,MEM,NBA,,52.0,4.0,18.4,2.8,5.9,0.46399999999999997,0.4,1.7,0.253,2.3,4.3,0.5479999999999999,0.5,1.5,1.7,0.8440000000000001,1.2,2.0,3.2,2.1,0.8,1.1,1.3,2.0,7.4,11.5,3.9,15.4
