,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,POR,NBA,PF,8.0,0.0,3.5,0.8,1.3,0.6,0.0,0.1,0.0,0.8,1.1,0.667,0.6,0.0,0.0,,0.3,1.0,1.3,0.3,0.1,0.0,0.3,0.1,1.5,2.1,1.1,3.2
1,21.0,IND,NBA,PF,33.0,0.0,8.5,1.1,2.5,0.42200000000000004,0.0,0.3,0.0,1.1,2.2,0.479,0.42200000000000004,0.3,0.4,0.769,0.8,1.5,2.2,0.5,0.4,0.5,0.4,1.2,2.4,3.8000000000000003,2.4,6.2
2,22.0,IND,NBA,C,42.0,3.0,12.5,1.8,3.5,0.521,0.2,0.5,0.348,1.6,2.9,0.5529999999999999,0.5479999999999999,0.5,0.9,0.5,1.0,2.1,3.0,1.0,0.4,0.4,0.5,1.8,4.3,6.8,2.9,9.7
3,23.0,IND,NBA,PF,72.0,51.0,22.2,2.9,5.4,0.547,0.3,0.8,0.38299999999999995,2.6,4.5,0.5770000000000001,0.5760000000000001,1.2,1.7,0.7390000000000001,1.5,3.8,5.3,2.1,0.7,0.8,1.3,2.3,7.4,11.8,5.3,17.1
4,24.0,LAL,NBA,PF,50.0,6.0,14.4,1.1,2.4,0.475,0.1,0.1,0.429,1.1,2.2,0.47700000000000004,0.48700000000000004,0.5,0.7,0.639,1.2,2.2,3.4,1.0,0.3,0.4,0.6,1.5,2.8,5.4,2.9,8.3
5,25.0,TOT,NBA,PF,67.0,22.0,22.2,2.3,5.1,0.455,0.4,1.3,0.28600000000000003,2.0,3.9,0.51,0.49,1.0,1.3,0.765,1.4,3.5,4.9,2.1,0.5,0.4,1.0,2.0,6.0,10.6,4.4,15.0
6,25.0,ORL,NBA,PF,41.0,3.0,16.7,1.5,3.7,0.392,0.4,1.3,0.309,1.0,2.4,0.439,0.44799999999999995,0.5,0.7,0.733,1.0,2.3,3.3,1.7,0.2,0.3,0.7,1.6,3.9,7.6000000000000005,2.8,10.4
7,25.0,CHA,NBA,PF,26.0,19.0,30.8,3.7,7.3,0.505,0.3,1.1,0.24100000000000002,3.4,6.2,0.5529999999999999,0.524,1.7,2.1,0.782,2.0,5.2,7.2,2.7,0.8,0.6,1.5,2.5,9.3,15.200000000000003,6.6,21.800000000000004
8,26.0,CHA,NBA,PF,78.0,78.0,30.3,3.2,7.3,0.436,1.3,3.7,0.361,1.8,3.5,0.516,0.529,0.8,1.1,0.7290000000000001,1.1,3.7,4.8,4.3,0.7,0.6,1.1,2.4,8.5,17.099999999999998,5.0,22.099999999999998
9,27.0,MIA,NBA,PF,17.0,4.0,17.4,1.6,3.1,0.528,0.5,1.1,0.42100000000000004,1.2,2.0,0.588,0.604,0.5,0.8,0.615,0.4,2.2,2.6,1.9,0.7,0.2,1.3,2.4,4.2,7.1000000000000005,3.1000000000000005,10.200000000000001
10,28.0,MIA,NBA,PF,42.0,1.0,14.2,1.3,3.5,0.37200000000000005,0.3,1.2,0.245,1.0,2.4,0.434,0.41200000000000003,0.7,1.0,0.7,0.5,2.0,2.5,1.9,0.4,0.2,0.7,1.6,3.6,7.2,2.6,9.8
11,29.0,MIA,NBA,PF,22.0,14.0,17.3,2.0,5.4,0.373,0.6,1.4,0.419,1.4,4.0,0.35600000000000004,0.428,0.3,0.4,0.667,1.0,2.3,3.4,2.3,0.5,0.2,1.0,1.4,4.9,9.5,3.0,12.5
12,,,NBA,,431.0,179.0,19.2,2.1,4.6,0.46399999999999997,0.5,1.3,0.341,1.7,3.2,0.514,0.513,0.7,1.0,0.705,1.1,2.8,3.9,2.1,0.5,0.5,0.9,1.9,5.4,9.8,3.8,13.600000000000001
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,IND,NBA,,147.0,54.0,16.3,2.2,4.2,0.524,0.2,0.6,0.33299999999999996,2.0,3.6,0.557,0.5489999999999999,0.8,1.2,0.688,1.2,2.8,4.0,1.4,0.5,0.6,0.8,1.9,5.4,8.6,3.9,12.5
15,,CHA,NBA,,104.0,97.0,30.4,3.3,7.3,0.45399999999999996,1.1,3.1,0.35,2.2,4.2,0.53,0.528,1.0,1.3,0.75,1.3,4.1,5.4,3.9,0.8,0.6,1.2,2.5,8.7,16.599999999999998,5.499999999999999,22.099999999999998
16,,MIA,NBA,,81.0,19.0,15.7,1.6,3.9,0.39799999999999996,0.4,1.2,0.33299999999999996,1.2,2.7,0.42700000000000005,0.45,0.5,0.8,0.677,0.6,2.1,2.8,2.0,0.5,0.2,0.9,1.7,4.1,7.799999999999999,2.8000000000000003,10.6
17,,LAL,NBA,,50.0,6.0,14.4,1.1,2.4,0.475,0.1,0.1,0.429,1.1,2.2,0.47700000000000004,0.48700000000000004,0.5,0.7,0.639,1.2,2.2,3.4,1.0,0.3,0.4,0.6,1.5,2.8,5.4,2.9,8.3
18,,ORL,NBA,,41.0,3.0,16.7,1.5,3.7,0.392,0.4,1.3,0.309,1.0,2.4,0.439,0.44799999999999995,0.5,0.7,0.733,1.0,2.3,3.3,1.7,0.2,0.3,0.7,1.6,3.9,7.6000000000000005,2.8,10.4
19,,POR,NBA,,8.0,0.0,3.5,0.8,1.3,0.6,0.0,0.1,0.0,0.8,1.1,0.667,0.6,0.0,0.0,,0.3,1.0,1.3,0.3,0.1,0.0,0.3,0.1,1.5,2.1,1.1,3.2
