,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,MIA,NBA,PF,75,24,23.9,2.7,6.0,0.45899999999999996,0.0,0.0,0.0,2.7,5.9,0.462,0.45899999999999996,1.9,2.4,0.765,2.5,3.8,6.3,0.7,0.4,0.3,1.0,2.6,7.3,10.2,4.5,14.7
1,24.0,MIA,NBA,PF,80,80,33.4,4.3,8.0,0.54,0.0,0.1,0.0,4.3,8.0,0.5429999999999999,0.54,2.2,2.8,0.7909999999999999,3.0,6.1,9.1,1.4,0.8,0.5,1.4,3.3,10.9,15.299999999999999,7.3999999999999995,22.7
2,25.0,MIA,NBA,PF,81,80,30.8,3.7,7.3,0.508,0.0,0.0,0.0,3.7,7.3,0.509,0.508,1.9,2.5,0.789,2.1,5.8,7.8,1.2,0.6,0.2,1.0,2.7,9.3,12.8,6.6,19.4
3,26.0,MIA,NBA,PF,79,79,31.4,4.5,9.1,0.49200000000000005,0.0,0.1,0.0,4.5,9.0,0.495,0.49200000000000005,1.7,2.6,0.68,2.4,5.9,8.3,1.2,0.6,0.3,1.4,3.0,10.7,14.1,6.8,20.9
4,27.0,MIA,NBA,PF,49,48,36.8,4.8,10.3,0.467,0.0,0.0,,4.8,10.3,0.467,0.467,2.3,2.9,0.81,2.2,6.9,9.0,1.4,0.8,0.4,1.4,3.0,12.0,15.6,8.1,23.7
5,28.0,MIA,NBA,PF,75,75,34.1,4.4,8.6,0.518,0.0,0.0,,4.4,8.6,0.518,0.518,1.7,2.3,0.753,2.3,6.0,8.2,1.1,0.6,0.3,1.1,2.7,10.6,14.0,6.8999999999999995,20.9
6,29.0,MIA,NBA,PF,78,0,27.9,4.0,8.1,0.494,0.0,0.0,,4.0,8.1,0.494,0.494,1.9,2.5,0.762,2.1,5.9,8.1,0.7,0.4,0.3,1.0,2.2,9.9,12.4,6.6000000000000005,19.0
7,30.0,MIA,NBA,PF,13,0,26.5,3.4,6.6,0.512,0.0,0.0,,3.4,6.6,0.512,0.512,1.2,1.5,0.8,2.2,5.9,8.2,0.5,0.5,0.2,1.1,3.0,8.0,10.1,6.6000000000000005,16.7
8,31.0,MIA,NBA,PF,64,10,24.8,2.4,5.6,0.423,0.0,0.0,,2.4,5.6,0.423,0.423,1.3,1.6,0.8140000000000001,1.8,5.5,7.3,0.7,0.5,0.4,0.9,2.2,6.0,8.299999999999999,6.4,14.7
9,32.0,MIA,NBA,PF,75,59,18.9,1.7,3.3,0.514,0.0,0.0,,1.7,3.3,0.514,0.514,0.4,0.6,0.711,1.3,4.1,5.4,0.5,0.4,0.2,0.6,2.3,3.9,5.6,4.7,10.3
10,33.0,MIA,NBA,PF,46,18,14.2,1.6,3.2,0.507,0.0,0.0,,1.6,3.2,0.507,0.507,0.5,1.0,0.568,0.9,2.9,3.8,0.3,0.2,0.3,0.5,1.7,3.8,4.8,3.4,8.2
11,34.0,MIA,NBA,PF,62,25,16.0,1.7,3.9,0.44799999999999995,0.0,0.2,0.2,1.7,3.7,0.45899999999999996,0.452,0.7,1.0,0.703,1.1,3.0,4.2,0.7,0.3,0.2,0.7,1.8,4.2,6.0,3.5,9.5
12,35.0,MIA,NBA,PF,37,0,7.0,0.6,1.6,0.377,0.0,0.2,0.111,0.6,1.4,0.423,0.385,0.3,0.4,0.75,0.3,1.8,2.0,0.4,0.1,0.1,0.1,0.7,1.6,2.6,2.0,4.6
13,36.0,MIA,NBA,C,16,0,8.1,0.7,1.4,0.478,0.0,0.2,0.0,0.7,1.3,0.55,0.478,0.6,0.9,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9,2.7,2.3000000000000003,5.0
14,,,NBA,,830,498,25.7,3.2,6.4,0.491,0.0,0.0,0.086,3.2,6.4,0.494,0.49200000000000005,1.5,2.0,0.7559999999999999,1.9,4.9,6.9,0.9,0.5,0.3,1.0,2.4,7.8,10.5,5.7,16.2
