,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,DET,NBA,C,80.0,48.0,27.8,3.8,6.9,0.551,0.0,0.0,0.0,3.8,6.9,0.552,0.551,1.8,2.9,0.622,3.1,4.4,7.5,1.3,1.2,0.6,1.0,2.5,9.4,14.100000000000001,6.2,20.3
1,21.0,DET,NBA,C,66.0,66.0,31.5,6.2,11.8,0.521,0.0,0.0,0.0,6.2,11.8,0.522,0.521,3.0,4.1,0.7390000000000001,3.6,6.0,9.7,2.3,1.3,0.7,2.4,2.7,15.4,21.200000000000003,8.0,29.200000000000003
2,22.0,DET,NBA,C,81.0,81.0,33.2,6.3,13.1,0.486,0.0,0.0,0.0,6.3,13.0,0.488,0.486,3.3,4.8,0.6890000000000001,2.9,6.7,9.6,3.5,1.3,0.7,2.9,2.3,16.0,23.0,8.7,31.7
3,23.0,DET,NBA,PF,82.0,82.0,32.8,6.1,12.4,0.49700000000000005,0.0,0.0,0.0,6.1,12.4,0.49700000000000005,0.49700000000000005,2.9,4.5,0.657,3.1,6.1,9.3,2.1,1.1,0.6,2.0,2.5,15.2,20.5,7.799999999999999,28.299999999999997
4,24.0,DET,NBA,PF,69.0,57.0,31.0,6.1,12.4,0.496,0.0,0.0,,6.1,12.4,0.496,0.496,3.7,4.9,0.75,3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1,15.9,21.2,8.5,29.7
5,25.0,MIL,NBA,C,79.0,67.0,29.3,6.2,11.9,0.522,0.0,0.0,0.0,6.2,11.9,0.522,0.522,2.9,3.9,0.74,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3,21.099999999999998,7.8,28.9
6,26.0,MIL,NBA,C,81.0,0.0,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,4.8,8.9,0.536,0.5329999999999999,2.2,3.0,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,16.7,6.1,22.799999999999997
7,,,NBA,,538.0,401.0,29.7,5.6,11.0,0.511,0.0,0.0,0.0,5.6,11.0,0.512,0.511,2.8,4.0,0.705,3.0,5.8,8.7,2.3,1.1,0.6,2.0,2.3,14.1,19.7,7.5,27.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,DET,NBA,,378.0,334.0,31.3,5.7,11.3,0.505,0.0,0.0,0.0,5.7,11.2,0.506,0.505,2.9,4.2,0.693,3.2,6.0,9.2,2.3,1.2,0.6,2.1,2.4,14.3,20.0,7.8,27.8
10,,MIL,NBA,,160.0,67.0,25.9,5.5,10.4,0.527,0.0,0.0,0.0,5.5,10.4,0.528,0.527,2.5,3.4,0.74,2.4,5.3,7.7,2.3,1.0,0.7,1.7,2.1,13.5,18.8,7.0,25.8
