,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,ATL,NBA,PG,81.0,27.0,23.3,3.1,7.4,0.415,0.6,1.9,0.293,2.5,5.5,0.45799999999999996,0.45299999999999996,1.4,1.7,0.807,0.3,1.8,2.0,4.3,1.1,0.1,1.9,1.6,8.1,15.1,3.0000000000000004,18.1
1,23.0,ATL,NBA,SG,82.0,77.0,37.7,7.3,16.7,0.436,1.5,3.8,0.395,5.8,12.8,0.44799999999999995,0.48100000000000004,3.7,4.4,0.846,0.5,2.8,3.3,4.9,1.3,0.1,2.9,2.5,19.7,27.1,4.199999999999999,31.3
2,24.0,ATL,NBA,SG,78.0,78.0,38.0,6.7,15.6,0.43,2.2,5.7,0.387,4.5,9.9,0.45399999999999996,0.5,3.6,4.4,0.835,0.5,2.9,3.5,5.7,1.8,0.2,2.3,2.0,19.3,28.900000000000002,4.9,33.800000000000004
3,25.0,ATL,NBA,PG,81.0,81.0,38.0,6.0,14.1,0.428,2.0,5.3,0.371,4.0,8.8,0.462,0.498,3.2,3.6,0.887,0.5,3.0,3.4,7.4,1.6,0.2,3.1,2.2,17.2,29.4,4.8,34.199999999999996
4,26.0,ATL,NBA,PG,81.0,78.0,37.3,6.2,14.8,0.41700000000000004,1.8,5.2,0.34700000000000003,4.4,9.6,0.455,0.478,2.7,3.2,0.8270000000000001,0.6,3.5,4.1,5.4,1.5,0.2,2.8,2.4,16.8,25.400000000000002,5.2,30.6
5,27.0,DAL,NBA,PG,80.0,57.0,30.0,4.7,9.3,0.501,1.3,3.1,0.42,3.4,6.2,0.54,0.57,1.8,2.2,0.8440000000000001,0.5,1.9,2.4,5.4,1.4,0.2,1.8,2.2,12.4,21.900000000000002,3.5,25.400000000000002
6,28.0,DAL,NBA,PG,80.0,80.0,35.0,6.5,13.7,0.47,2.1,5.2,0.41100000000000003,4.3,8.5,0.505,0.547,2.1,2.6,0.8,0.4,1.6,2.0,3.8,1.3,0.3,1.7,2.5,17.1,23.400000000000002,3.2,26.6
7,29.0,DAL,NBA,SG,81.0,80.0,35.1,6.3,13.1,0.484,2.0,4.6,0.43799999999999994,4.3,8.6,0.508,0.56,2.0,2.5,0.804,0.5,2.3,2.9,5.2,1.0,0.2,1.9,2.1,16.7,25.700000000000003,3.5,29.200000000000003
8,30.0,DAL,NBA,SG,82.0,34.0,31.5,5.7,12.3,0.467,1.7,4.4,0.375,4.1,7.9,0.519,0.535,2.3,2.7,0.857,0.4,2.2,2.5,3.2,1.1,0.2,1.1,2.1,15.5,21.2,3.5000000000000004,24.7
9,31.0,DAL,NBA,SG,74.0,11.0,33.7,7.3,15.8,0.46299999999999997,2.3,6.2,0.366,5.1,9.6,0.525,0.535,2.7,3.0,0.88,0.5,1.9,2.4,3.4,1.3,0.3,1.6,1.9,19.6,25.3,3.5,28.8
