,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MIA,NBA,PF,81.0,19.0,24.8,5.6,11.8,0.47200000000000003,0.4,1.0,0.40700000000000003,5.2,10.8,0.478,0.49,2.3,3.0,0.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9,15.8,5.1,20.9
1,21.0,MIA,NBA,PF,78.0,78.0,29.8,6.0,13.3,0.45,0.4,1.3,0.275,5.6,12.0,0.469,0.46299999999999997,2.5,3.1,0.8,1.6,4.8,6.4,1.3,1.0,0.6,1.7,2.8,14.8,17.3,6.3999999999999995,23.7
2,22.0,MIN,NBA,SF,73.0,73.0,32.3,7.7,17.1,0.45,0.8,2.2,0.366,6.9,14.8,0.46299999999999997,0.474,3.0,4.0,0.753,1.6,4.0,5.6,2.2,0.7,0.7,2.7,3.0,19.2,22.5,5.4,27.9
3,23.0,MIN,NBA,SF,47.0,7.0,23.1,4.7,10.6,0.445,0.8,2.1,0.376,3.9,8.4,0.462,0.483,1.3,2.0,0.642,0.8,3.6,4.4,1.0,0.4,0.4,1.7,1.8,11.5,12.600000000000001,4.4,17.0
4,24.0,PHO,NBA,SF,75.0,20.0,20.7,4.1,10.2,0.405,0.6,1.9,0.313,3.5,8.3,0.426,0.434,1.3,1.7,0.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,11.9,4.0,15.9
5,25.0,MIA,NBA,SF,55.0,2.0,15.1,3.2,6.5,0.499,0.4,1.0,0.389,2.8,5.5,0.518,0.528,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1.0,1.7,7.9,9.100000000000001,3.4,12.500000000000002
6,26.0,MIA,NBA,PF,24.0,1.0,21.0,3.8,8.8,0.434,0.3,1.4,0.235,3.5,7.4,0.47200000000000003,0.45299999999999996,0.8,1.1,0.769,0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,8.8,10.4,4.300000000000001,14.700000000000001
7,27.0,HOU,NBA,PF,20.0,0.0,18.2,5.4,10.3,0.522,0.2,0.5,0.33299999999999996,5.2,9.8,0.531,0.529,1.9,2.5,0.7759999999999999,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2.0,12.8,14.700000000000001,4.6,19.3
8,28.0,MIL,NBA,PF,56.0,6.0,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.5539999999999999,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,10.700000000000001,3.7,14.400000000000002
9,,,NBA,,509.0,206.0,23.5,5.1,11.2,0.45799999999999996,0.5,1.4,0.34700000000000003,4.6,9.7,0.475,0.48,1.9,2.5,0.758,1.1,3.6,4.7,1.3,0.6,0.5,1.7,2.2,12.6,14.600000000000001,4.7,19.3
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,MIA,NBA,,238.0,100.0,23.8,5.0,10.8,0.46399999999999997,0.4,1.1,0.332,4.6,9.6,0.479,0.48100000000000004,1.9,2.5,0.7829999999999999,1.2,3.9,5.0,1.1,0.7,0.5,1.5,2.4,12.3,14.200000000000001,5.1,19.3
12,,MIN,NBA,,120.0,80.0,28.7,6.5,14.5,0.449,0.8,2.2,0.37,5.7,12.3,0.46299999999999997,0.47700000000000004,2.3,3.2,0.725,1.3,3.8,5.1,1.7,0.6,0.6,2.3,2.5,16.2,18.599999999999998,4.999999999999999,23.599999999999998
13,,PHO,NBA,,75.0,20.0,20.7,4.1,10.2,0.405,0.6,1.9,0.313,3.5,8.3,0.426,0.434,1.3,1.7,0.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,11.9,4.0,15.9
14,,MIL,NBA,,56.0,6.0,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.5539999999999999,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,10.700000000000001,3.7,14.400000000000002
15,,HOU,NBA,,20.0,0.0,18.2,5.4,10.3,0.522,0.2,0.5,0.33299999999999996,5.2,9.8,0.531,0.529,1.9,2.5,0.7759999999999999,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2.0,12.8,14.700000000000001,4.6,19.3
