,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,27.0,BRK,NBA,PF,53.0,0.0,9.4,1.3,3.5,0.384,0.7,2.0,0.34299999999999997,0.6,1.5,0.442,0.484,0.2,0.2,0.818,0.6,1.2,1.8,0.4,0.2,0.2,0.4,1.0,3.5,4.5,1.5999999999999999,6.1
1,28.0,BRK,NBA,SF,72.0,7.0,19.4,3.1,7.3,0.418,1.9,4.8,0.39,1.2,2.5,0.47200000000000003,0.546,0.6,0.9,0.71,0.8,2.9,3.7,0.8,0.4,0.3,0.8,2.0,8.6,10.2,3.5999999999999996,13.799999999999999
2,29.0,BRK,NBA,PF,40.0,4.0,22.3,3.1,8.0,0.382,1.6,4.8,0.321,1.5,3.2,0.47600000000000003,0.48,0.8,1.2,0.7170000000000001,0.7,4.2,4.9,1.2,0.4,0.4,1.3,1.9,8.5,10.299999999999999,5.000000000000001,15.3
3,30.0,PHO,NBA,PF,79.0,1.0,21.3,4.2,9.8,0.42700000000000005,2.3,5.8,0.39299999999999996,1.9,4.0,0.47600000000000003,0.544,1.5,2.0,0.774,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2.0,12.2,14.0,3.8,17.8
4,31.0,MIL,NBA,PF,70.0,2.0,16.2,2.2,6.0,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,7.5,2.6000000000000005,10.100000000000001
5,,,NBA,,314.0,14.0,17.9,2.9,7.1,0.405,1.7,4.5,0.36700000000000005,1.2,2.6,0.47,0.522,0.8,1.0,0.755,0.6,2.7,3.2,0.8,0.3,0.3,0.8,1.7,8.2,9.599999999999998,3.3,12.899999999999999
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,BRK,NBA,,165.0,11.0,16.9,2.5,6.3,0.401,1.4,3.9,0.36200000000000004,1.1,2.3,0.467,0.515,0.5,0.7,0.723,0.7,2.6,3.4,0.8,0.3,0.3,0.8,1.6,7.0,8.5,3.1999999999999997,11.7
8,,PHO,NBA,,79.0,1.0,21.3,4.2,9.8,0.42700000000000005,2.3,5.8,0.39299999999999996,1.9,4.0,0.47600000000000003,0.544,1.5,2.0,0.774,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2.0,12.2,14.0,3.8,17.8
9,,MIL,NBA,,70.0,2.0,16.2,2.2,6.0,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,7.5,2.6000000000000005,10.100000000000001
