,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,HOU,NBA,PF,19.0,0.0,14.5,2.3,4.9,0.457,0.3,1.0,0.263,2.0,3.9,0.507,0.484,0.7,0.9,0.765,1.5,1.9,3.4,0.8,0.6,1.0,0.7,1.1,5.5,7.8999999999999995,3.5,11.399999999999999
1,22.0,HOU,NBA,PF,76.0,71.0,27.3,5.1,9.4,0.542,0.4,1.3,0.307,4.7,8.0,0.581,0.564,1.6,2.6,0.605,2.1,4.8,6.9,1.1,0.7,1.3,0.9,1.8,12.1,15.499999999999998,6.8,22.299999999999997
2,23.0,HOU,NBA,PF,33.0,24.0,26.9,4.8,9.1,0.528,0.4,1.1,0.35100000000000003,4.4,7.9,0.5529999999999999,0.55,1.7,2.8,0.606,2.4,4.3,6.7,1.1,0.5,1.8,1.1,2.4,11.7,15.199999999999998,6.6,21.799999999999997
3,24.0,HOU,NBA,PF,50.0,11.0,20.9,3.3,7.3,0.452,0.5,1.6,0.316,2.8,5.8,0.49,0.486,1.5,2.3,0.664,1.2,3.0,4.2,0.8,0.5,0.8,1.0,1.7,8.7,10.5,4.3,14.8
4,25.0,TOT,NBA,PF,54.0,12.0,23.5,4.3,9.1,0.47,0.4,1.4,0.253,3.9,7.7,0.508,0.489,1.9,3.1,0.606,1.2,4.5,5.7,1.1,0.7,1.0,0.9,1.2,10.8,13.3,6.2,19.5
5,25.0,NOP,NBA,PF,51.0,12.0,24.8,4.5,9.6,0.47200000000000003,0.4,1.5,0.253,4.2,8.1,0.512,0.49200000000000005,2.0,3.3,0.606,1.3,4.7,5.9,1.2,0.8,1.0,0.9,1.3,11.5,14.299999999999999,6.5,20.799999999999997
6,25.0,MIL,NBA,PF,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.6,1.6
7,,,NBA,,232.0,118.0,24.0,4.2,8.5,0.501,0.4,1.3,0.299,3.8,7.1,0.539,0.525,1.6,2.6,0.622,1.7,4.0,5.7,1.0,0.6,1.2,0.9,1.7,10.5,13.299999999999999,5.8,19.099999999999998
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,HOU,NBA,,178.0,106.0,24.1,4.2,8.3,0.512,0.4,1.3,0.314,3.8,6.9,0.5489999999999999,0.537,1.5,2.4,0.628,1.9,3.9,5.8,1.0,0.6,1.2,1.0,1.8,10.4,13.3,5.7,19.0
10,,NOP,NBA,,51.0,12.0,24.8,4.5,9.6,0.47200000000000003,0.4,1.5,0.253,4.2,8.1,0.512,0.49200000000000005,2.0,3.3,0.606,1.3,4.7,5.9,1.2,0.8,1.0,0.9,1.3,11.5,14.299999999999999,6.5,20.799999999999997
11,,MIL,NBA,,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.6,1.6
