,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,ORL,NBA,SG,77.0,42.0,25.2,3.2,7.0,0.45,1.1,2.6,0.40399999999999997,2.1,4.4,0.478,0.526,1.0,1.2,0.83,0.2,2.1,2.3,1.2,1.0,0.2,0.9,2.0,8.4,10.1,3.3000000000000003,13.4
1,24.0,NJN,NBA,SG,71.0,66.0,33.5,4.8,10.9,0.436,1.1,3.2,0.33799999999999997,3.7,7.7,0.47600000000000003,0.485,1.9,2.2,0.8690000000000001,0.8,2.7,3.5,1.7,1.3,0.3,1.1,1.8,12.5,15.6,4.3,19.9
2,25.0,HOU,NBA,SG,81.0,1.0,21.3,3.1,7.1,0.439,0.9,2.1,0.408,2.2,5.0,0.45299999999999996,0.501,1.2,1.5,0.792,0.6,2.0,2.6,1.2,0.7,0.2,0.8,1.3,8.3,10.5,2.9000000000000004,13.4
3,26.0,HOU,NBA,SG,58.0,26.0,30.3,4.3,10.0,0.433,1.5,3.7,0.401,2.8,6.3,0.452,0.508,1.2,1.5,0.826,0.4,2.3,2.7,1.5,1.2,0.4,1.1,1.8,11.4,13.700000000000001,3.9,17.6
4,27.0,BOS,NBA,SG,78.0,39.0,24.9,3.2,6.8,0.46399999999999997,0.7,2.0,0.37200000000000005,2.4,4.8,0.503,0.519,0.8,0.9,0.861,0.4,2.0,2.4,1.8,1.1,0.3,1.1,1.8,7.8,10.700000000000001,3.4,14.100000000000001
5,28.0,TOT,NBA,SG,79.0,47.0,25.0,3.7,7.8,0.48,0.9,2.5,0.371,2.8,5.3,0.531,0.539,1.3,1.4,0.884,0.4,2.0,2.4,1.5,0.8,0.4,0.9,1.6,9.6,12.1,3.1999999999999997,15.299999999999999
6,28.0,BOS,NBA,SG,30.0,0.0,16.8,3.0,6.1,0.49200000000000005,0.8,1.7,0.442,2.2,4.4,0.511,0.555,0.6,0.7,0.818,0.3,1.4,1.6,1.1,0.7,0.3,0.8,1.2,7.4,9.1,2.3999999999999995,11.5
7,28.0,MEM,NBA,SG,49.0,47.0,30.0,4.2,8.8,0.47600000000000003,1.0,2.9,0.345,3.2,5.9,0.54,0.532,1.7,1.8,0.9,0.4,2.4,2.8,1.7,0.9,0.4,1.0,1.8,11.0,13.8,3.6999999999999997,17.5
8,29.0,MEM,NBA,SG,77.0,74.0,30.6,3.7,8.4,0.44799999999999995,1.2,2.9,0.402,2.6,5.4,0.473,0.518,1.4,1.7,0.86,0.3,2.0,2.3,2.0,1.0,0.2,1.0,1.7,10.1,13.399999999999999,3.2,16.599999999999998
9,30.0,TOT,NBA,SG,79.0,65.0,29.5,3.7,8.1,0.45399999999999996,1.0,2.7,0.37799999999999995,2.6,5.3,0.493,0.518,1.3,1.5,0.8390000000000001,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,9.6,12.499999999999998,3.7,16.2
10,30.0,MEM,NBA,SG,51.0,37.0,29.2,3.8,8.2,0.45799999999999996,1.0,2.7,0.37,2.8,5.5,0.502,0.519,1.5,1.8,0.826,0.4,1.9,2.3,1.5,1.0,0.3,1.0,1.5,10.0,12.4,3.1999999999999997,15.6
11,30.0,CHO,NBA,SG,28.0,28.0,30.2,3.5,7.9,0.445,1.1,2.8,0.392,2.4,5.0,0.475,0.516,0.8,0.9,0.885,0.4,2.8,3.1,2.1,1.2,0.4,0.8,2.0,8.9,12.7,4.4,17.1
12,31.0,NYK,NBA,SG,77.0,74.0,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,15.200000000000001,4.1000000000000005,19.3
13,,,NBA,,677.0,434.0,27.9,3.7,8.3,0.451,1.1,2.8,0.386,2.7,5.5,0.483,0.516,1.2,1.5,0.848,0.5,2.2,2.7,1.7,1.0,0.3,1.0,1.7,9.8,12.700000000000001,3.5,16.200000000000003
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,MEM,NBA,,177.0,158.0,30.0,3.9,8.4,0.45899999999999996,1.1,2.8,0.377,2.8,5.6,0.501,0.522,1.5,1.8,0.862,0.3,2.1,2.5,1.8,1.0,0.3,1.0,1.7,10.3,13.200000000000001,3.4,16.6
16,,HOU,NBA,,139.0,27.0,25.0,3.6,8.3,0.436,1.1,2.8,0.40399999999999997,2.5,5.5,0.452,0.504,1.2,1.5,0.8059999999999999,0.6,2.1,2.6,1.4,0.9,0.3,0.9,1.5,9.6,12.1,3.3,15.399999999999999
17,,BOS,NBA,,108.0,39.0,22.6,3.1,6.6,0.47100000000000003,0.8,1.9,0.389,2.4,4.7,0.505,0.528,0.7,0.9,0.851,0.4,1.9,2.2,1.6,1.0,0.3,1.0,1.6,7.7,10.3,3.1999999999999997,13.5
18,,NYK,NBA,,77.0,74.0,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.5329999999999999,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,15.200000000000001,4.1000000000000005,19.3
19,,ORL,NBA,,77.0,42.0,25.2,3.2,7.0,0.45,1.1,2.6,0.40399999999999997,2.1,4.4,0.478,0.526,1.0,1.2,0.83,0.2,2.1,2.3,1.2,1.0,0.2,0.9,2.0,8.4,10.1,3.3000000000000003,13.4
20,,NJN,NBA,,71.0,66.0,33.5,4.8,10.9,0.436,1.1,3.2,0.33799999999999997,3.7,7.7,0.47600000000000003,0.485,1.9,2.2,0.8690000000000001,0.8,2.7,3.5,1.7,1.3,0.3,1.1,1.8,12.5,15.6,4.3,19.9
21,,CHO,NBA,,28.0,28.0,30.2,3.5,7.9,0.445,1.1,2.8,0.392,2.4,5.0,0.475,0.516,0.8,0.9,0.885,0.4,2.8,3.1,2.1,1.2,0.4,0.8,2.0,8.9,12.7,4.4,17.1
