,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,PG,81.0,80.0,37.0,7.1,14.9,0.475,0.2,0.9,0.222,6.9,14.0,0.491,0.48200000000000004,2.4,3.1,0.7879999999999999,1.2,2.7,3.9,6.3,0.8,0.2,2.5,1.5,16.8,28.1,3.7,31.8
1,21.0,,NBA,PG,78.0,78.0,36.8,8.6,17.6,0.489,0.2,0.8,0.267,8.4,16.8,0.5,0.495,3.3,4.3,0.7659999999999999,0.8,2.9,3.8,6.0,0.7,0.3,2.8,1.2,20.8,30.8,3.8999999999999995,34.7
2,22.0,,NBA,PG,81.0,81.0,37.4,8.8,19.7,0.445,1.6,4.8,0.332,7.2,15.0,0.48100000000000004,0.485,5.9,6.9,0.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,38.0,4.699999999999999,42.7
3,23.0,,NBA,PG,39.0,39.0,35.3,7.7,17.8,0.435,1.4,4.4,0.312,6.4,13.4,0.475,0.473,5.0,6.1,0.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,21.8,35.199999999999996,4.3,39.49999999999999
4,,24.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25.0,,NBA,PG,10.0,10.0,31.1,5.8,16.4,0.354,1.6,4.7,0.34,4.2,11.7,0.359,0.402,2.7,3.2,0.8440000000000001,0.9,2.3,3.2,4.3,0.5,0.1,3.4,1.5,15.9,22.0,2.9,24.9
6,26.0,,NBA,PG,51.0,51.0,30.0,6.6,16.4,0.405,1.5,5.3,0.28,5.1,11.1,0.465,0.45,3.0,3.7,0.813,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,17.7,25.0,3.5,28.5
7,27.0,,NBA,PG,66.0,66.0,31.8,6.8,15.9,0.42700000000000005,0.7,2.3,0.293,6.1,13.6,0.449,0.44799999999999995,2.2,2.7,0.7929999999999999,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4,23.8,3.6000000000000005,27.400000000000002
8,28.0,,NBA,PG,64.0,64.0,32.5,7.2,15.3,0.47100000000000003,0.2,0.9,0.217,7.0,14.3,0.48700000000000004,0.47700000000000004,3.5,4.0,0.8740000000000001,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,25.5,3.8,29.3
9,,,NBA,,470.0,469.0,34.7,7.6,16.8,0.451,0.8,2.6,0.298,6.8,14.2,0.479,0.474,3.5,4.3,0.82,0.9,2.8,3.7,6.0,0.8,0.4,2.8,1.4,19.5,29.599999999999998,3.9999999999999996,33.599999999999994
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,NBA,,406.0,405.0,35.0,7.6,17.0,0.44799999999999995,0.9,2.9,0.302,6.8,14.2,0.478,0.474,3.6,4.4,0.813,0.9,2.8,3.7,6.2,0.8,0.4,2.9,1.4,19.7,30.1,3.9999999999999996,34.1
12,,,NBA,,64.0,64.0,32.5,7.2,15.3,0.47100000000000003,0.2,0.9,0.217,7.0,14.3,0.48700000000000004,0.47700000000000004,3.5,4.0,0.8740000000000001,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,25.5,3.8,29.3
