,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,CHI,NBA,C,74.0,31.0,20.7,2.4,5.0,0.48200000000000004,0.0,0.0,0.0,2.4,4.9,0.484,0.48200000000000004,1.8,2.6,0.691,2.4,3.3,5.6,1.1,0.9,0.9,1.2,2.3,6.6,10.0,5.1000000000000005,15.100000000000001
1,23.0,CHI,NBA,C,80.0,55.0,24.2,2.6,4.7,0.556,0.0,0.0,0.0,2.6,4.6,0.5579999999999999,0.556,1.5,2.3,0.6759999999999999,3.1,4.5,7.6,1.3,0.6,1.4,1.0,3.0,6.7,11.4,6.5,17.9
2,24.0,CHI,NBA,C,64.0,54.0,30.1,4.1,8.1,0.504,0.0,0.0,,4.1,8.1,0.504,0.504,2.5,3.4,0.7440000000000001,3.4,7.6,11.0,2.1,0.5,1.6,1.8,3.1,10.7,16.499999999999996,9.7,26.199999999999996
3,25.0,CHI,NBA,C,48.0,48.0,32.8,4.4,8.4,0.525,0.0,0.0,0.0,4.4,8.4,0.526,0.525,2.9,3.9,0.7390000000000001,3.8,6.6,10.4,2.2,1.0,1.5,1.9,3.3,11.7,18.0,9.1,27.1
4,26.0,CHI,NBA,C,64.0,64.0,30.4,3.9,7.7,0.508,0.0,0.0,0.0,3.9,7.6,0.509,0.508,2.4,3.2,0.748,3.8,6.0,9.8,2.5,0.6,1.4,1.4,2.5,10.2,17.6,8.0,25.6
5,27.0,CHI,NBA,C,66.0,64.0,36.8,4.6,9.5,0.48100000000000004,0.0,0.1,0.0,4.6,9.5,0.485,0.48100000000000004,2.7,3.6,0.7509999999999999,3.9,7.2,11.1,4.0,1.2,2.1,2.7,2.8,11.9,21.1,10.5,31.6
6,28.0,CHI,NBA,C,80.0,80.0,35.3,4.8,10.0,0.475,0.0,0.0,0.0,4.8,10.0,0.47600000000000003,0.475,3.1,4.2,0.737,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,12.6,24.5,10.4,34.9
7,29.0,CHI,NBA,C,67.0,67.0,30.6,2.8,6.4,0.445,0.0,0.0,0.0,2.8,6.3,0.447,0.445,1.6,2.6,0.603,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3.0,7.2,18.099999999999998,8.200000000000001,26.299999999999997
8,30.0,CHI,NBA,C,29.0,2.0,21.9,1.8,4.6,0.38299999999999995,0.0,0.0,0.0,1.8,4.6,0.386,0.38299999999999995,0.8,1.6,0.489,3.0,5.8,8.8,3.8,0.6,1.0,1.8,2.7,4.3,13.099999999999998,7.3999999999999995,20.499999999999996
9,31.0,NYK,NBA,C,46.0,46.0,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0,11.6,6.7,18.3
10,,,NBA,,618.0,511.0,28.9,3.4,7.0,0.49,0.0,0.0,0.0,3.4,7.0,0.49200000000000005,0.49,2.1,3.0,0.6990000000000001,3.4,6.0,9.4,2.9,0.8,1.4,1.7,2.9,9.0,16.5,8.2,24.7
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,CHI,NBA,,572.0,465.0,29.5,3.5,7.2,0.49,0.0,0.0,0.0,3.5,7.2,0.49200000000000005,0.49,2.2,3.1,0.711,3.3,6.1,9.4,3.0,0.8,1.4,1.8,2.9,9.3,16.8,8.299999999999999,25.1
13,,NYK,NBA,,46.0,46.0,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0,11.6,6.7,18.3
