,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,SG,9.0,0.0,15.8,1.8,5.3,0.33299999999999996,0.4,1.8,0.25,1.3,3.6,0.375,0.375,0.7,0.9,0.75,0.0,1.6,1.6,1.7,0.3,0.7,1.0,0.8,4.7,7.1,2.6,9.7
1,,24.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25.0,,NBA,SG,59.0,4.0,11.1,1.5,4.0,0.387,0.6,1.8,0.321,0.9,2.1,0.444,0.462,0.6,0.8,0.8220000000000001,0.2,1.0,1.2,0.8,0.7,0.2,0.5,0.9,4.3,5.6,1.9,7.5
3,26.0,,NBA,SG,53.0,5.0,14.6,1.7,4.3,0.386,0.7,2.0,0.34299999999999997,1.0,2.3,0.423,0.465,0.5,0.7,0.73,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,4.5,6.2,2.5,8.7
4,26.0,,NBA,SG,26.0,1.0,10.1,0.9,2.8,0.32899999999999996,0.4,1.7,0.222,0.5,1.1,0.5,0.397,0.2,0.4,0.5,0.2,0.9,1.0,0.4,0.5,0.2,0.5,0.8,2.4,2.9,1.5999999999999999,4.5
5,26.0,,NBA,SG,27.0,4.0,18.9,2.4,5.7,0.413,1.0,2.2,0.433,1.4,3.5,0.4,0.49700000000000005,0.8,1.0,0.815,0.3,2.0,2.3,1.7,0.7,0.6,1.0,1.5,6.5,9.2,3.3000000000000003,12.5
6,27.0,,NBA,SG,82.0,4.0,20.0,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1.0,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,9.6,3.6,13.2
7,,,NBA,,203.0,13.0,15.8,2.1,5.2,0.408,0.8,2.5,0.342,1.3,2.7,0.469,0.49,0.7,0.8,0.8,0.3,1.7,2.0,1.1,0.7,0.3,0.7,1.1,5.7,7.499999999999999,2.6999999999999997,10.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,NBA,,82.0,4.0,20.0,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1.0,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,9.6,3.6,13.2
10,,,NBA,,59.0,4.0,11.1,1.5,4.0,0.387,0.6,1.8,0.321,0.9,2.1,0.444,0.462,0.6,0.8,0.8220000000000001,0.2,1.0,1.2,0.8,0.7,0.2,0.5,0.9,4.3,5.6,1.9,7.5
11,,,NBA,,27.0,4.0,18.9,2.4,5.7,0.413,1.0,2.2,0.433,1.4,3.5,0.4,0.49700000000000005,0.8,1.0,0.815,0.3,2.0,2.3,1.7,0.7,0.6,1.0,1.5,6.5,9.2,3.3000000000000003,12.5
12,,,NBA,,26.0,1.0,10.1,0.9,2.8,0.32899999999999996,0.4,1.7,0.222,0.5,1.1,0.5,0.397,0.2,0.4,0.5,0.2,0.9,1.0,0.4,0.5,0.2,0.5,0.8,2.4,2.9,1.5999999999999999,4.5
13,,,NBA,,9.0,0.0,15.8,1.8,5.3,0.33299999999999996,0.4,1.8,0.25,1.3,3.6,0.375,0.375,0.7,0.9,0.75,0.0,1.6,1.6,1.7,0.3,0.7,1.0,0.8,4.7,7.1,2.6,9.7
