,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,NOH,NBA,PF,42.0,10.0,15.0,1.4,3.0,0.452,0.0,0.0,0.0,1.4,3.0,0.456,0.452,1.2,1.5,0.8390000000000001,1.2,1.8,3.0,0.3,0.2,0.2,0.6,1.9,4.0,5.2,2.2,7.4
1,24.0,NOH,NBA,SF,59.0,9.0,10.9,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.5,0.7,1.0,0.7290000000000001,0.7,1.2,1.9,0.3,0.2,0.1,0.2,1.3,2.5,3.5999999999999996,1.5,5.1
2,25.0,NOP,NBA,SF,5.0,0.0,8.4,0.4,1.8,0.222,0.0,0.0,,0.4,1.8,0.222,0.222,0.4,0.8,0.5,0.4,1.0,1.4,0.6,0.0,0.0,0.4,0.8,1.2,2.4,1.0,3.4
3,26.0,TOT,NBA,PF-SF,62.0,37.0,24.0,2.9,7.1,0.41200000000000003,0.1,0.4,0.318,2.8,6.8,0.41700000000000004,0.42,1.2,1.6,0.727,1.0,2.1,3.1,1.1,0.6,0.1,1.2,1.6,7.1,9.100000000000001,2.8000000000000003,11.900000000000002
4,26.0,OKC,NBA,SF,22.0,13.0,20.5,2.0,5.7,0.35700000000000004,0.0,0.0,0.0,2.0,5.7,0.36,0.35700000000000004,1.0,1.5,0.6970000000000001,1.3,2.1,3.4,0.9,0.5,0.0,0.8,1.7,5.1,7.3999999999999995,2.6,10.0
5,26.0,NYK,NBA,PF,40.0,24.0,26.0,3.4,7.9,0.434,0.2,0.5,0.33299999999999996,3.3,7.4,0.441,0.445,1.2,1.7,0.742,0.9,2.1,3.0,1.2,0.7,0.2,1.4,1.6,8.3,10.200000000000001,3.0,13.200000000000001
6,27.0,NYK,NBA,PF,59.0,5.0,22.3,2.9,6.5,0.442,0.7,1.8,0.40399999999999997,2.1,4.6,0.45799999999999996,0.5,1.7,2.0,0.857,0.6,1.6,2.2,0.9,0.4,0.1,1.0,1.8,8.2,9.6,2.1,11.7
7,28.0,NYK,NBA,PF,46.0,15.0,21.0,2.1,5.3,0.39799999999999996,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0,7.800000000000001,3.0,10.8
8,,,NBA,,273.0,76.0,18.6,2.1,4.8,0.428,0.3,0.8,0.41,1.7,4.0,0.431,0.462,1.2,1.4,0.797,0.8,1.8,2.6,0.7,0.4,0.1,0.7,1.7,5.6,7.1,2.3000000000000003,9.4
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,NYK,NBA,,145.0,44.0,22.9,2.8,6.5,0.428,0.6,1.5,0.414,2.2,5.0,0.43200000000000005,0.475,1.3,1.6,0.8220000000000001,0.7,2.0,2.7,0.9,0.5,0.1,1.0,1.8,7.5,9.0,2.6,11.6
11,,"NOH,NOP",NBA,,106.0,19.0,12.4,1.1,2.3,0.465,0.0,0.0,0.0,1.1,2.3,0.467,0.465,0.9,1.2,0.7759999999999999,0.9,1.4,2.3,0.3,0.2,0.1,0.4,1.5,3.0,4.1,1.7,5.8
12,,OKC,NBA,,22.0,13.0,20.5,2.0,5.7,0.35700000000000004,0.0,0.0,0.0,2.0,5.7,0.36,0.35700000000000004,1.0,1.5,0.6970000000000001,1.3,2.1,3.4,0.9,0.5,0.0,0.8,1.7,5.1,7.3999999999999995,2.6,10.0
