,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,CHA,NBA,C,63.0,41.0,23.1,2.0,4.4,0.46399999999999997,0.0,0.0,,2.0,4.4,0.46399999999999997,0.46399999999999997,1.1,2.3,0.483,1.8,4.0,5.8,0.4,0.3,1.8,1.1,2.3,5.2,6.700000000000001,6.1,12.8
1,20.0,CHA,NBA,C,80.0,65.0,27.3,2.0,4.3,0.451,0.0,0.0,,2.0,4.3,0.451,0.451,0.9,1.8,0.521,2.4,4.9,7.3,0.4,0.4,1.8,1.0,2.4,4.8,7.0,7.1000000000000005,14.100000000000001
2,21.0,CHA,NBA,C,77.0,9.0,13.9,1.1,1.9,0.611,0.0,0.0,,1.1,1.9,0.611,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9,4.0,4.6,8.6
3,22.0,CHO,NBA,C,64.0,21.0,19.4,1.6,2.9,0.5429999999999999,0.0,0.0,,1.6,2.9,0.5429999999999999,0.5429999999999999,1.6,2.7,0.583,2.5,3.9,6.4,0.3,0.3,1.5,0.8,2.2,4.8,7.1000000000000005,5.7,12.8
4,23.0,TOR,NBA,C,82.0,22.0,22.0,1.9,3.5,0.542,0.0,0.0,0.0,1.9,3.5,0.544,0.542,1.7,2.8,0.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5,7.6,7.6,15.2
5,24.0,ORL,NBA,C,81.0,27.0,22.1,2.2,4.2,0.528,0.0,0.0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,8.5,6.5,15.0
6,,,NBA,,447.0,185.0,21.4,1.8,3.5,0.512,0.0,0.0,0.0,1.8,3.5,0.512,0.512,1.2,2.3,0.5529999999999999,2.0,4.6,6.6,0.4,0.3,1.5,0.9,2.3,4.9,6.8,6.3999999999999995,13.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"CHA,CHO",NBA,,284.0,136.0,21.0,1.7,3.4,0.49700000000000005,0.0,0.0,,1.7,3.4,0.49700000000000005,0.49700000000000005,1.0,1.9,0.53,2.0,4.1,6.1,0.3,0.3,1.6,0.9,2.1,4.4,6.1,6.0,12.1
9,,TOR,NBA,,82.0,22.0,22.0,1.9,3.5,0.542,0.0,0.0,0.0,1.9,3.5,0.544,0.542,1.7,2.8,0.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5,7.6,7.6,15.2
10,,ORL,NBA,,81.0,27.0,22.1,2.2,4.2,0.528,0.0,0.0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,8.5,6.5,15.0
