,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,,NBA,SF,80.0,52.0,28.2,4.0,9.4,0.42700000000000005,0.3,1.0,0.276,3.7,8.4,0.444,0.441,2.2,3.0,0.7440000000000001,1.3,3.5,4.7,1.5,0.6,0.6,2.0,2.5,10.5,12.8,4.699999999999999,17.5
1,22.0,,NBA,PF,78.0,78.0,36.8,6.1,13.7,0.446,1.2,3.2,0.389,4.9,10.5,0.46299999999999997,0.491,3.1,3.9,0.7879999999999999,1.5,5.1,6.7,2.0,1.0,0.4,2.2,2.6,16.5,19.8,6.5,26.3
2,23.0,,NBA,PF,82.0,82.0,37.1,5.9,13.0,0.45299999999999996,1.3,3.8,0.33299999999999996,4.6,9.2,0.503,0.502,2.0,2.7,0.74,1.4,4.6,6.0,1.6,1.3,0.9,1.6,2.7,15.1,18.099999999999998,6.8,24.9
3,24.0,,NBA,PF-SF,75.0,51.0,32.4,4.9,10.9,0.449,0.9,2.8,0.303,4.1,8.1,0.499,0.488,2.6,3.3,0.8109999999999999,1.0,3.8,4.8,1.4,0.7,0.5,1.3,2.8,13.3,15.8,5.0,20.8
4,24.0,,NBA,PF,49.0,49.0,37.0,5.5,12.6,0.43700000000000006,1.1,3.8,0.304,4.4,8.9,0.493,0.48200000000000004,3.0,3.7,0.818,1.2,4.4,5.6,1.8,0.8,0.4,1.6,2.9,15.2,18.4,5.6000000000000005,24.0
5,24.0,,NBA,SF,26.0,2.0,23.5,3.8,7.8,0.485,0.3,1.0,0.29600000000000004,3.5,6.7,0.514,0.505,1.9,2.4,0.794,0.6,2.7,3.3,0.7,0.5,0.6,0.9,2.6,9.8,10.9,3.8000000000000003,14.700000000000001
6,,25.0,Did Not Play (illness—heart condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26.0,,NBA,PF,81.0,17.0,27.8,4.6,10.0,0.467,0.9,2.2,0.385,3.8,7.7,0.49,0.51,2.6,3.3,0.8079999999999999,0.7,3.2,3.9,1.6,0.7,0.8,1.6,2.2,12.8,15.100000000000003,4.7,19.800000000000004
8,27.0,,NBA,SF,82.0,82.0,34.2,5.9,14.3,0.41200000000000003,1.6,4.8,0.341,4.2,9.5,0.44799999999999995,0.469,3.5,4.3,0.795,0.7,4.0,4.6,1.7,0.7,0.6,2.0,2.2,16.9,19.0,5.3,24.3
9,28.0,,NBA,SF,78.0,70.0,31.5,5.3,12.4,0.43,1.2,3.7,0.332,4.1,8.7,0.473,0.48,3.1,3.7,0.833,0.8,3.4,4.2,1.7,0.7,0.4,1.4,1.9,15.0,17.8,4.5,22.3
10,28.0,,NBA,SF,33.0,33.0,33.1,6.2,14.4,0.434,1.4,4.7,0.305,4.8,9.7,0.495,0.483,3.7,4.4,0.84,0.6,3.6,4.3,1.6,0.8,0.4,1.7,2.0,17.6,19.700000000000003,4.800000000000001,24.500000000000004
11,28.0,,NBA,SF,45.0,37.0,30.2,4.7,10.9,0.42700000000000005,1.1,3.1,0.36200000000000004,3.6,7.9,0.452,0.478,2.6,3.2,0.825,1.0,3.2,4.2,1.8,0.6,0.5,1.2,1.8,13.1,16.5,4.300000000000001,20.8
12,29.0,,NBA,SF,80.0,41.0,28.2,4.4,10.3,0.43,0.8,2.7,0.315,3.6,7.6,0.47,0.47,2.1,2.8,0.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,11.7,14.8,4.4,19.200000000000003
13,29.0,,NBA,SF,53.0,31.0,29.1,4.5,10.5,0.431,0.8,2.6,0.309,3.7,7.9,0.47,0.469,2.3,2.9,0.8,1.0,3.5,4.5,1.8,0.8,0.4,1.3,1.9,12.2,15.499999999999996,4.7,20.199999999999996
14,29.0,,NBA,SF,27.0,10.0,26.3,4.2,9.9,0.42700000000000005,0.9,2.9,0.325,3.3,7.0,0.46799999999999997,0.474,1.5,2.4,0.615,0.7,2.7,3.4,1.5,0.7,0.8,0.9,2.3,10.9,13.700000000000001,4.2,17.900000000000002
15,30.0,,NBA,PF,69.0,11.0,22.2,3.2,8.1,0.39399999999999996,0.8,2.8,0.275,2.4,5.3,0.45799999999999996,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,11.1,3.2,14.3
16,,,NBA,,705.0,484.0,31.1,5.0,11.4,0.435,1.0,3.0,0.33299999999999996,4.0,8.4,0.47200000000000003,0.479,2.6,3.3,0.792,1.0,3.7,4.7,1.6,0.8,0.6,1.6,2.3,13.5,16.099999999999998,5.1,21.199999999999996
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,NBA,,289.0,261.0,34.5,5.4,12.1,0.44299999999999995,1.0,2.8,0.33799999999999997,4.4,9.3,0.474,0.48200000000000004,2.5,3.3,0.7709999999999999,1.3,4.4,5.8,1.7,0.9,0.6,1.9,2.6,14.2,17.0,5.9,22.9
19,,,NBA,,222.0,134.0,30.5,5.2,12.0,0.43799999999999994,1.2,3.4,0.34299999999999997,4.1,8.5,0.47600000000000003,0.48700000000000004,3.0,3.7,0.807,0.7,3.5,4.2,1.5,0.7,0.6,1.7,2.2,14.6,16.6,4.8,21.400000000000002
20,,,NBA,,98.0,68.0,29.6,4.6,10.7,0.429,0.9,2.8,0.336,3.7,7.9,0.462,0.473,2.5,3.0,0.812,1.0,3.4,4.4,1.8,0.7,0.4,1.2,1.9,12.6,16.0,4.5,20.5
21,,,NBA,,69.0,11.0,22.2,3.2,8.1,0.39399999999999996,0.8,2.8,0.275,2.4,5.3,0.45799999999999996,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,11.1,3.2,14.3
22,,,NBA,,27.0,10.0,26.3,4.2,9.9,0.42700000000000005,0.9,2.9,0.325,3.3,7.0,0.46799999999999997,0.474,1.5,2.4,0.615,0.7,2.7,3.4,1.5,0.7,0.8,0.9,2.3,10.9,13.700000000000001,4.2,17.900000000000002
