,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,TOT,NBA,SG,60.0,0.0,12.0,1.7,4.5,0.38799999999999996,0.7,2.2,0.318,1.0,2.3,0.456,0.466,0.5,0.7,0.795,0.2,1.5,1.7,0.7,0.3,0.1,0.4,0.9,4.7,5.8999999999999995,1.9000000000000001,7.8
1,22.0,MIL,NBA,SG,41.0,0.0,11.9,1.6,4.3,0.36200000000000004,0.6,2.0,0.28,1.0,2.3,0.43200000000000005,0.42700000000000005,0.4,0.5,0.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1,4.699999999999999,2.0,6.699999999999999
2,22.0,PHI,NBA,SG,19.0,0.0,12.3,2.1,4.8,0.44,1.0,2.6,0.38,1.1,2.2,0.512,0.544,0.7,0.9,0.722,0.2,1.2,1.4,0.9,0.3,0.1,0.3,1.0,5.9,7.6000000000000005,1.6,9.200000000000001
3,23.0,PHI,NBA,SG,74.0,64.0,27.9,3.3,7.7,0.425,1.9,4.7,0.397,1.4,3.0,0.46799999999999997,0.546,2.1,2.3,0.894,0.3,2.0,2.3,1.1,0.9,0.1,0.8,1.3,10.5,12.2,3.0,15.2
4,24.0,PHI,NBA,SG,66.0,50.0,24.9,2.9,7.1,0.409,1.5,4.0,0.365,1.4,3.0,0.46799999999999997,0.513,1.2,1.3,0.9059999999999999,0.3,2.2,2.4,0.8,0.6,0.0,0.4,1.2,8.4,9.9,2.8000000000000003,12.700000000000001
5,25.0,LAL,NBA,SG,78.0,10.0,21.3,2.6,6.8,0.387,1.6,4.4,0.35700000000000004,1.1,2.4,0.441,0.502,1.1,1.2,0.8959999999999999,0.5,1.7,2.2,0.9,0.7,0.1,0.7,1.3,7.9,9.5,2.5,12.0
6,26.0,LAL,NBA,SG,77.0,70.0,33.2,5.4,11.6,0.46299999999999997,2.1,5.2,0.401,3.3,6.3,0.514,0.5539999999999999,2.9,3.4,0.857,0.4,2.1,2.5,1.8,1.4,0.1,1.4,1.5,15.7,18.3,3.6,21.900000000000002
7,27.0,DET,NBA,SG,60.0,0.0,24.4,3.7,8.9,0.41600000000000004,1.2,3.5,0.349,2.5,5.4,0.46,0.485,2.4,2.7,0.9059999999999999,0.2,1.5,1.7,1.3,1.0,0.1,1.0,1.3,11.1,12.9,2.6,15.5
8,28.0,DET,NBA,SG,3.0,0.0,14.3,2.3,6.7,0.35,1.3,3.0,0.444,1.0,3.7,0.273,0.45,1.3,1.3,1.0,0.3,1.3,1.7,1.0,0.0,0.0,0.3,0.7,7.3,9.299999999999999,1.3,10.6
9,29.0,ORL,NBA,SG,36.0,10.0,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,10.8,3.0,13.8
10,,,NBA,,454.0,204.0,24.0,3.3,7.8,0.42,1.5,4.1,0.376,1.7,3.7,0.469,0.519,1.7,2.0,0.8809999999999999,0.3,1.9,2.2,1.1,0.8,0.1,0.8,1.3,9.8,11.5,2.8000000000000003,14.3
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,PHI,NBA,,159.0,114.0,24.8,3.0,7.1,0.419,1.6,4.2,0.38299999999999995,1.4,2.9,0.47200000000000003,0.532,1.5,1.7,0.8859999999999999,0.3,2.0,2.3,0.9,0.7,0.1,0.6,1.2,9.1,10.6,2.8000000000000003,13.4
13,,LAL,NBA,,155.0,80.0,27.2,4.0,9.2,0.435,1.8,4.8,0.381,2.2,4.4,0.494,0.534,2.0,2.3,0.867,0.4,1.9,2.4,1.3,1.1,0.1,1.1,1.4,11.8,13.700000000000001,3.1,16.8
14,,DET,NBA,,63.0,0.0,23.9,3.6,8.8,0.413,1.2,3.5,0.353,2.4,5.3,0.45299999999999996,0.484,2.4,2.6,0.909,0.2,1.5,1.7,1.3,0.9,0.1,0.9,1.2,10.9,12.8,2.5,15.3
15,,MIL,NBA,,41.0,0.0,11.9,1.6,4.3,0.36200000000000004,0.6,2.0,0.28,1.0,2.3,0.43200000000000005,0.42700000000000005,0.4,0.5,0.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1,4.699999999999999,2.0,6.699999999999999
16,,ORL,NBA,,36.0,10.0,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,10.8,3.0,13.8
