,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,PHI,NBA,C,51.0,15.0,15.9,2.6,5.7,0.45,0.1,0.2,0.375,2.5,5.5,0.452,0.455,0.4,0.7,0.529,1.7,3.1,4.8,0.6,0.4,0.7,0.6,2.2,5.5,7.800000000000001,4.2,12.0
1,22.0,ORL,NBA,C,77.0,77.0,33.2,6.0,11.5,0.519,0.0,0.0,0.0,6.0,11.5,0.52,0.519,1.1,1.6,0.6829999999999999,3.5,8.4,11.9,1.9,0.8,1.0,1.8,2.8,13.1,18.599999999999998,10.200000000000001,28.799999999999997
2,23.0,ORL,NBA,C,57.0,57.0,31.8,6.2,12.2,0.507,0.0,0.0,,6.2,12.2,0.507,0.507,1.8,2.4,0.7659999999999999,3.2,7.7,11.0,1.8,1.1,0.8,2.0,3.0,14.2,19.0,9.600000000000001,28.6
3,24.0,ORL,NBA,C,74.0,74.0,34.2,8.5,16.3,0.523,0.0,0.1,0.33299999999999996,8.5,16.2,0.524,0.524,2.2,2.9,0.752,3.2,7.7,10.9,2.0,0.7,0.7,2.0,3.0,19.3,24.5,9.1,33.6
4,25.0,ORL,NBA,C,65.0,60.0,31.3,8.2,16.1,0.51,0.0,0.1,0.222,8.2,16.0,0.512,0.511,1.7,2.3,0.753,2.7,6.2,8.9,2.8,0.8,1.1,1.9,2.7,18.2,24.6,8.1,32.7
5,26.0,ORL,NBA,C,75.0,55.0,28.8,6.4,13.7,0.46799999999999997,0.3,1.0,0.307,6.1,12.7,0.48100000000000004,0.48,1.4,2.1,0.669,2.3,8.0,10.4,2.8,1.0,1.0,1.6,2.4,14.6,20.9,10.0,30.9
6,,,NBA,,399.0,338.0,29.9,6.5,12.9,0.502,0.1,0.3,0.297,6.4,12.7,0.507,0.505,1.5,2.1,0.7190000000000001,2.8,7.1,9.9,2.0,0.8,0.9,1.7,2.7,14.6,19.7,8.799999999999999,28.5
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,ORL,NBA,,348.0,323.0,31.9,7.1,14.0,0.506,0.1,0.3,0.29,7.0,13.7,0.51,0.508,1.7,2.3,0.727,3.0,7.6,10.7,2.2,0.9,0.9,1.8,2.8,15.9,21.5,9.4,30.9
9,,PHI,NBA,,51.0,15.0,15.9,2.6,5.7,0.45,0.1,0.2,0.375,2.5,5.5,0.452,0.455,0.4,0.7,0.529,1.7,3.1,4.8,0.6,0.4,0.7,0.6,2.2,5.5,7.800000000000001,4.2,12.0
