,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,BOS,NBA,PG,76.0,2.0,14.0,2.5,5.0,0.5,0.0,0.1,0.33299999999999996,2.5,4.9,0.503,0.503,1.2,1.7,0.69,0.5,0.6,1.1,1.9,0.6,0.2,1.4,1.3,6.2,9.1,1.4,10.5
1,25.0,BOS,NBA,PG,82.0,10.0,19.6,3.2,7.1,0.451,0.0,0.2,0.063,3.2,6.9,0.462,0.452,1.4,1.9,0.72,0.5,1.1,1.6,2.6,1.0,0.1,2.0,2.2,7.8,11.5,2.2,13.7
2,26.0,BOS,NBA,PG,82.0,31.0,22.5,4.3,8.6,0.501,0.0,0.1,0.16699999999999998,4.3,8.5,0.506,0.502,1.5,2.1,0.727,0.6,1.3,1.9,3.1,1.0,0.1,1.8,2.4,10.2,15.2,2.4,17.599999999999998
3,27.0,BOS,NBA,PG,82.0,9.0,18.9,3.5,7.5,0.46299999999999997,0.0,0.2,0.188,3.5,7.3,0.47,0.465,1.2,1.6,0.722,0.7,0.8,1.5,2.4,1.2,0.0,1.6,2.3,8.2,12.1,2.0,14.1
4,28.0,BOS,NBA,PG,78.0,78.0,26.8,4.8,9.2,0.524,0.3,0.7,0.35100000000000003,4.6,8.5,0.539,0.5379999999999999,1.7,2.3,0.768,0.9,1.0,1.9,3.8,1.5,0.2,2.1,2.7,11.6,18.0,2.7,20.7
5,29.0,SEA,NBA,PG,79.0,78.0,33.5,5.4,11.3,0.479,0.1,0.5,0.237,5.3,10.8,0.49,0.484,2.5,3.2,0.78,0.9,1.5,2.4,7.1,1.8,0.1,2.9,2.5,13.4,25.6,3.4,29.0
6,30.0,SEA,NBA,PG,82.0,82.0,31.3,5.3,11.0,0.48200000000000004,0.2,0.6,0.34600000000000003,5.1,10.3,0.491,0.49200000000000005,2.3,2.7,0.83,1.1,1.2,2.3,5.9,1.7,0.1,2.2,2.8,13.1,23.8,3.0,26.8
7,31.0,TOT,NBA,PG,74.0,59.0,27.6,4.0,9.1,0.442,0.3,1.0,0.247,3.8,8.1,0.467,0.456,2.6,3.1,0.826,0.7,1.7,2.4,6.4,1.4,0.1,2.3,2.8,10.9,22.099999999999998,3.1999999999999997,25.299999999999997
8,31.0,SEA,NBA,PG,6.0,6.0,25.8,4.2,8.3,0.5,0.0,0.5,0.0,4.2,7.8,0.532,0.5,2.8,3.0,0.9440000000000001,1.0,0.5,1.5,5.3,1.0,0.0,2.5,2.8,11.2,20.299999999999997,1.5,21.799999999999997
9,31.0,NYK,NBA,PG,68.0,53.0,27.8,4.0,9.2,0.43799999999999994,0.3,1.1,0.257,3.7,8.1,0.462,0.45299999999999996,2.5,3.1,0.816,0.6,1.8,2.4,6.5,1.4,0.2,2.3,2.8,10.9,22.2,3.4000000000000004,25.6
10,32.0,TOT,NBA,PG,75.0,5.0,20.1,2.6,6.0,0.428,0.9,2.2,0.423,1.7,3.9,0.431,0.504,1.8,2.3,0.812,0.4,1.1,1.4,3.1,0.9,0.1,1.8,2.5,7.9,12.7,2.1,14.799999999999999
11,32.0,NYK,NBA,PG,6.0,2.0,11.5,0.8,2.3,0.35700000000000004,0.3,0.7,0.5,0.5,1.7,0.3,0.429,0.3,0.3,1.0,0.2,1.5,1.7,2.2,0.3,0.0,1.3,2.3,2.3,5.6000000000000005,1.8,7.4
12,32.0,PHI,NBA,PG,69.0,3.0,20.8,2.7,6.4,0.431,1.0,2.3,0.42100000000000004,1.8,4.1,0.436,0.507,2.0,2.4,0.81,0.4,1.0,1.4,3.2,1.0,0.1,1.8,2.5,8.4,13.4,2.1,15.5
13,33.0,PHI,NBA,PG,65.0,0.0,15.2,2.2,5.4,0.414,0.5,1.6,0.308,1.7,3.7,0.461,0.461,1.6,2.0,0.8190000000000001,0.3,0.8,1.0,2.2,0.6,0.0,1.1,1.9,6.5,10.1,1.4,11.5
14,34.0,TOT,NBA,PG,57.0,0.0,8.1,0.9,1.9,0.486,0.3,0.7,0.447,0.6,1.2,0.507,0.564,0.2,0.3,0.8,0.2,0.6,0.8,1.3,0.3,0.0,0.4,0.9,2.4,4.8,0.8999999999999999,5.699999999999999
15,34.0,MIL,NBA,PG,11.0,0.0,11.7,1.0,2.4,0.423,0.3,0.6,0.429,0.7,1.7,0.42100000000000004,0.48100000000000004,0.2,0.2,1.0,0.3,0.8,1.1,1.2,0.7,0.0,0.7,1.3,2.5,4.499999999999999,1.5,5.999999999999999
16,34.0,DET,NBA,PG,46.0,0.0,7.3,0.9,1.8,0.506,0.3,0.7,0.452,0.6,1.1,0.5379999999999999,0.59,0.2,0.3,0.769,0.2,0.5,0.7,1.3,0.2,0.0,0.3,0.8,2.3,4.8,0.7,5.5
17,35.0,DET,NBA,PG,23.0,10.0,17.0,2.2,5.1,0.42700000000000005,0.3,0.9,0.33299999999999996,1.9,4.2,0.44799999999999995,0.457,0.7,0.9,0.762,0.3,1.3,1.6,2.7,0.5,0.1,1.2,1.9,5.3,9.8,1.9000000000000001,11.700000000000001
18,36.0,TOT,NBA,PG,16.0,0.0,6.0,0.8,2.0,0.375,0.2,0.5,0.375,0.6,1.5,0.375,0.42200000000000004,0.6,0.7,0.818,0.1,0.4,0.5,0.6,0.2,0.0,0.5,0.8,2.3,3.0999999999999996,0.6000000000000001,3.6999999999999997
19,36.0,HOU,NBA,PG,8.0,0.0,4.3,0.5,1.4,0.364,0.0,0.4,0.0,0.5,1.0,0.5,0.364,0.5,0.8,0.667,0.1,0.1,0.3,0.6,0.0,0.0,0.5,0.5,1.5,2.3,0.1,2.4
20,36.0,DET,NBA,PG,8.0,0.0,7.8,1.0,2.6,0.381,0.4,0.6,0.6,0.6,2.0,0.313,0.452,0.6,0.6,1.0,0.0,0.8,0.8,0.6,0.4,0.0,0.5,1.0,3.0,3.7,1.2000000000000002,4.9
21,,,NBA,,871.0,364.0,21.6,3.5,7.5,0.47200000000000003,0.2,0.7,0.332,3.3,6.8,0.486,0.48700000000000004,1.6,2.1,0.7759999999999999,0.6,1.1,1.7,3.6,1.1,0.1,1.8,2.2,8.9,14.899999999999999,2.3000000000000003,17.2
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,BOS,NBA,,400.0,130.0,20.4,3.7,7.5,0.489,0.1,0.3,0.262,3.6,7.2,0.49700000000000005,0.493,1.4,1.9,0.728,0.6,1.0,1.6,2.8,1.0,0.1,1.8,2.2,8.8,13.2,2.1,15.299999999999999
24,,SEA,NBA,,167.0,166.0,32.2,5.3,11.0,0.48100000000000004,0.2,0.6,0.29,5.1,10.5,0.491,0.489,2.4,3.0,0.8079999999999999,1.0,1.3,2.3,6.5,1.7,0.1,2.6,2.7,13.2,24.599999999999998,3.1,27.7
