,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHI,NBA,SF,77.0,41.0,22.6,2.2,4.8,0.46,0.9,2.2,0.401,1.4,2.7,0.507,0.55,0.7,0.9,0.7120000000000001,0.9,2.3,3.2,0.9,0.7,0.2,0.8,1.9,6.0,7.8999999999999995,3.2,11.1
1,23.0,PHI,NBA,SG,71.0,23.0,25.0,3.2,7.6,0.413,1.6,4.0,0.401,1.5,3.6,0.426,0.518,0.9,1.3,0.708,0.7,2.0,2.8,1.2,0.8,0.4,0.9,2.0,8.8,11.0,3.1999999999999997,14.2
2,24.0,PHI,NBA,SG,77.0,17.0,28.0,3.5,8.8,0.397,1.9,5.1,0.38,1.6,3.7,0.42,0.507,0.9,1.2,0.7190000000000001,0.7,2.8,3.5,1.3,0.5,0.3,1.0,2.4,9.8,12.100000000000001,3.5999999999999996,15.700000000000001
3,25.0,TOT,NBA,SG,40.0,9.0,18.8,1.9,5.0,0.385,0.8,2.4,0.337,1.1,2.6,0.429,0.465,0.5,0.7,0.655,0.5,2.3,2.8,0.9,0.5,0.2,0.3,1.7,5.1,7.1,3.0,10.1
4,25.0,PHI,NBA,SG,31.0,1.0,18.1,2.1,5.1,0.415,0.8,2.3,0.366,1.3,2.8,0.455,0.49700000000000005,0.4,0.6,0.65,0.5,2.2,2.7,0.8,0.5,0.2,0.3,1.8,5.5,7.3,2.9000000000000004,10.2
5,25.0,NOP,NBA,SG,9.0,8.0,21.2,1.2,4.6,0.268,0.7,2.7,0.25,0.6,1.9,0.294,0.341,0.7,1.0,0.667,0.4,2.7,3.1,1.0,0.7,0.0,0.2,1.6,3.8,5.999999999999999,3.4000000000000004,9.399999999999999
6,,,NBA,,265.0,90.0,24.2,2.8,6.8,0.413,1.4,3.6,0.386,1.4,3.2,0.444,0.514,0.8,1.1,0.7070000000000001,0.8,2.4,3.1,1.1,0.6,0.3,0.8,2.0,7.7,9.899999999999999,3.3,13.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,PHI,NBA,,256.0,82.0,24.3,2.9,6.9,0.41700000000000004,1.4,3.6,0.389,1.5,3.3,0.447,0.519,0.8,1.1,0.7090000000000001,0.8,2.4,3.1,1.1,0.6,0.3,0.8,2.1,7.9,10.1,3.3,13.399999999999999
9,,NOP,NBA,,9.0,8.0,21.2,1.2,4.6,0.268,0.7,2.7,0.25,0.6,1.9,0.294,0.341,0.7,1.0,0.667,0.4,2.7,3.1,1.0,0.7,0.0,0.2,1.6,3.8,5.999999999999999,3.4000000000000004,9.399999999999999
