,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,POR,NBA,PG,53.0,0.0,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.38299999999999995,0.384,1.6,1.9,0.8059999999999999,0.2,0.9,1.1,1.5,0.3,0.0,1.1,1.5,4.3,6.4,1.2,7.6000000000000005
1,21.0,POR,NBA,SG,74.0,11.0,17.6,2.7,6.5,0.414,0.4,1.2,0.315,2.3,5.3,0.43700000000000006,0.444,2.7,3.3,0.831,0.2,1.4,1.6,2.3,0.4,0.1,1.3,2.1,8.5,12.0,1.9,13.9
2,22.0,TOT,NBA,PG,71.0,14.0,21.1,3.1,7.3,0.42200000000000004,0.7,2.1,0.336,2.4,5.2,0.456,0.469,2.3,2.9,0.8059999999999999,0.4,2.0,2.3,3.7,0.5,0.1,1.8,2.1,9.2,15.2,2.6,17.8
3,22.0,NOH,NBA,PG,11.0,0.0,13.5,1.5,4.5,0.34700000000000003,0.3,1.3,0.214,1.3,3.2,0.4,0.37799999999999995,1.2,1.5,0.765,0.2,1.2,1.4,2.5,0.2,0.1,1.5,1.5,4.5,8.2,1.5,9.7
4,22.0,TOR,NBA,PG,60.0,14.0,22.5,3.4,7.8,0.429,0.8,2.2,0.348,2.6,5.6,0.461,0.479,2.6,3.2,0.81,0.4,2.1,2.5,4.0,0.6,0.1,1.8,2.2,10.0,16.599999999999998,2.8000000000000003,19.4
5,23.0,TOR,NBA,PG,31.0,11.0,22.7,3.8,8.9,0.424,1.4,3.4,0.423,2.4,5.5,0.424,0.504,2.4,2.8,0.852,0.3,1.9,2.1,3.8,0.8,0.1,1.7,2.3,11.4,17.6,2.8000000000000003,20.400000000000002
6,24.0,MEM,NBA,PG,80.0,4.0,22.1,3.3,7.8,0.419,0.9,2.5,0.353,2.4,5.3,0.45,0.47600000000000003,1.3,1.5,0.836,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,8.7,14.099999999999998,2.8,16.9
7,25.0,TOT,NBA,PG,72.0,19.0,23.4,3.4,8.6,0.402,1.1,2.9,0.358,2.4,5.6,0.425,0.46399999999999997,1.3,1.6,0.797,0.3,1.7,2.0,2.7,0.8,0.1,1.1,2.2,9.3,13.9,2.6,16.5
8,25.0,MEM,NBA,PG,31.0,5.0,21.0,2.9,7.7,0.377,0.8,2.7,0.301,2.1,5.0,0.41700000000000004,0.429,1.5,1.8,0.789,0.3,1.6,1.9,2.1,0.6,0.2,0.7,2.3,8.1,11.9,2.4000000000000004,14.3
9,25.0,BOS,NBA,PG,41.0,14.0,25.3,3.9,9.2,0.418,1.2,3.1,0.395,2.6,6.1,0.43,0.485,1.2,1.5,0.8029999999999999,0.3,1.8,2.1,3.1,1.0,0.1,1.5,2.2,10.1,15.100000000000001,2.9,18.0
10,26.0,MIL,NBA,PG,77.0,4.0,22.3,2.9,6.7,0.426,0.5,1.6,0.308,2.4,5.1,0.462,0.462,1.6,1.8,0.883,0.3,2.5,2.7,3.0,0.8,0.2,1.7,2.1,7.8,12.4,3.5,15.9
11,27.0,MIL,NBA,SG,52.0,18.0,28.9,3.6,8.4,0.423,1.9,4.4,0.43700000000000006,1.6,4.0,0.408,0.539,1.3,1.7,0.778,0.4,2.3,2.7,3.1,0.9,0.2,1.4,2.1,10.4,15.6,3.4,19.0
12,28.0,PHI,NBA,PG,3.0,1.0,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.33299999999999996,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0,17.6,3.0,20.6
13,,,NBA,,513.0,82.0,21.3,3.0,7.2,0.414,0.8,2.2,0.366,2.2,5.0,0.436,0.47100000000000003,1.8,2.2,0.825,0.3,1.8,2.1,2.9,0.6,0.1,1.5,2.1,8.6,13.2,2.5,15.7
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,MIL,NBA,,129.0,22.0,25.0,3.1,7.4,0.425,1.1,2.7,0.39299999999999996,2.1,4.7,0.444,0.49700000000000005,1.5,1.8,0.841,0.3,2.4,2.7,3.1,0.8,0.2,1.6,2.1,8.8,13.700000000000001,3.4000000000000004,17.1
16,,POR,NBA,,127.0,11.0,15.4,2.1,5.3,0.4,0.3,0.9,0.303,1.8,4.4,0.42100000000000004,0.42700000000000005,2.2,2.7,0.823,0.2,1.2,1.4,2.0,0.3,0.1,1.2,1.8,6.8,9.8,1.6,11.4
17,,MEM,NBA,,111.0,9.0,21.8,3.2,7.7,0.40700000000000003,0.9,2.6,0.33799999999999997,2.3,5.2,0.441,0.46299999999999997,1.3,1.6,0.821,0.3,1.8,2.1,3.0,0.7,0.2,1.3,2.2,8.5,13.5,2.7,16.2
18,,TOR,NBA,,91.0,25.0,22.5,3.5,8.2,0.42700000000000005,1.0,2.6,0.381,2.5,5.6,0.449,0.488,2.5,3.0,0.823,0.4,2.0,2.4,3.9,0.7,0.1,1.8,2.2,10.5,16.9,2.8000000000000003,19.7
19,,BOS,NBA,,41.0,14.0,25.3,3.9,9.2,0.418,1.2,3.1,0.395,2.6,6.1,0.43,0.485,1.2,1.5,0.8029999999999999,0.3,1.8,2.1,3.1,1.0,0.1,1.5,2.2,10.1,15.100000000000001,2.9,18.0
