,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,PG,67.0,1.0,12.9,1.5,3.6,0.423,0.4,1.3,0.282,1.1,2.3,0.5,0.473,0.3,0.4,0.8079999999999999,0.3,1.1,1.4,3.3,0.5,0.0,1.1,1.1,3.7,9.5,1.6,11.1
1,21.0,,NBA,PG,72.0,0.0,8.7,1.0,2.7,0.35200000000000004,0.2,0.8,0.293,0.7,1.9,0.377,0.395,0.3,0.5,0.6579999999999999,0.2,0.6,0.8,1.7,0.3,0.0,0.7,0.8,2.5,5.3999999999999995,0.8999999999999999,6.299999999999999
2,22.0,,NBA,PG,80.0,13.0,15.3,1.6,4.1,0.392,0.5,1.4,0.325,1.2,2.7,0.428,0.44799999999999995,0.8,1.0,0.792,0.5,1.1,1.6,3.6,0.7,0.0,1.5,1.7,4.5,10.7,1.8,12.5
3,23.0,,NBA,PG,66.0,8.0,15.9,2.5,5.3,0.47600000000000003,0.5,1.4,0.35200000000000004,2.0,3.9,0.519,0.521,1.0,1.4,0.731,0.4,1.0,1.3,3.2,0.8,0.1,1.7,1.3,6.6,11.700000000000001,1.9000000000000001,13.600000000000001
4,23.0,,NBA,PG,39.0,0.0,13.3,2.3,4.9,0.46299999999999997,0.4,1.1,0.35700000000000004,1.9,3.8,0.493,0.503,1.1,1.6,0.6940000000000001,0.4,0.9,1.3,3.1,0.7,0.1,1.5,1.2,6.0,11.100000000000001,1.7000000000000002,12.8
5,23.0,,NBA,PG,27.0,8.0,19.7,2.9,6.0,0.491,0.6,1.8,0.34700000000000003,2.3,4.1,0.5539999999999999,0.5429999999999999,0.9,1.1,0.8059999999999999,0.3,1.1,1.4,3.4,0.8,0.1,2.0,1.4,7.4,12.5,2.0,14.5
6,,24.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,25.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,26.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,27.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,28.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,29.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30.0,,NBA,PG,68.0,30.0,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8,16.400000000000002,2.8000000000000003,19.200000000000003
13,,,NBA,,353.0,52.0,15.0,1.9,4.7,0.409,0.6,1.7,0.337,1.3,3.0,0.451,0.47100000000000003,0.5,0.7,0.7390000000000001,0.3,1.1,1.5,3.4,0.6,0.0,1.4,1.2,4.9,10.6,1.7000000000000002,12.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,NBA,,219.0,14.0,12.4,1.4,3.5,0.391,0.4,1.2,0.304,1.0,2.3,0.436,0.442,0.5,0.6,0.759,0.3,0.9,1.3,2.9,0.5,0.0,1.1,1.2,3.6,8.6,1.4,10.0
16,,,NBA,,68.0,30.0,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8,16.400000000000002,2.8000000000000003,19.200000000000003
17,,,NBA,,39.0,0.0,13.3,2.3,4.9,0.46299999999999997,0.4,1.1,0.35700000000000004,1.9,3.8,0.493,0.503,1.1,1.6,0.6940000000000001,0.4,0.9,1.3,3.1,0.7,0.1,1.5,1.2,6.0,11.100000000000001,1.7000000000000002,12.8
18,,,NBA,,27.0,8.0,19.7,2.9,6.0,0.491,0.6,1.8,0.34700000000000003,2.3,4.1,0.5539999999999999,0.5429999999999999,0.9,1.1,0.8059999999999999,0.3,1.1,1.4,3.4,0.8,0.1,2.0,1.4,7.4,12.5,2.0,14.5
