,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,26.0,SAS,NBA,C,60.0,6.0,12.3,1.7,3.2,0.529,0.0,0.0,0.0,1.7,3.2,0.532,0.529,1.3,2.3,0.5429999999999999,1.2,2.2,3.4,0.4,0.5,0.3,0.5,1.5,4.6,6.1,3.0,9.1
1,27.0,SAS,NBA,C,59.0,2.0,19.0,3.6,5.8,0.618,0.0,0.0,,3.6,5.8,0.618,0.618,2.1,3.1,0.691,1.6,3.6,5.2,1.1,0.4,0.8,1.5,2.3,9.3,11.600000000000001,4.8,16.400000000000002
2,28.0,SAS,NBA,PF,81.0,58.0,24.7,3.9,7.0,0.56,0.0,0.0,0.0,3.9,6.9,0.561,0.56,2.6,3.5,0.73,1.8,4.6,6.4,1.6,0.8,0.8,1.2,2.0,10.3,14.100000000000001,6.199999999999999,20.3
3,29.0,SAS,NBA,C,59.0,50.0,21.5,3.1,5.9,0.523,0.0,0.1,0.0,3.1,5.8,0.528,0.523,2.1,2.9,0.6990000000000001,2.1,4.1,6.2,1.5,0.5,0.5,1.3,2.0,8.2,11.999999999999998,5.1,17.099999999999998
4,30.0,SAS,NBA,C,52.0,35.0,19.8,3.3,5.8,0.5579999999999999,0.0,0.0,,3.3,5.8,0.5579999999999999,0.5579999999999999,1.7,2.3,0.75,1.8,3.1,4.8,1.5,0.7,0.7,1.2,2.0,8.2,11.8,4.5,16.3
5,31.0,ATL,NBA,C,36.0,2.0,16.1,2.3,4.3,0.523,0.0,0.1,0.0,2.3,4.3,0.529,0.523,1.1,1.3,0.813,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2.0,5.6,7.8,3.0,10.8
6,32.0,PHI,NBA,C,8.0,0.0,9.5,1.8,3.9,0.452,0.3,0.8,0.33299999999999996,1.5,3.1,0.48,0.484,1.1,1.4,0.818,1.0,1.8,2.8,0.5,0.1,0.1,0.8,1.0,4.9,6.1000000000000005,2.0,8.100000000000001
7,,,NBA,,355.0,153.0,19.2,3.0,5.4,0.555,0.0,0.0,0.14300000000000002,3.0,5.4,0.5579999999999999,0.556,1.9,2.7,0.6970000000000001,1.6,3.4,5.0,1.2,0.6,0.6,1.1,1.9,7.9,10.8,4.6,15.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,SAS,NBA,,311.0,151.0,19.8,3.1,5.6,0.56,0.0,0.0,0.0,3.1,5.6,0.562,0.56,2.0,2.9,0.69,1.7,3.6,5.3,1.3,0.6,0.6,1.1,1.9,8.3,11.500000000000002,4.8,16.3
10,,ATL,NBA,,36.0,2.0,16.1,2.3,4.3,0.523,0.0,0.1,0.0,2.3,4.3,0.529,0.523,1.1,1.3,0.813,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2.0,5.6,7.8,3.0,10.8
11,,PHI,NBA,,8.0,0.0,9.5,1.8,3.9,0.452,0.3,0.8,0.33299999999999996,1.5,3.1,0.48,0.484,1.1,1.4,0.818,1.0,1.8,2.8,0.5,0.1,0.1,0.8,1.0,4.9,6.1000000000000005,2.0,8.100000000000001
