,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MEM,NBA,PG,10.0,0.0,17.5,1.4,3.8,0.368,0.3,0.8,0.375,1.1,3.0,0.36700000000000005,0.408,2.5,2.8,0.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2.0,5.6,12.0,3.4,15.4
1,21.0,MEM,NBA,PG,82.0,9.0,25.5,3.1,7.2,0.43200000000000005,0.4,1.7,0.257,2.7,5.5,0.48700000000000004,0.46299999999999997,3.0,4.2,0.698,0.5,2.5,3.0,3.6,1.1,0.3,1.5,2.3,9.6,15.8,3.9,19.7
2,22.0,TOT,NBA,PG,77.0,21.0,21.8,2.5,5.6,0.435,0.3,1.3,0.255,2.1,4.4,0.488,0.46399999999999997,2.4,2.9,0.8009999999999999,0.3,2.1,2.5,3.6,0.9,0.2,1.5,1.9,7.6,13.6,3.2,16.8
3,22.0,MEM,NBA,PG,49.0,21.0,21.9,2.3,5.6,0.41200000000000003,0.3,1.4,0.24600000000000002,1.9,4.1,0.46799999999999997,0.44299999999999995,2.6,3.3,0.8009999999999999,0.3,2.0,2.3,3.6,1.0,0.2,1.6,1.8,7.6,13.5,3.2,16.7
4,22.0,HOU,NBA,PG,28.0,0.0,21.7,2.8,5.8,0.475,0.3,1.0,0.276,2.5,4.8,0.519,0.5,1.9,2.3,0.8,0.5,2.3,2.8,3.5,0.8,0.3,1.4,2.0,7.6,13.7,3.3999999999999995,17.099999999999998
5,23.0,HOU,NBA,PG,68.0,0.0,24.3,2.7,6.8,0.397,0.5,2.0,0.272,2.2,4.8,0.44799999999999995,0.436,3.2,3.8,0.8270000000000001,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1,17.7,3.3,21.0
6,24.0,HOU,NBA,PG,75.0,71.0,34.2,4.6,10.8,0.426,1.7,4.6,0.376,2.9,6.2,0.46399999999999997,0.506,2.6,3.3,0.765,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,13.5,26.0,4.6,30.6
7,25.0,HOU,NBA,PG,47.0,38.0,32.1,4.5,10.9,0.409,1.7,4.5,0.374,2.8,6.4,0.434,0.486,3.6,4.2,0.8640000000000001,0.8,3.7,4.5,6.6,1.6,0.3,2.8,2.8,14.3,25.5,5.6000000000000005,31.1
8,26.0,TOR,NBA,PG,68.0,52.0,29.7,3.7,9.2,0.401,1.5,4.1,0.36200000000000004,2.2,5.1,0.433,0.48200000000000004,2.8,3.5,0.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,3.2,11.6,22.900000000000002,5.7,28.6
9,27.0,TOR,NBA,PG,79.0,79.0,36.2,5.8,13.7,0.423,2.4,6.3,0.38,3.4,7.3,0.46,0.511,4.0,4.9,0.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,3.4,17.9,31.299999999999997,5.3,36.599999999999994
10,28.0,TOR,NBA,PG,70.0,70.0,34.5,6.1,14.9,0.41200000000000003,1.9,5.6,0.33799999999999997,4.3,9.3,0.457,0.47600000000000003,3.6,4.5,0.8079999999999999,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8,29.700000000000003,5.7,35.400000000000006
11,29.0,TOR,NBA,PG,77.0,77.0,37.0,6.6,15.6,0.42700000000000005,2.8,7.1,0.38799999999999996,3.9,8.5,0.461,0.516,5.2,6.4,0.8109999999999999,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2,31.800000000000004,6.5,38.300000000000004
12,30.0,TOR,NBA,PG,60.0,60.0,37.4,7.1,15.3,0.46399999999999997,3.2,7.8,0.41200000000000003,3.9,7.5,0.518,0.569,5.0,6.1,0.8190000000000001,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,34.300000000000004,5.8,40.1
13,,,NBA,,713.0,477.0,30.9,4.6,10.8,0.424,1.6,4.4,0.364,3.0,6.4,0.465,0.498,3.5,4.4,0.799,0.8,3.2,4.1,5.8,1.4,0.3,2.2,2.7,14.3,24.500000000000004,4.8999999999999995,29.400000000000002
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,TOR,NBA,,354.0,338.0,35.0,5.9,13.7,0.42700000000000005,2.3,6.2,0.379,3.5,7.6,0.466,0.512,4.1,5.1,0.81,0.9,3.9,4.7,6.8,1.6,0.3,2.6,3.0,18.2,30.1,5.8,35.9
16,,HOU,NBA,,218.0,109.0,29.0,3.7,8.9,0.419,1.2,3.3,0.35200000000000004,2.6,5.6,0.45799999999999996,0.484,2.9,3.6,0.8140000000000001,1.1,2.8,3.9,5.6,1.2,0.3,2.0,2.6,11.5,21.799999999999997,4.3,26.099999999999998
17,,MEM,NBA,,141.0,30.0,23.7,2.7,6.4,0.424,0.4,1.5,0.258,2.3,4.9,0.47600000000000003,0.455,2.8,3.8,0.7390000000000001,0.5,2.3,2.8,3.6,1.1,0.2,1.5,2.1,8.6,14.8,3.6,18.400000000000002
