,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,HOU,NBA,PF,52.0,6.0,16.7,2.9,5.1,0.5579999999999999,0.0,0.0,0.0,2.9,5.1,0.562,0.5579999999999999,0.6,0.8,0.7140000000000001,1.7,2.2,3.8,0.8,0.3,0.7,0.6,1.5,6.3,9.0,3.2,12.2
1,22.0,HOU,NBA,PF,64.0,1.0,23.2,3.5,8.0,0.44,0.0,0.0,0.0,3.5,7.9,0.44299999999999995,0.44,0.6,0.9,0.7020000000000001,1.8,2.7,4.5,0.8,0.4,0.6,0.8,1.8,7.7,10.3,3.7,14.0
2,23.0,TOT,NBA,PF,71.0,41.0,25.0,4.5,8.8,0.512,0.7,1.9,0.386,3.8,6.9,0.546,0.5529999999999999,0.7,0.9,0.762,1.6,3.2,4.7,1.1,0.4,0.6,0.9,1.9,10.4,13.3,4.2,17.5
3,23.0,HOU,NBA,PF,47.0,38.0,25.9,5.0,9.7,0.519,0.7,2.0,0.365,4.3,7.6,0.56,0.557,0.8,1.0,0.755,1.6,3.1,4.7,1.1,0.4,0.6,0.9,1.9,11.6,14.5,4.1,18.6
4,23.0,SAC,NBA,PF,24.0,3.0,23.2,3.5,7.0,0.494,0.7,1.5,0.444,2.8,5.5,0.508,0.542,0.5,0.6,0.7859999999999999,1.7,3.2,4.8,1.3,0.5,0.5,0.8,2.0,8.0,11.5,4.2,15.7
5,24.0,TOT,NBA,PF,65.0,13.0,23.6,3.5,7.5,0.46,0.8,2.3,0.364,2.6,5.2,0.503,0.516,0.8,1.1,0.7040000000000001,1.8,3.5,5.3,1.2,0.8,0.6,1.0,2.4,8.5,11.7,4.8999999999999995,16.599999999999998
6,24.0,SAC,NBA,PF,17.0,6.0,24.4,2.9,7.2,0.41,0.5,2.3,0.231,2.4,4.9,0.494,0.447,0.5,0.9,0.563,2.0,3.8,5.8,0.9,0.8,0.2,0.9,2.3,6.9,9.799999999999999,4.8,14.599999999999998
7,24.0,TOR,NBA,PF,48.0,7.0,23.3,3.6,7.6,0.47700000000000004,1.0,2.3,0.41100000000000003,2.7,5.3,0.506,0.54,0.9,1.1,0.745,1.7,3.3,5.1,1.3,0.9,0.7,1.0,2.5,9.1,12.399999999999999,4.9,17.299999999999997
8,25.0,TOR,NBA,PF,81.0,4.0,26.6,3.0,6.6,0.449,1.3,3.5,0.371,1.7,3.1,0.536,0.547,0.8,1.0,0.7879999999999999,1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8.0,12.700000000000001,5.0,17.700000000000003
9,26.0,TOR,NBA,PF,79.0,0.0,25.6,2.6,6.2,0.414,1.3,3.7,0.36200000000000004,1.2,2.5,0.49,0.521,0.4,0.4,0.853,1.0,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9,9.5,4.5,14.0
10,27.0,TOR,NBA,PF,65.0,8.0,24.6,2.4,5.9,0.401,1.4,3.9,0.37200000000000005,0.9,2.0,0.45799999999999996,0.523,0.7,0.9,0.7170000000000001,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,9.6,4.6000000000000005,14.2
11,,,NBA,,477.0,73.0,24.0,3.2,6.9,0.45899999999999996,0.9,2.3,0.368,2.3,4.6,0.506,0.521,0.6,0.9,0.7440000000000001,1.5,3.2,4.7,1.2,0.6,0.5,0.8,1.9,7.9,11.0,4.300000000000001,15.3
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,TOR,NBA,,273.0,19.0,25.2,2.8,6.5,0.435,1.3,3.4,0.373,1.5,3.1,0.504,0.5329999999999999,0.6,0.8,0.769,1.3,3.5,4.8,1.4,0.7,0.5,0.8,1.9,7.6,10.899999999999999,4.7,15.599999999999998
14,,HOU,NBA,,163.0,45.0,21.9,3.7,7.6,0.495,0.2,0.6,0.34700000000000003,3.5,6.9,0.508,0.509,0.7,0.9,0.723,1.7,2.7,4.3,0.9,0.4,0.6,0.7,1.7,8.4,11.200000000000001,3.7,14.900000000000002
15,,SAC,NBA,,41.0,9.0,23.7,3.2,7.1,0.45899999999999996,0.6,1.8,0.33299999999999996,2.6,5.2,0.502,0.502,0.5,0.7,0.667,1.8,3.4,5.2,1.1,0.6,0.4,0.9,2.1,7.6,10.7,4.4,15.1
