,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,OKC,NBA,PF,73.0,0.0,18.1,2.8,5.1,0.5429999999999999,0.0,0.0,0.5,2.7,5.0,0.5429999999999999,0.545,0.8,1.3,0.63,1.9,3.5,5.4,0.1,0.3,1.3,0.9,2.7,6.3,7.5,5.1,12.6
1,21.0,OKC,NBA,PF,82.0,44.0,27.0,4.1,7.5,0.5429999999999999,0.0,0.0,0.0,4.1,7.5,0.544,0.5429999999999999,1.7,2.2,0.75,2.6,5.0,7.6,0.3,0.4,2.4,0.9,3.3,9.9,12.200000000000001,7.800000000000001,20.0
2,22.0,OKC,NBA,PF,66.0,66.0,27.2,4.0,7.4,0.535,0.0,0.0,0.33299999999999996,4.0,7.4,0.536,0.536,1.2,1.8,0.6609999999999999,2.9,4.6,7.5,0.4,0.5,3.7,1.2,2.7,9.1,11.600000000000001,8.8,20.400000000000002
3,23.0,OKC,NBA,PF,80.0,80.0,31.1,5.6,9.7,0.573,0.3,0.7,0.35100000000000003,5.3,9.0,0.591,0.586,1.8,2.4,0.7490000000000001,2.8,4.9,7.7,0.5,0.4,3.0,1.6,2.7,13.2,15.4,8.3,23.700000000000003
4,24.0,OKC,NBA,PF,81.0,81.0,32.9,6.5,12.1,0.536,0.3,0.7,0.38299999999999995,6.2,11.3,0.546,0.5479999999999999,1.9,2.5,0.784,2.8,6.0,8.8,1.0,0.5,2.7,1.5,2.9,15.1,18.4,9.2,27.599999999999998
5,25.0,OKC,NBA,PF,64.0,64.0,33.1,5.8,12.3,0.47600000000000003,1.2,3.2,0.376,4.6,9.1,0.511,0.525,1.4,1.7,0.836,2.1,5.7,7.8,0.9,0.5,2.4,1.5,3.0,14.3,16.700000000000003,8.6,25.300000000000004
6,26.0,OKC,NBA,PF,78.0,78.0,32.1,5.3,11.1,0.479,0.8,2.4,0.326,4.6,8.8,0.52,0.513,1.2,1.6,0.752,1.8,5.0,6.8,0.8,0.5,1.9,1.4,2.7,12.6,14.6,7.4,22.0
7,27.0,TOT,NBA,PF,79.0,79.0,30.7,6.0,12.4,0.48,1.6,4.0,0.391,4.4,8.4,0.522,0.5429999999999999,1.4,1.6,0.856,1.6,5.2,6.8,0.9,0.5,1.6,1.3,2.7,14.8,16.900000000000002,7.300000000000001,24.200000000000003
8,27.0,ORL,NBA,PF,56.0,56.0,30.5,6.1,12.6,0.488,1.5,3.8,0.38799999999999996,4.6,8.7,0.532,0.547,1.4,1.6,0.846,1.8,5.0,6.8,1.1,0.6,1.6,1.2,2.5,15.1,17.900000000000002,7.199999999999999,25.1
9,27.0,TOR,NBA,PF,23.0,23.0,31.0,5.6,12.1,0.45899999999999996,1.8,4.5,0.39799999999999996,3.8,7.7,0.494,0.532,1.3,1.5,0.882,1.3,5.5,6.8,0.7,0.3,1.4,1.7,3.3,14.2,15.2,7.199999999999999,22.4
10,,,NBA,,603.0,492.0,29.1,5.0,9.7,0.516,0.5,1.4,0.369,4.5,8.4,0.54,0.542,1.4,1.9,0.757,2.3,5.0,7.3,0.6,0.4,2.4,1.3,2.8,12.0,14.2,7.800000000000001,22.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,OKC,NBA,,524.0,413.0,28.8,4.9,9.3,0.523,0.3,1.0,0.355,4.5,8.4,0.5429999999999999,0.542,1.4,1.9,0.745,2.4,5.0,7.4,0.6,0.4,2.5,1.3,2.8,11.6,13.899999999999999,7.9,21.799999999999997
13,,ORL,NBA,,56.0,56.0,30.5,6.1,12.6,0.488,1.5,3.8,0.38799999999999996,4.6,8.7,0.532,0.547,1.4,1.6,0.846,1.8,5.0,6.8,1.1,0.6,1.6,1.2,2.5,15.1,17.900000000000002,7.199999999999999,25.1
14,,TOR,NBA,,23.0,23.0,31.0,5.6,12.1,0.45899999999999996,1.8,4.5,0.39799999999999996,3.8,7.7,0.494,0.532,1.3,1.5,0.882,1.3,5.5,6.8,0.7,0.3,1.4,1.7,3.3,14.2,15.2,7.199999999999999,22.4
