,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,TOR,NBA,SG,73.0,2.0,17.0,2.5,6.3,0.40700000000000003,0.9,2.7,0.332,1.7,3.6,0.46399999999999997,0.478,0.4,0.6,0.7140000000000001,0.5,1.5,2.0,0.7,0.6,0.2,0.7,1.7,6.4,7.6000000000000005,2.3000000000000003,9.9
1,22.0,TOR,NBA,SG,81.0,62.0,26.7,3.9,9.3,0.423,2.0,5.0,0.395,1.9,4.2,0.45799999999999996,0.531,1.0,1.2,0.8370000000000001,0.5,2.6,3.1,1.0,0.8,0.3,1.1,2.3,10.9,12.3,3.7,16.0
2,23.0,TOR,NBA,SF,82.0,61.0,25.5,3.8,9.2,0.41,1.8,4.8,0.37200000000000005,2.0,4.4,0.452,0.507,0.5,0.7,0.7859999999999999,0.4,2.4,2.8,1.0,0.6,0.3,0.8,1.7,9.8,11.4,3.3,14.7
3,24.0,TOR,NBA,SF,73.0,7.0,23.9,3.7,8.6,0.431,1.8,4.6,0.386,1.9,3.9,0.484,0.536,0.7,0.8,0.79,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9,11.200000000000001,3.2,14.400000000000002
4,25.0,TOT,NBA,SF,78.0,24.0,25.1,4.2,9.6,0.43700000000000006,1.8,5.0,0.363,2.4,4.6,0.518,0.532,0.8,1.0,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11.0,12.5,3.9,16.4
5,25.0,TOR,NBA,SF,54.0,0.0,22.4,3.9,8.9,0.441,1.8,4.7,0.375,2.1,4.1,0.516,0.541,0.8,0.9,0.82,0.3,2.3,2.6,0.8,1.0,0.4,0.6,1.5,10.4,11.700000000000001,3.6999999999999997,15.4
6,25.0,ORL,NBA,SF,24.0,24.0,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1.0,1.1,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5,14.8,4.6,19.4
7,,,NBA,,387.0,156.0,23.8,3.6,8.6,0.423,1.7,4.5,0.374,2.0,4.2,0.475,0.519,0.7,0.9,0.8029999999999999,0.4,2.2,2.6,0.9,0.8,0.3,0.8,1.8,9.6,11.0,3.3,14.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,TOR,NBA,,363.0,132.0,23.3,3.6,8.4,0.42200000000000004,1.6,4.4,0.376,1.9,4.1,0.47100000000000003,0.52,0.7,0.8,0.799,0.4,2.2,2.6,0.9,0.7,0.3,0.8,1.8,9.5,10.899999999999999,3.2,14.099999999999998
10,,ORL,NBA,,24.0,24.0,31.2,4.8,11.1,0.431,1.9,5.6,0.341,2.9,5.5,0.523,0.517,1.0,1.1,0.852,0.2,2.7,2.8,1.8,1.4,0.5,1.5,2.5,12.5,14.8,4.6,19.4
